,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,9,11,47.4,52.6,85,87,13,8,8,8,15,27,4,2,19,8,3,5,6.64,7.04,Bournemouth,Manchester United,0,1,1,3,13:30,"Jpl, 14-Ago-16",3,4,Won (50%),Drew (0%),Won (50%),9,11,5,10,4,1,0,0,0,0,0,0,515,573,24,7,60,73,431,492
1,20,10,63.6,36.4,83,64,13,9,12,19,16,16,10,6,7,12,4,8,6.64,6.65,Everton,Sunderland,1,0,2,0,15:00,"Jmos, 25-Feb-17",11,8,Won (50%),Drew (17%),Won (33%),20,10,11,4,8,6,1,0,0,0,0,0,542,310,29,21,73,58,439,231
2,34,6,64.6,35.4,85,69,10,2,20,25,8,12,8,4,10,4,5,2,6.72,6.52,Southampton,Burnley,0,0,3,1,16:00,"Jpl, 16-Okt-16",11,7,Won (50%),Drew (33%),Won (17%),34,6,26,2,7,3,0,0,1,1,0,0,594,327,41,13,74,76,477,238
3,7,8,62.4,37.6,79,69,4,10,22,28,15,23,3,3,16,13,5,0,6.71,,Liverpool,Chelsea,0,1,1,1,20:00,"Jnne, 31-Jan-17",7,6,Won (33%),Drew (33%),Won (33%),7,8,7,6,0,1,0,0,0,1,0,0,666,401,21,8,94,72,550,318
4,17,12,48.1,51.9,77,78,8,12,18,14,18,15,4,5,13,9,5,4,6.49,6.85,Watford,Bournemouth,0,1,2,2,15:00,"Jmos, 01-Okt-16",5,5,Won (17%),Drew (67%),Won (17%),17,12,14,9,3,3,0,0,0,0,0,0,376,408,25,19,68,70,283,319
5,12,16,65.3,34.7,87,79,9,2,18,12,17,18,7,4,16,14,4,3,6.39,6.93,Swansea,West Bromwich Albion,0,1,2,1,15:00,"Jpl, 21-Mei-17",7,8,Won (33%),Drew (17%),Won (50%),12,16,7,12,5,4,0,0,0,0,0,0,638,339,40,22,68,57,530,259
6,14,11,56.5,43.5,82,74,17,5,19,20,26,28,10,5,21,19,4,7,6.49,6.68,Crystal Palace,Stoke,2,0,4,1,14:15,"Jpl, 18-Sep-16",9,4,Won (83%),Drew (17%),Won (0%),14,11,8,6,6,5,0,0,0,0,0,0,491,380,27,25,66,55,398,299
7,4,18,28.2,71.8,69,87,10,4,12,18,18,20,5,7,10,8,5,5,6.51,7.13,Swansea,Tottenham,1,0,1,3,19:45,"Jtan, 05-Apr-17",7,17,Won (0%),Drew (17%),Won (83%),4,18,3,17,1,0,0,1,0,0,0,0,267,675,15,24,76,48,176,601
8,23,7,67.4,32.6,90,76,11,5,11,10,22,21,7,3,15,14,3,9,7.16,6.41,Manchester City,Hull,1,0,3,1,15:00,"Jmos, 08-Apr-17",16,4,Won (83%),Drew (17%),Won (0%),24,7,17,5,5,2,1,0,0,0,1,0,734,356,18,10,54,60,658,286
9,11,13,61.5,38.5,81,75,13,6,21,23,19,18,7,5,10,10,4,7,6.58,6.79,Middlesbrough,West Ham,1,2,1,3,15:00,"Jmos, 21-Jan-17",6,7,Won (17%),Drew (50%),Won (33%),11,13,8,10,3,2,0,1,0,0,0,0,567,353,31,12,68,73,468,264
10,31,6,73.7,26.3,89,63,13,10,19,10,16,26,14,1,12,9,1,7,7.42,6.58,Tottenham,Sunderland,0,0,1,0,16:30,"Jpl, 18-Sep-16",16,6,Won (83%),Drew (17%),Won (0%),31,6,24,4,7,2,0,0,0,0,0,0,650,232,30,7,68,62,552,163
11,20,8,66.1,33.9,84,71,16,14,22,17,22,22,7,2,12,16,8,4,6.98,6.49,Liverpool,Bournemouth,1,1,2,2,20:00,"Jtan, 05-Apr-17",12,6,Won (83%),Drew (0%),Won (17%),20,8,14,2,6,5,0,1,0,0,0,0,622,318,29,12,64,64,528,241
12,16,5,54.9,45.1,83,78,17,5,22,16,19,20,8,5,14,14,4,1,6.49,6.38,Chelsea,Leicester,2,0,3,0,12:30,"Jmos, 15-Okt-16",16,8,Won (67%),Drew (17%),Won (17%),16,5,10,3,5,2,1,0,0,0,0,0,579,477,21,22,64,67,489,388
13,8,12,45.7,54.3,71,78,10,15,20,15,32,18,3,3,12,21,5,6,6.64,7.12,Burnley,Manchester United,0,2,0,2,14:15,"Jpl, 23-Apr-17",2,8,Won (17%),Drew (33%),Won (50%),8,12,5,9,3,2,0,1,0,0,0,0,412,486,22,13,90,82,300,389
14,24,6,71.3,28.7,86,65,21,1,24,26,8,27,9,2,11,5,3,6,6.31,6.64,Swansea,Burnley,1,1,3,2,15:00,"Jmos, 04-Mac-17",7,2,Won (83%),Drew (0%),Won (17%),24,6,14,5,10,0,0,0,0,1,0,0,631,254,47,5,87,76,496,173
15,20,10,48.6,51.4,79,78,14,12,23,23,26,20,9,1,6,20,7,6,6.62,6.61,Leicester,Bournemouth,0,1,1,1,15:00,"Jpl, 21-Mei-17",4,3,Won (40%),Drew (40%),Won (20%),20,10,9,5,10,5,1,0,0,0,0,0,444,465,25,11,69,59,350,395
16,8,17,44.0,56.0,73,80,8,17,25,9,18,14,8,7,8,13,9,6,6.48,6.76,Crystal Palace,Everton,0,0,0,1,15:00,"Jmos, 21-Jan-17",8,7,Won (33%),Drew (50%),Won (17%),8,17,2,13,6,4,0,0,0,0,0,0,401,511,25,29,77,70,297,411
17,6,8,45.6,54.4,59,69,6,13,25,24,10,11,7,3,8,3,2,2,6.8,6.08,Burnley,Middlesbrough,0,0,1,0,15:00,"Jtat, 26-Des-16",3,5,Won (17%),Drew (33%),Won (50%),6,8,2,3,4,5,0,0,0,0,0,0,348,416,17,15,85,100,246,301
18,18,11,61.6,38.4,86,76,12,5,9,11,23,19,6,5,8,16,4,6,7.16,6.95,Manchester United,Everton,0,1,1,1,20:00,"Jnne, 04-Apr-17",7,5,Won (50%),Drew (33%),Won (17%),18,11,14,6,3,4,0,1,1,0,0,0,615,384,33,9,54,83,527,292
19,14,22,31.9,68.1,68,87,12,14,13,17,14,7,4,11,6,10,3,4,6.61,6.88,Middlesbrough,Manchester City,1,0,2,2,14:05,"Jpl, 30-Apr-17",5,5,Won (33%),Drew (17%),Won (50%),14,22,7,13,6,8,1,0,0,1,0,0,275,586,15,39,66,36,194,509
20,11,10,53.8,46.2,79,75,7,5,19,15,15,15,7,2,10,13,4,5,6.53,6.52,Swansea,Watford,0,0,0,0,15:00,"Jmos, 22-Okt-16",7,5,Won (50%),Drew (33%),Won (17%),11,10,10,7,1,2,0,1,0,0,0,0,470,407,24,15,61,68,385,322
21,14,10,44.4,55.6,74,81,13,4,20,20,19,18,2,2,10,14,10,10,6.82,6.68,West Ham,Crystal Palace,0,0,3,0,15:00,"Jmos, 14-Jan-17",10,8,Won (50%),Drew (17%),Won (33%),14,10,9,7,4,3,1,0,0,0,0,0,361,452,15,18,68,53,277,381
22,6,11,32.3,67.7,63,82,8,6,31,19,16,20,1,6,11,7,6,8,6.74,6.85,Everton,Liverpool,0,0,0,1,20:00,"Jtat, 19-Des-16",5,13,Won (0%),Drew (67%),Won (33%),6,11,3,10,3,1,0,0,0,0,0,0,304,635,14,20,80,78,210,536
