,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,18,7,54.3,45.7,79,75,13,6,21,28,20,15,6,3,14,15,2,6,6.68,6.68,Swansea,West Bromwich Albion,0,0,1,0,15:00,"Jmos, 09-Des-17",8,7,Won (50%),Drew (17%),Won (33%),18,7,9,6,8,1,1,0,0,0,0,0,497,419,29,18,65,74,403,327
1,11,16,53.4,46.6,81,75,9,9,21,16,19,23,9,9,18,11,1,3,6.57,6.52,Southampton,Leicester,0,3,1,4,19:45,"Jtan, 13-Des-17",7,5,Won (33%),Drew (33%),Won (33%),11,16,5,6,6,9,0,1,0,0,0,0,445,387,25,13,60,68,360,304
2,13,9,38.4,61.6,70,84,11,13,17,13,14,12,7,4,9,8,5,6,6.58,6.8,West Bromwich Albion,Liverpool,0,1,2,2,12:30,"Jmos, 21-Apr-18",7,8,Won (17%),Drew (50%),Won (33%),13,9,7,7,6,2,0,0,0,0,0,0,378,606,29,14,70,69,278,522
3,8,16,40.4,59.6,75,83,7,11,12,7,18,20,2,9,9,12,3,1,6.62,6.87,Leicester,Chelsea,0,1,1,2,15:00,"Jmos, 09-Sep-17",6,15,Won (17%),Drew (17%),Won (67%),8,16,2,14,4,2,1,0,1,0,0,0,374,553,22,22,67,58,285,471
4,6,22,29.9,70.1,71,86,15,15,20,19,11,17,1,7,12,7,4,4,6.83,6.91,West Ham,Arsenal,0,0,0,0,20:00,"Jtan, 13-Des-17",7,16,Won (17%),Drew (17%),Won (67%),6,22,6,18,0,4,0,0,0,0,0,0,316,733,11,23,60,67,242,641
5,12,9,48.1,51.9,70,73,9,12,20,16,19,17,5,9,10,12,8,3,6.75,6.61,West Ham,Southampton,3,0,3,0,15:00,"Jmos, 31-Mac-18",7,9,Won (33%),Drew (17%),Won (50%),12,9,9,7,2,2,1,0,0,0,0,0,395,425,18,19,73,64,303,341
6,15,6,50.5,49.5,83,80,13,14,8,11,12,21,8,2,13,3,5,4,6.46,6.62,Crystal Palace,Leicester,2,0,5,0,15:00,"Jmos, 28-Apr-18",7,7,Won (33%),Drew (17%),Won (50%),15,6,10,5,4,1,0,0,1,0,0,0,430,421,12,24,53,66,362,330
7,16,11,47.8,52.2,76,77,8,8,21,12,24,20,3,5,10,17,3,6,,6.48,Brighton,Swansea,1,0,4,1,15:00,"Jmos, 24-Feb-18",2,7,Won (17%),Drew (17%),Won (67%),16,12,13,9,2,2,0,0,1,0,0,1,422,457,11,16,70,79,338,362
8,6,12,42.8,57.2,81,88,6,9,16,13,18,17,2,2,11,11,2,3,6.59,6.6,Brighton,Liverpool,0,2,1,5,15:00,"Jmos, 02-Des-17",2,8,Won (0%),Drew (0%),Won (100%),6,13,3,5,2,5,0,2,1,0,0,1,507,679,13,12,73,60,421,604
9,5,14,32.1,67.9,69,83,7,16,22,13,22,13,1,13,10,14,8,4,6.85,6.76,Manchester United,Liverpool,2,0,2,1,12:30,"Jmos, 10-Mac-18",3,4,Won (17%),Drew (67%),Won (17%),5,15,3,7,2,7,0,0,0,0,0,1,296,621,7,33,59,54,228,528
10,16,14,51.6,48.4,73,74,9,3,25,21,7,23,10,7,10,6,4,5,6.5,6.53,Leicester,Burnley,1,0,1,0,15:00,"Jmos, 02-Des-17",9,4,Won (50%),Drew (33%),Won (17%),16,14,14,9,2,4,0,1,0,0,0,0,443,421,26,24,80,63,336,333
11,16,6,63.6,36.4,89,80,12,9,11,16,12,11,4,5,10,9,3,6,6.78,6.72,Arsenal,Burnley,2,0,5,0,16:30,"Jpl, 06-Mei-18",10,2,Won (100%),Drew (0%),Won (0%),16,6,16,4,0,2,0,0,0,0,0,0,684,392,14,18,43,62,624,312
12,12,8,50.6,49.4,78,77,3,10,15,14,19,13,4,6,6,11,5,3,6.46,6.36,Everton,Bournemouth,0,0,2,1,15:00,"Jmos, 23-Sep-17",13,8,Won (60%),Drew (20%),Won (20%),12,8,9,6,3,2,0,0,0,0,0,0,455,442,24,21,76,60,354,361
13,13,15,40.8,59.2,65,78,9,10,34,34,17,19,5,3,12,14,4,4,6.79,6.2,Brighton,Huddersfield,1,1,1,1,15:00,"Jmos, 07-Apr-18",5,7,Won (33%),Drew (33%),Won (33%),14,15,9,13,4,2,0,0,0,0,1,0,384,555,15,25,76,64,290,466
14,14,16,66.1,33.9,86,67,3,6,16,25,10,12,7,2,9,8,1,5,7.1,6.87,Southampton,West Ham,2,1,3,2,15:00,"Jmos, 19-Ago-17",9,6,Won (50%),Drew (17%),Won (33%),14,16,12,9,0,7,0,0,2,0,0,0,597,305,26,18,44,79,527,207
15,12,8,51.1,48.9,78,77,9,8,17,16,17,14,6,3,9,8,7,2,6.51,6.36,Everton,Swansea,1,1,3,1,20:00,"Jtat, 18-Des-17",3,5,Won (0%),Drew (67%),Won (33%),12,8,8,6,2,2,0,0,2,0,0,0,463,442,15,10,71,59,377,373
16,9,14,45.6,54.4,70,74,11,6,22,25,19,20,3,3,14,14,6,6,6.72,6.76,Watford,Liverpool,2,1,3,3,12:30,"Jmos, 12-Ago-17",4,14,Won (17%),Drew (0%),Won (83%),9,14,5,11,4,2,0,0,0,1,0,0,422,500,16,14,87,71,317,413
17,7,18,37.4,62.6,71,83,9,10,16,18,23,19,4,9,9,13,3,3,6.52,6.6,Leicester,Tottenham,2,0,2,1,19:45,"Jnne, 28-Nov-17",6,12,Won (17%),Drew (50%),Won (33%),7,18,5,12,2,5,0,1,0,0,0,0,356,593,14,27,68,56,271,506
18,19,2,70.5,29.5,87,67,18,11,11,17,11,18,8,2,11,8,7,2,7.06,6.61,Manchester City,Leicester,1,1,5,1,17:30,"Jmos, 10-Feb-18",8,9,Won (50%),Drew (17%),Won (33%),19,2,17,2,2,0,0,0,0,0,0,0,726,305,18,8,43,63,663,232
19,6,19,55.8,44.2,77,78,6,9,16,17,11,20,8,5,17,6,3,9,6.79,6.72,Bournemouth,Watford,0,0,0,2,15:00,"Jmos, 19-Ago-17",8,6,Won (17%),Drew (83%),Won (0%),6,19,4,15,2,4,0,0,0,0,0,0,462,372,15,20,67,75,380,276
20,13,13,61.5,38.5,86,72,9,12,19,16,19,19,4,0,12,8,1,9,6.49,6.66,Tottenham,Watford,1,0,2,0,20:00,"Jtat, 30-Apr-18",13,3,Won (83%),Drew (17%),Won (0%),13,13,8,11,5,1,0,1,0,0,0,0,582,366,20,7,58,73,501,284
21,9,4,48.7,51.3,70,73,3,5,21,19,18,20,9,6,14,16,5,6,6.34,6.83,Huddersfield,Watford,0,0,1,0,15:00,"Jmos, 14-Apr-18",14,13,Won (50%),Drew (0%),Won (50%),9,4,7,3,2,1,0,0,0,0,0,0,398,418,24,11,62,77,312,327
22,7,13,52.7,47.3,77,71,5,9,24,12,24,18,7,3,7,17,4,5,6.48,6.82,Huddersfield,Newcastle United,0,0,1,0,13:30,"Jpl, 20-Ago-17",8,11,Won (20%),Drew (20%),Won (60%),7,13,6,12,1,1,0,0,0,0,0,0,482,434,20,14,70,82,391,338
23,9,19,30.7,69.3,60,82,4,11,22,12,12,19,8,11,14,9,6,7,6.54,6.49,Bournemouth,Huddersfield,2,0,4,0,15:00,"Jmos, 18-Nov-17",11,7,Won (67%),Drew (17%),Won (17%),9,19,5,14,4,5,0,0,0,0,0,0,260,586,10,46,53,83,196,456
24,7,15,21.7,78.3,59,91,12,15,12,17,21,16,1,2,13,16,7,3,6.52,6.88,West Bromwich Albion,Manchester City,1,2,2,3,15:00,"Jmos, 28-Okt-17",3,17,Won (0%),Drew (0%),Won (100%),7,15,7,13,0,2,0,0,0,0,0,0,267,944,6,10,72,57,187,875
25,19,11,55.8,44.2,82,72,5,13,18,20,17,23,7,6,17,6,4,3,6.56,6.52,Swansea,Leicester,0,1,1,2,15:00,"Jmos, 21-Okt-17",5,11,Won (33%),Drew (0%),Won (67%),19,12,15,10,4,0,0,1,0,0,0,1,504,403,35,17,61,87,408,298
26,20,8,62.1,37.9,78,66,9,6,30,25,12,9,7,4,6,5,4,3,6.13,6.72,Burnley,West Ham,0,1,1,1,15:00,"Jmos, 14-Okt-17",4,11,Won (0%),Drew (17%),Won (83%),20,8,14,8,6,0,0,0,0,0,0,0,488,297,22,10,63,80,402,207
27,18,15,58.3,41.7,83,74,8,10,15,34,17,31,8,5,19,14,6,5,6.36,6.39,Huddersfield,Stoke,1,0,1,1,15:00,"Jnne, 26-Des-17",1,1,Won (0%),Drew (100%),Won (0%),18,15,13,5,4,10,1,0,0,0,0,0,540,387,34,13,50,55,454,317
28,11,14,62.9,37.1,83,66,11,7,18,24,12,21,6,4,15,8,5,3,6.98,6.49,Tottenham,Newcastle United,0,0,1,0,20:00,"Jtan, 09-Mei-18",12,10,Won (50%),Drew (0%),Won (50%),11,14,7,10,4,4,0,0,0,0,0,0,578,339,18,16,80,79,478,242
29,9,15,40.4,59.6,66,80,8,6,20,22,14,19,3,10,13,10,3,6,6.52,6.62,Leicester,Everton,2,0,2,0,16:00,"Jpl, 29-Okt-17",12,12,Won (50%),Drew (17%),Won (33%),9,15,6,13,2,2,1,0,0,0,0,0,342,500,12,27,81,65,249,407
30,16,11,35.7,64.3,75,86,18,20,4,22,33,24,5,6,18,25,7,4,6.97,6.82,Liverpool,Manchester City,1,1,4,3,16:00,"Jpl, 14-Jan-18",10,8,Won (50%),Drew (17%),Won (33%),16,11,12,10,3,1,1,0,0,0,0,0,387,694,12,14,55,54,311,624
31,8,12,32.3,67.7,74,88,11,6,11,17,18,21,6,5,12,8,4,4,6.64,6.96,Swansea,Tottenham,0,1,0,2,19:45,"Jnne, 02-Jan-18",6,15,Won (0%),Drew (33%),Won (67%),8,12,4,6,3,4,1,2,0,0,0,0,336,698,17,18,72,57,247,621
32,16,6,44.7,55.3,70,76,8,9,25,18,17,16,5,4,12,13,4,2,6.48,7.02,Huddersfield,Southampton,0,0,0,0,15:00,"Jmos, 26-Ago-17",6,10,Won (50%),Drew (0%),Won (50%),16,6,13,6,3,0,0,0,0,0,0,0,416,518,32,9,68,74,316,431
33,14,13,45.6,54.4,76,80,10,8,20,20,15,15,5,5,11,8,7,2,6.84,6.86,Crystal Palace,Southampton,0,1,0,1,12:30,"Jmos, 16-Sep-17",8,10,Won (50%),Drew (0%),Won (50%),14,13,11,11,3,2,0,0,0,0,0,0,437,523,22,16,64,77,351,430
34,5,14,23.8,76.2,58,85,5,7,24,14,28,14,3,13,11,18,10,1,6.68,6.68,Crystal Palace,Tottenham,0,0,0,1,12:00,"Jpl, 25-Feb-18",2,7,Won (17%),Drew (0%),Won (83%),5,14,2,10,2,4,1,0,0,0,0,0,217,696,10,28,57,55,148,612
35,11,16,52.9,47.1,77,77,21,15,14,27,16,10,8,7,5,10,4,9,6.45,6.67,Everton,Crystal Palace,0,0,3,1,15:00,"Jmos, 10-Feb-18",6,4,Won (33%),Drew (67%),Won (0%),11,16,7,10,4,5,0,0,0,1,0,0,416,369,22,22,63,53,328,294
36,8,18,36.3,63.7,77,83,9,14,19,24,13,11,5,5,7,9,3,2,6.19,6.08,Burnley,Arsenal,0,0,0,1,14:00,"Jpl, 26-Nov-17",3,12,Won (0%),Drew (0%),Won (100%),8,18,5,15,3,2,0,0,0,1,0,0,379,661,20,17,72,46,287,597
37,10,15,25.5,74.5,60,88,17,14,15,16,19,14,7,8,10,14,4,5,6.63,6.85,Crystal Palace,Manchester City,0,0,0,0,12:00,"Jpl, 31-Des-17",2,24,Won (0%),Drew (0%),Won (100%),10,15,4,11,5,4,0,0,1,0,0,0,227,655,17,21,72,40,137,593
38,35,5,71.3,28.7,86,66,14,3,8,15,6,11,12,2,5,4,5,4,6.52,6.09,Liverpool,Burnley,1,1,1,1,15:00,"Jmos, 16-Sep-17",13,3,Won (83%),Drew (0%),Won (17%),35,5,32,2,3,3,0,0,0,0,0,0,719,294,34,7,58,77,626,210
39,6,21,44,56,81,88,6,7,9,8,9,12,2,3,10,7,3,6,6.2,6.59,Bournemouth,Liverpool,0,3,0,4,16:30,"Jpl, 17-Des-17",8,12,Won (17%),Drew (17%),Won (67%),6,21,6,18,0,3,0,0,0,0,0,0,534,681,11,19,70,67,449,589
40,13,13,54,46,79,74,8,12,17,22,23,20,8,3,13,15,10,5,6.71,6.79,Leicester,West Ham,0,1,0,2,15:00,"Jmos, 05-Mei-18",11,7,Won (67%),Drew (33%),Won (0%),13,13,9,9,4,4,0,0,0,0,0,0,452,386,27,15,68,63,356,306
41,19,6,73.8,26.2,92,80,15,4,21,10,14,14,4,3,6,7,2,1,7.7,,Manchester City,Brighton,2,1,3,1,20:00,"Jtan, 09-Mei-18",4,2,Won (50%),Drew (0%),Won (50%),19,6,15,5,3,1,1,0,0,0,0,0,872,312,13,9,32,57,826,245
