,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,13,10,48.7,51.3,69,71,2,3,42,25,14,25,4,8,18,7,3,3,6.54,6.8,Stoke,Everton,0,1,1,1,15:00,"Jmos, 15-Des-12",5.0,3.0,Won (33%),Drew (50%),Won (17%),13,11,9,5,4,5,0,0,0,0,0,1,362,381,23,19,65,67,273,295
1,9,11,49.3,50.7,67,66,10,0,34,39,11,20,10,3,7,10,3,4,6.82,6.6,Reading,Norwich,0,0,0,0,15:00,"Jmos, 10-Nov-12",13.0,5.0,Won (67%),Drew (17%),Won (17%),9,11,5,8,3,1,1,2,0,0,0,0,378,388,41,23,66,69,271,296
2,20,12,49.7,50.3,78,79,3,7,17,13,22,22,4,5,12,14,4,5,6.88,7.09,Everton,Tottenham,0,0,2,1,15:00,"Jpl, 09-Des-12",7.0,8.0,Won (33%),Drew (33%),Won (33%),20,12,15,8,5,4,0,0,0,0,0,0,436,438,25,19,57,68,353,349
3,14,9,43.6,56.4,70,76,4,6,16,32,21,13,9,1,10,14,3,2,6.52,6.92,Norwich,Stoke,1,0,1,0,15:00,"Jmos, 03-Nov-12",3.0,10.0,Won (17%),Drew (17%),Won (67%),14,9,10,6,4,3,0,0,0,0,0,0,393,507,32,23,69,77,292,407
4,14,14,48.4,51.6,73,76,9,5,18,18,23,23,2,4,13,14,4,4,6.46,6.87,Queens Park Rangers,Manchester United,0,1,0,2,15:00,"Jmos, 23-Feb-13",1.0,8.0,Won (0%),Drew (0%),Won (100%),14,14,10,10,3,2,1,2,0,0,0,0,443,474,21,22,66,45,355,406
5,16,15,42.2,57.8,76,82,4,4,18,15,23,15,14,5,12,10,5,4,6.45,6.94,West Ham,Chelsea,0,1,3,1,12:45,"Jmos, 01-Des-12",4.0,13.0,Won (0%),Drew (33%),Won (67%),16,15,9,13,6,1,1,1,0,0,0,0,387,529,37,18,57,51,292,458
6,16,17,35.0,65.0,78,85,8,14,11,14,37,18,1,12,10,24,4,4,6.78,6.74,Tottenham,Liverpool,2,0,2,1,19:45,"Jtan, 28-Nov-12",8.0,3.0,Won (50%),Drew (33%),Won (17%),16,18,11,12,5,5,0,0,0,0,0,1,322,600,5,29,53,55,264,512
7,15,14,44.1,55.9,73,82,5,6,15,18,29,21,6,5,11,20,4,6,6.73,6.97,Chelsea,Tottenham,2,1,2,2,19:45,"Jtan, 08-Mei-13",13.0,6.0,Won (50%),Drew (50%),Won (0%),15,14,7,10,8,3,0,1,0,0,0,0,374,474,25,15,55,69,292,385
8,12,9,45.9,54.1,80,81,16,11,15,7,16,16,4,3,15,10,10,5,6.72,6.7,Aston Villa,Wigan,0,1,0,3,15:00,"Jmos, 29-Des-12",7.0,5.0,Won (50%),Drew (33%),Won (17%),12,9,9,6,1,2,2,1,0,0,0,0,465,548,20,13,53,79,390,453
9,16,9,64.0,36.0,90,76,4,2,9,20,11,17,3,4,8,6,6,2,6.97,6.91,Manchester United,Stoke,2,1,4,2,15:00,"Jmos, 20-Okt-12",13.0,3.0,Won (83%),Drew (17%),Won (0%),16,10,14,6,2,3,0,0,0,0,0,1,665,372,21,24,70,63,569,285
