,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,19,8,61.2,38.8,87,81,8,10,17,6,17,14,11,2,8,12,2,1,6.9,6.42,Inter,Fiorentina,0,0,0,0,20:45,"Jtan, 22-Jul-20",12.0,7.0,Won (50%),Drew (50%),Won (0%),19,8,8,4,11,2,0,2,0,0,0,0,529,333,41,5,46,48,442,280
1,4,18,36.4,63.6,82,89,15,13,13,19,15,18,2,9,7,8,2,3,6.66,6.71,Genoa,Juventus,0,0,1,3,20:45,"Jnne, 30-Jun-20",6.0,10.0,Won (17%),Drew (17%),Won (67%),4,18,3,15,1,3,0,0,0,0,0,0,414,715,7,24,66,43,341,647
2,13,11,56.6,43.4,80,71,5,12,22,22,14,18,11,5,11,13,4,1,6.47,6.77,Bologna,Sampdoria,0,0,2,1,11:30,"Jpl, 27-Okt-19",10.0,8.0,Won (50%),Drew (0%),Won (50%),13,11,9,5,4,6,0,0,0,0,0,0,474,363,24,18,68,74,382,271
3,5,16,25.6,74.4,56,87,4,2,22,17,16,15,1,6,10,7,5,0,6.41,,Verona,Bologna,1,1,1,1,19:45,"Jpl, 25-Ago-19",3.0,11.0,Won (17%),Drew (17%),Won (67%),5,16,4,12,1,3,0,0,0,1,0,0,215,621,3,24,59,46,153,549
4,22,5,53.1,46.9,89,86,12,13,9,8,3,12,13,2,10,1,5,3,6.5,6.76,Roma,Juventus,0,2,1,2,19:45,"Jpl, 12-Jan-20",6.0,4.0,Won (33%),Drew (17%),Won (50%),22,5,12,2,9,1,0,1,1,1,0,0,546,490,46,8,35,53,465,428
5,20,7,69.6,30.4,85,69,8,9,25,11,12,9,12,2,5,9,2,2,6.52,6.85,Sassuolo,Verona,0,0,3,3,18:30,"Jpl, 28-Jun-20",6.0,6.0,Won (50%),Drew (17%),Won (33%),20,7,15,6,5,1,0,0,0,0,0,0,583,256,35,13,56,50,491,193
6,10,9,57.5,42.5,77,66,7,9,15,27,21,20,3,9,12,14,2,5,6.76,6.39,Udinese,Brescia,0,0,0,1,14:00,"Jmos, 21-Sep-19",9.0,6.0,Won (67%),Drew (17%),Won (17%),10,9,7,6,3,2,0,1,0,0,0,0,474,351,21,12,65,52,388,286
7,23,11,62.1,37.9,84,75,10,14,25,20,14,9,7,5,4,11,3,3,6.52,6.44,AC Milan,Genoa,0,2,1,2,14:00,"Jpl, 08-Mac-20",8.0,2.0,Won (83%),Drew (17%),Won (0%),23,11,18,10,5,1,0,0,0,0,0,0,727,446,35,13,54,74,637,358
8,18,13,62.6,37.4,83,71,6,10,20,10,6,9,12,9,6,3,3,4,6.8,6.4,Inter,Bologna,1,0,1,2,16:15,"Jpl, 05-Jul-20",9.0,4.0,Won (67%),Drew (17%),Won (17%),18,13,13,9,4,4,0,0,1,0,0,0,481,288,27,19,49,57,405,210
9,18,12,45.5,54.5,80,81,4,18,17,10,21,9,7,3,8,17,4,3,6.58,6.82,Sampdoria,Fiorentina,0,3,1,5,14:00,"Jpl, 16-Feb-20",12.0,11.0,Won (33%),Drew (33%),Won (33%),18,13,10,8,7,0,1,2,0,2,0,1,386,458,25,9,48,69,311,380
10,14,16,42.5,57.5,86,87,8,8,13,8,15,11,4,5,4,6,1,4,6.66,6.82,Udinese,Lazio,0,0,0,0,20:45,"Jtan, 15-Jul-20",2.0,13.0,Won (0%),Drew (0%),Won (100%),14,16,11,15,1,1,2,0,0,0,0,0,431,582,18,23,57,44,356,514
11,11,12,49.4,50.6,75,75,6,11,24,21,16,9,5,1,2,11,3,2,6.6,6.34,Bologna,AC Milan,1,2,2,3,19:45,"Jpl, 08-Des-19",3.0,10.0,Won (0%),Drew (17%),Won (83%),12,12,8,10,2,0,0,1,1,1,1,0,438,445,17,6,47,79,374,359
12,15,8,51.2,48.8,85,88,4,9,8,7,10,8,3,2,2,4,7,5,6.68,6.73,Napoli,Juventus,0,0,2,1,19:45,"Jpl, 26-Jan-20",9.0,12.0,Won (33%),Drew (0%),Won (67%),15,8,13,4,2,3,0,1,0,0,0,0,545,522,12,20,53,26,479,475
13,13,10,52.1,47.9,87,83,13,8,9,8,12,18,8,3,11,8,3,2,6.56,6.52,Fiorentina,Sassuolo,0,2,1,3,20:45,"Jtan, 01-Jul-20",10.0,8.0,Won (33%),Drew (33%),Won (33%),13,10,11,6,2,3,0,0,0,1,0,0,471,434,37,8,45,57,389,368
14,14,14,42.4,57.6,80,85,8,10,8,10,20,11,3,3,4,12,4,2,6.76,7.22,Parma Calcio 1913,Atalanta,1,0,1,2,18:30,"Jnne, 28-Jul-20",1.0,11.0,Won (0%),Drew (0%),Won (100%),14,14,11,9,2,3,1,2,0,0,0,0,387,523,10,12,52,38,325,472
15,13,12,58.6,41.4,88,83,8,8,16,8,12,15,6,1,6,6,5,2,6.59,6.82,Genoa,Lazio,0,1,2,3,11:30,"Jpl, 23-Feb-20",9.0,15.0,Won (33%),Drew (17%),Won (50%),13,12,7,7,4,3,1,2,1,0,0,0,583,410,24,9,35,48,524,347
16,16,14,65.5,34.5,90,78,7,9,11,16,10,22,15,2,15,6,2,6,6.66,6.63,Bologna,Parma Calcio 1913,1,1,2,2,11:30,"Jpl, 24-Nov-19",5.0,3.0,Won (50%),Drew (25%),Won (25%),16,14,10,10,6,2,0,2,0,0,0,0,576,305,46,11,40,46,490,247
17,17,14,54.1,45.9,85,82,6,7,11,23,7,8,7,1,6,6,3,4,6.71,6.51,Verona,SPAL 2013,2,0,3,0,18:30,"Jtan, 29-Jul-20",8.0,6.0,Won (33%),Drew (50%),Won (17%),17,14,15,9,2,4,0,1,0,0,0,0,510,431,30,6,61,46,419,379
18,17,5,37.4,62.6,66,82,5,12,18,21,18,15,7,8,9,10,1,1,6.61,6.78,Sampdoria,Torino,0,0,1,0,14:00,"Jpl, 22-Sep-19",8.0,10.0,Won (17%),Drew (50%),Won (33%),17,5,12,2,5,3,0,0,0,0,0,0,299,506,20,33,60,67,219,406
19,14,9,43.7,56.3,82,84,6,11,12,4,18,10,6,9,7,11,1,3,6.6,6.79,Udinese,Fiorentina,0,0,0,0,17:00,"Jpl, 08-Mac-20",2.0,10.0,Won (0%),Drew (17%),Won (83%),14,9,11,6,3,3,0,0,0,0,0,0,417,533,21,20,44,77,352,434
20,11,16,55.1,44.9,87,86,20,17,13,7,19,20,4,6,13,13,2,0,6.53,,AC Milan,Fiorentina,0,1,1,3,19:45,"Jpl, 29-Sep-19",9.0,4.0,Won (50%),Drew (33%),Won (17%),11,16,11,11,0,3,0,0,0,2,0,0,605,495,19,11,55,53,530,429
21,7,17,39.7,60.3,64,74,18,15,39,23,17,33,3,9,17,12,4,2,6.44,6.39,Torino,Bologna,1,0,1,0,14:00,"Jpl, 12-Jan-20",13.0,9.0,Won (33%),Drew (33%),Won (33%),7,17,4,11,2,5,1,1,0,0,0,0,302,458,10,27,71,48,221,382
22,13,8,57.7,42.3,83,78,4,10,12,13,22,13,5,2,7,12,0,4,,6.78,Atalanta,Roma,0,1,2,1,19:45,"Jmos, 15-Feb-20",11.0,9.0,Won (33%),Drew (50%),Won (17%),13,8,6,5,6,3,1,0,0,0,0,0,546,400,20,15,53,78,472,307
23,10,17,36.3,63.7,79,88,12,6,9,14,13,15,0,4,12,5,3,0,6.73,,Inter,Atalanta,1,0,1,1,19:45,"Jmos, 11-Jan-20",11.0,7.0,Won (33%),Drew (33%),Won (33%),10,17,10,9,0,7,0,0,0,1,0,0,408,715,8,27,63,58,337,630
24,6,18,40.4,59.6,78,84,9,15,10,24,14,15,3,4,9,7,1,3,6.56,6.62,Bologna,Roma,0,0,1,2,14:00,"Jpl, 22-Sep-19",4.0,10.0,Won (17%),Drew (17%),Won (67%),6,18,4,14,1,4,0,0,1,0,0,0,347,512,10,17,64,70,273,425
25,13,5,57.1,42.9,87,83,8,7,7,14,9,17,5,6,6,2,3,2,6.97,6.73,AC Milan,Roma,0,0,2,0,16:15,"Jpl, 28-Jun-20",7.0,10.0,Won (33%),Drew (17%),Won (50%),13,5,11,4,1,1,0,0,1,0,0,0,578,433,18,24,52,56,507,351
26,14,10,58.1,41.9,79,67,4,10,25,29,9,12,8,8,4,7,4,4,6.79,6.4,Cagliari,Brescia,0,0,0,1,19:45,"Jpl, 25-Ago-19",11.0,9.0,Won (33%),Drew (33%),Won (33%),14,10,11,5,3,4,0,0,0,1,0,0,514,376,32,22,80,70,402,284
27,14,19,40.2,59.8,69,81,7,7,24,31,16,18,4,4,9,14,2,2,6.62,7.53,Bologna,Atalanta,1,0,2,1,14:00,"Jpl, 15-Des-19",4.0,13.0,Won (0%),Drew (0%),Won (100%),14,19,7,15,2,4,5,0,0,0,0,0,347,512,13,19,71,67,263,422
28,19,13,57.2,42.8,86,79,9,6,13,10,13,15,13,2,12,7,2,3,7.16,6.59,Atalanta,Cagliari,0,1,0,2,11:30,"Jpl, 03-Nov-19",6.0,4.0,Won (50%),Drew (0%),Won (50%),19,14,13,10,6,1,0,2,0,0,0,1,564,422,41,10,47,59,475,349
29,15,15,48.4,51.6,82,80,7,9,18,27,14,10,2,7,4,4,2,4,6.54,6.47,Lecce,Verona,0,0,0,1,19:45,"Jpl, 01-Sep-19",9.0,4.0,Won (50%),Drew (50%),Won (0%),15,15,12,9,3,6,0,0,0,0,0,0,470,503,21,16,53,62,396,425
30,6,15,55.6,44.4,84,76,17,8,22,22,13,27,2,3,15,6,3,3,6.77,6.55,Torino,Sampdoria,0,0,1,3,17:00,"Jmos, 08-Feb-20",10.0,7.0,Won (33%),Drew (50%),Won (17%),6,15,5,10,1,4,0,0,0,1,0,0,527,420,21,18,66,67,439,332
31,12,12,38.6,61.4,71,82,6,4,15,29,21,14,4,5,9,10,2,2,6.76,6.44,Udinese,Bologna,1,0,1,0,14:00,"Jpl, 29-Sep-19",7.0,8.0,Won (67%),Drew (0%),Won (33%),12,12,8,6,2,6,2,0,0,0,0,0,309,491,12,18,59,50,238,421
32,9,15,45.9,54.1,74,82,14,9,15,26,13,14,7,3,10,7,3,8,6.78,6.71,Genoa,Roma,1,2,1,3,17:00,"Jpl, 19-Jan-20",10.0,13.0,Won (0%),Drew (50%),Won (50%),9,16,5,11,4,4,0,0,0,0,0,1,434,513,32,15,63,72,336,426
33,25,7,67.6,32.4,90,77,14,5,11,18,8,13,8,3,7,8,7,5,6.61,6.47,Roma,SPAL 2013,0,1,3,1,17:00,"Jpl, 15-Des-19",7.0,5.0,Won (50%),Drew (0%),Won (50%),26,7,17,2,7,3,0,1,1,1,1,0,628,304,27,5,74,56,526,243
34,11,16,47.7,52.3,82,84,8,9,15,17,19,14,10,7,11,11,2,2,6.73,6.48,Udinese,Sampdoria,1,1,1,3,18:30,"Jpl, 12-Jul-20",8.0,9.0,Won (33%),Drew (17%),Won (50%),11,16,6,10,5,5,0,1,0,0,0,0,476,521,28,29,54,55,394,436
