,,07월 08일,08월 09일,09월 10일,10월 11일,11월 12일,ranking
Borussia Dortmund,Ger,2.7,4.5374,3.6166,10.1332,10.05,31.037
Lazio,Ita,9.05,2.275,7.0856,2.3142,9.2714,29.996
BATE Borisov,Bls,0.3666,6.8,5.675,10.175,6.625,29.641
FC Salzburg,Aut,2.64,0.45,14.875,2.875,8.425,29.265
Bolton Wanderers,Eng,15.575,3,3.5856,3.6714,3.05,28.882
Hertha BSC,Ger,2.7,7.5374,11.6166,3.1332,3.05,28.037
PAOK Thessaloniki,Gre,1.5,1.3,3.08,10.52,11.52,27.92
Aston Villa,Eng,3.575,11,5.0856,5.1714,3.05,27.882
Lokomotiv Moscow,Rus,8.25,1.95,1.2332,3.6832,11.95,27.066
Sampdoria,Ita,4.05,11.275,3.0856,6.3142,2.2714,26.996
Steaua Bucuresti,Rom,4.52,4.5284,5.2166,5.6332,6.8666,26.764
AS Saint-Étienne,Fra,1.3856,17.2,3,2.15,2.1,25.835
Sparta Praha,Cze,6.025,2.475,5.82,8.7,2.55,25.57
AaB Aalborg,Den,6.025,15.64,1.38,1.34,0.62,25.005
Stoke City,Eng,3.575,3,3.5856,3.6714,11.05,24.882
Racing Santander,Esp,2.775,10.6624,3.5856,3.6428,4.1714,24.837
Dinamo Zagreb,Cro,4.7332,4.8666,4.6,5.825,4.75,24.774
AEK Athens,Gre,8.5,1.3,4.58,6.52,3.52,24.42
Birmingham City,Eng,3.575,3,3.5856,3.6714,10.05,23.882
Deportivo La Coruña,Esp,2.775,9.6624,3.5856,3.6428,4.1714,23.837
FC Zürich,Sui,8.25,0.58,8.15,1.18,5.2,23.36
1.FC Nürnberg,Ger,10.7,2.5374,3.6166,3.1332,3.05,23.037
Portsmouth FC,Eng,3.575,9,3.5856,3.6714,3.05,22.882
Lech Poznan,Pol,0.3332,8,1.925,10.9,1.325,22.483
Aris Thessaloniki,Gre,7.5,1.3,1.58,9.52,1.52,21.42
Rosenborg BK,Nor,9.08,6.5,0.92,2.475,1.96,20.935
Austria Wien,Aut,4.64,2.45,3.875,2.375,7.425,20.765
Heerenveen,Ned,3,4.2666,7.8832,2.2332,2.72,20.103
Palermo,Ita,4.05,2.275,3.0856,7.3142,3.2714,19.996
Stade Rennais,Fra,5.3856,4.2,3,2.15,5.1,19.835
Toulouse FC,Fra,5.3856,2.2,8,2.15,2.1,19.835
Trabzonspor,Tur,1.95,1.4,3.02,2.42,11.02,19.81
Slavia Praha,Cze,9.025,4.475,3.82,0.7,1.05,19.07
Blackburn Rovers,Eng,5.575,3,3.5856,3.6714,3.05,18.882
Real Zaragoza,Esp,4.775,2.6624,3.5856,3.6428,4.1714,18.837
CFR Cluj,Rom,0.52,6.5284,3.2166,7.6332,0.8666,18.764
AS Nancy Lorraine,Fra,1.3856,9.2,3,2.15,2.1,17.835
Anorthosis Famagusta,Cyp,1.5332,9.2666,1.35,2.125,2.825,17.099
Genoa,Ita,2.05,2.275,8.0856,2.3142,2.2714,16.996
England,,3.575,3,3.5856,3.6714,3.05,16.882
Young Boys,Sui,1.25,1.58,2.15,9.18,2.7,16.86
Spain,,2.775,2.6624,3.5856,3.6428,4.1714,16.837
AJ Auxerre,Fra,1.3856,2.2,3,8.15,2.1,16.835
Nacional Funchal,Por,1.5856,1.357,6,3.76,3.8666,16.569
Racing Genk,Bel,0.9,0.9,3.24,2.42,9.02,16.48
Unirea Urziceni,Rom,0.52,1.5284,11.2166,2.1332,0.8666,16.264
NEC Nijmegen,Ned,1,8.2666,1.8832,2.2332,2.72,16.103
FSV Mainz 05,Ger,2.7,2.5374,3.6166,3.1332,4.05,16.037
Germany,,2.7,2.5374,3.6166,3.1332,3.05,15.037
OB Odense,Den,3.025,1.64,2.38,4.34,3.62,15.005
Wisla Kraków,Pol,0.3332,2,1.425,1.9,9.325,14.983
MSK Zilina,Svk,0.4332,6.9666,2,4.6,0.975,14.974
Partizan Belgrade,Srb,0.525,4.6,2.6,4.7,1.925,14.35
FC Sochaux-Montbéliard,Fra,3.3856,2.2,3,2.15,3.6,14.335
FC Utrecht,Ned,1,1.2666,1.8832,7.2332,2.72,14.103
Viktoria Plzen,Cze,1.025,0.475,0.82,1.7,10.05,14.07
Dnipro Dnipropetrovsk,Ukr,2.975,3.325,1.16,3.5166,3.05,14.026
Empoli,Ita,4.05,2.275,3.0856,2.3142,2.2714,13.996
FC Vaslui,Rom,0.52,2.5284,2.7166,2.1332,5.8666,13.764
Vitória Guimarães,Por,1.5856,2.357,2,3.76,3.8666,13.569
Maccabi Haifa,Isr,0.475,0.35,5.45,1.925,5.2,13.4
Bursaspor,Tur,1.95,1.4,1.52,5.92,2.52,13.31
Dinamo Bucuresti,Rom,2.52,1.5284,5.2166,1.6332,2.3666,13.264
Paços de Ferreira,Por,2.5856,1.357,3,3.76,2.3666,13.069
União de Leiria,Por,3.5856,1.357,2,3.76,2.3666,13.069
Helsingborg IF,Swe,8.08,0.5,1.5,0.52,2.08,12.68
Feyenoord,Ned,1,3.2666,1.8832,3.7332,2.72,12.603
Maritimo Funchal,Por,1.5856,1.357,2,5.26,2.3666,12.569
Vorskla Poltava,Ukr,0.975,3.325,2.66,2.0166,3.55,12.526
Karpaty Lviv,Ukr,0.975,3.325,1.16,4.0166,3.05,12.526
AA Gent,Bel,0.9,0.9,2.74,5.92,2.02,12.48
Panionios,Gre,6.5,1.3,1.58,1.52,1.52,12.42
En Avant Guingamp,Fra,1.3856,2.2,4.5,2.15,2.1,12.335
Rapid Wien,Aut,1.64,0.45,5.875,2.875,1.425,12.265
Vitória Setúbal,Por,1.5856,2.357,2,3.76,2.3666,12.069
Italy,,2.05,2.275,3.0856,2.3142,2.2714,11.996
Legia Warsaw,Pol,0.3332,1,1.425,0.9,8.325,11.983
Levski Sofia,Bul,0.55,1.45,2.625,5.925,1.3,11.85
Montpellier,Fra,1.3856,2.2,3,3.15,2.1,11.835
RC Lens,Fra,2.3856,2.2,3,2.15,2.1,11.835
Sturm Graz,Aut,0.64,0.45,4.875,2.375,3.425,11.765
Aberdeen,Sco,8.05,0.375,1.5332,0.72,0.55,11.228
FC Groningen,Ned,3,1.2666,1.8832,2.2332,2.72,11.103
Portugal,,1.5856,1.357,2,3.76,2.3666,11.069
Alania Vladikavkaz,Rus,2.25,1.95,1.2332,2.1832,3.45,11.066
Sibir Novosibirsk,Rus,2.25,1.95,1.2332,3.6832,1.95,11.066
Dinamo Moscow,Rus,2.25,1.95,2.7332,2.1832,1.95,11.066
Amkar Perm,Rus,2.25,1.95,2.7332,2.1832,1.95,11.066
Red Star Belgrade,Srb,4.525,0.6,2.1,1.7,1.925,10.85
France,,1.3856,2.2,3,2.15,2.1,10.835
NAC Breda,Ned,1,1.2666,3.3832,2.2332,2.72,10.603
Krylia Sovetov Samara,Rus,2.25,1.95,2.2332,2.1832,1.95,10.566
FK Moscow,Rus,2.25,2.95,1.2332,2.1832,1.95,10.566
Tavria Simferopol,Ukr,0.975,3.325,1.16,3.5166,1.55,10.526
Metalurg Donetsk,Ukr,0.975,3.325,2.66,2.0166,1.55,10.526
FC Sion,Sui,3.25,0.58,2.65,1.18,2.7,10.36
CSKA Sofia,Bul,2.55,0.45,2.625,2.925,1.8,10.35
IF Elfsborg,Swe,4.08,0.5,2,2.02,1.58,10.18
ADO Den Haag,Ned,1,1.2666,1.8832,2.2332,3.72,10.103
SK Brann Bergen,Nor,6.08,2.5,0.42,0.475,0.46,9.935
AE Larissa,Gre,3.5,1.3,2.08,1.52,1.52,9.92
Sheriff Tiraspol,Mol,0.2666,0.1332,4.425,4.425,0.6,9.849
Russia,,2.25,1.95,1.2332,2.1832,1.95,9.566
Brøndby IF,Den,1.025,1.64,2.38,2.84,1.62,9.505
FC Timisoara,Rom,0.52,0.5284,5.2166,2.1332,0.8666,9.264
Netherlands,,1,1.2666,1.8832,2.2332,2.72,9.103
AEK Larnaca,Cyp,0.5332,1.2666,0.85,0.625,5.825,9.099
Omonia Nicosia,Cyp,0.5332,1.2666,1.85,2.125,3.325,9.099
Mladá Boleslav,Cze,5.025,0.475,0.82,0.7,2.05,9.07
Ukraine,,0.975,3.325,1.16,2.0166,1.55,9.026
Rapid Bucuresti,Rom,2.52,1.5284,1.2166,0.6332,2.8666,8.764
Olympiakos Volou,Gre,1.5,1.3,1.58,1.52,2.52,8.42
Litex Lovech,Bul,0.55,1.45,2.125,2.425,1.8,8.35
Sivasspor,Tur,1.95,1.4,3.02,0.92,1.02,8.31
FC Nordsjælland,Den,1.025,1.64,0.88,2.34,2.12,8.005
Slovan Bratislava,Svk,0.4332,0.9666,2,2.1,2.475,7.974
DVSC Debrecen,Hun,0.2,0.2,4.55,2.55,0.45,7.95
Maccabi Tel-Aviv,Isr,0.475,0.35,1.45,2.425,3.2,7.9
Gaziantepspor,Tur,1.95,1.4,1.52,0.92,2.02,7.81
Kayserispor,Tur,1.95,2.4,1.52,0.92,1.02,7.81
Hajduk Split,Cro,0.7332,0.8666,1.6,2.825,1.75,7.774
Otelul Galati,Rom,0.52,0.5284,1.2166,0.6332,4.8666,7.764
Randers FC,Den,1.025,1.64,1.88,2.34,0.62,7.505
KVC Westerlo,Bel,0.9,0.9,1.74,0.92,3.02,7.48
Cercle Brugge,Bel,0.9,0.9,1.74,1.92,2.02,7.48
Greece,,1.5,1.3,1.58,1.52,1.52,7.42
Bnei Yehuda,Isr,0.475,0.35,2.95,1.425,2.2,7.4
Lausanne Sports,Sui,1.25,0.58,1.15,3.18,1.2,7.36
Hearts FC,Sco,2.05,0.375,2.0332,0.72,2.05,7.228
Kalmar FF,Swe,1.08,2.5,1.5,1.52,0.58,7.18
FC Thun,Sui,1.25,0.58,1.15,1.18,2.7,6.86
Grasshoppers Zürich,Sui,1.25,0.58,1.15,2.68,1.2,6.86
Turkey,,1.95,1.4,1.52,0.92,1.02,6.81
SV Ried,Aut,0.64,0.45,1.875,0.875,2.925,6.765
Motherwell,Sco,2.05,0.375,1.5332,2.22,0.55,6.728
FC Midtjylland,Den,1.025,1.64,0.88,1.34,1.62,6.505
Belgium,,0.9,0.9,1.74,0.92,2.02,6.48
NK Maribor,Slo,0.1332,0.2666,1.775,1.8,2.45,6.424
FC Luzern,Sui,1.25,0.58,1.15,2.18,1.2,6.36
Dundee United,Sco,2.05,0.375,0.5332,2.22,1.05,6.228
Apollon Limassol,Cyp,0.5332,1.2666,0.85,1.625,1.825,6.099
APOP Kinyras Peyias,Cyp,0.5332,1.2666,1.85,0.625,1.825,6.099
FK Jablonec,Cze,1.025,0.475,0.82,1.7,2.05,6.07
Baník Ostrava,Cze,1.025,1.475,0.82,1.7,1.05,6.07
Vålerengen IF,Nor,2.08,0.5,1.42,0.475,1.46,5.935
Lokomotiv Sofia,Bul,2.55,0.45,0.625,0.925,1.3,5.85
AIK Stockholm,Swe,2.08,0.5,0.5,2.02,0.58,5.68
FK Ventspils,Lat,0.2666,0.2332,3.45,0.6,1.125,5.674
Dinamo Minsk,Bls,0.3666,0.8,1.175,2.675,0.625,5.641
Rabotnicki Skopje,Mac,1.3332,0.1,1.1,1.275,1.825,5.633
FK Teplice,Cze,1.025,0.475,2.32,0.7,1.05,5.57
Sigma Olomouc,Cze,1.025,0.475,2.32,0.7,1.05,5.57
Slovan Liberec,Cze,1.025,0.475,2.32,0.7,1.05,5.57
Denmark,,1.025,1.64,0.88,1.34,0.62,5.505
Slask Wroclaw,Pol,0.3332,1,0.425,0.9,2.825,5.483
Aalesunds FK,Nor,1.08,0.5,0.42,1.475,1.96,5.435
Maccabi Netanya,Isr,0.475,0.35,2.45,0.925,1.2,5.4
Switzerland,,1.25,0.58,1.15,1.18,1.2,5.36
HJK Helsinki,Fin,0.525,0.3666,0.775,1.86,1.8,5.326
Austria,,0.64,0.45,1.875,0.875,1.425,5.265
Gaz Metan Medias,Rom,0.52,0.5284,1.2166,0.6332,2.3666,5.264
Garabag Agdam,Azb,0.1332,0.1332,1.8,1.9,1.275,5.241
Dinamo Tbilisi,Geo,0.2,0.2332,1.35,1.375,2.075,5.233
Jagiellonia Bialystok,Pol,0.3332,1,0.425,1.9,1.575,5.233
Hibernian,Sco,2.05,0.375,0.5332,1.72,0.55,5.228
Malmö FF,Swe,1.08,0.5,0.5,0.52,2.58,5.18
IFK Göteborg,Swe,1.08,0.5,1.5,1.52,0.58,5.18
Hammarby IF,Swe,3.08,0.5,0.5,0.52,0.58,5.18
Dnepr Mogilev,Bls,0.3666,0.8,0.675,2.675,0.625,5.141
Cyprus,,0.5332,1.2666,0.85,0.625,1.825,5.099
FK Aktobe,Kaz,0.15,0.1666,1.75,1.675,1.325,5.066
Ruch Chorzow,Pol,0.3332,1,0.425,1.9,1.325,4.983
Polonia Warsaw,Pol,0.3332,1,1.425,0.9,1.325,4.983
St. Patrick's Athletic,Irl,0.2,1.5,1.775,0.2,1.3,4.975
Spartak Trnava,Svk,0.4332,0.9666,1,0.6,1.975,4.974
Tromsø IL,Nor,1.08,0.5,1.92,0.475,0.96,4.935
Stabæk IF,Nor,1.08,0.5,1.92,0.975,0.46,4.935
Ekranas Panevezys,Lit,0.3,0.5,1.25,1.125,1.7,4.875
Cherno More Varna,Bul,0.55,1.45,1.625,0.925,0.3,4.85
NK Varazdin,Cro,0.7332,0.8666,0.6,0.825,1.75,4.774
RNK Split,Cro,0.7332,0.8666,0.6,0.825,1.75,4.774
NK Rijeka,Cro,0.7332,0.8666,1.6,0.825,0.75,4.774
Slaven Koprivnica,Cro,0.7332,0.8666,1.6,0.825,0.75,4.774
FC Zestafoni,Geo,0.2,0.2332,0.85,1.375,2.075,4.733
Falkirk FC,Sco,2.05,0.375,1.0332,0.72,0.55,4.728
FC Gomel,Bls,0.3666,0.8,0.675,1.175,1.625,4.641
Shamrock Rovers,Irl,0.2,0.5,0.275,1.2,2.3,4.475
MFK Kosice,Svk,0.4332,0.9666,2,0.6,0.475,4.474
Israel,,0.475,0.35,1.45,0.925,1.2,4.4
Vojvodina Novi Sad,Srb,0.525,0.6,1.6,0.7,0.925,4.35
NK Sibenik,Cro,0.7332,0.8666,0.6,1.325,0.75,4.274
Cibalia Vinkovci,Cro,0.7332,0.8666,0.6,1.325,0.75,4.274
Olimpi Rustavi,Geo,0.2,0.2332,0.85,1.375,1.575,4.233
Scotland,,2.05,0.375,0.5332,0.72,0.55,4.228
FK Sarajevo,Bos,0.3666,0.3666,1.85,0.375,1.225,4.183
BK Häcken,Swe,1.08,0.5,0.5,0.52,1.58,4.18
FK Minsk,Bls,0.3666,0.8,0.675,1.175,1.125,4.141
Shakhtior Saligorsk,Bls,0.3666,0.8,0.675,1.175,1.125,4.141
Torpedo Zhodino,Bls,0.3666,0.8,0.675,1.675,0.625,4.141
Naftan Novopolotsk,Bls,0.3666,0.8,1.175,1.175,0.625,4.141
MTZ-Ripo Minsk,Bls,0.3666,0.8,1.175,1.175,0.625,4.141
Czech Republic,,1.025,0.475,0.82,0.7,1.05,4.07
Poland,,0.3332,1,0.425,0.9,1.325,3.983
Bohemians Dublin,Irl,0.2,0.5,1.275,1.2,0.8,3.975
FK Senica,Svk,0.4332,0.9666,0.5,0.6,1.475,3.974
Strømsgodset IF,Nor,1.08,0.5,0.42,0.475,1.46,3.935
Molde FK,Nor,1.08,0.5,0.42,1.475,0.46,3.935
Fredrikstad FK,Nor,1.08,0.5,1.42,0.475,0.46,3.935
Spartak Zlatibor Voda,Srb,0.525,0.6,0.6,1.7,0.425,3.85
OFK Belgrade,Srb,0.525,0.6,0.6,1.7,0.425,3.85
FK Sevojno,Srb,0.525,0.6,1.6,0.7,0.425,3.85
FC Beroe Stara Zagora,Bul,0.55,0.45,0.625,1.925,0.3,3.85
Honka Espoo,Fin,0.525,0.3666,1.275,0.86,0.8,3.826
Inter Turku,Fin,0.525,0.3666,1.275,1.36,0.3,3.826
Croatia,,0.7332,0.8666,0.6,0.825,0.75,3.774
Romania,,0.52,0.5284,1.2166,0.6332,0.8666,3.764
Zeljeznicar Sarajevo,Bos,0.3666,0.3666,0.35,1.375,1.225,3.683
Zrinjski Mostar,Bos,0.3666,0.3666,1.35,1.375,0.225,3.683
Örebro SK,Swe,1.08,0.5,0.5,0.52,1.08,3.68
Gefle IF,Swe,1.08,0.5,0.5,1.02,0.58,3.68
Belarus,,0.3666,0.8,0.675,1.175,0.625,3.641
KR Reykjavik,Isl,0.2332,0.2332,1.25,0.575,1.275,3.566
FH Hafnarfjardar,Isl,0.2332,0.2332,1.25,1.075,0.775,3.566
Levadia Tallinn,Est,0.1666,0.0666,1.675,1.05,0.575,3.533
Dukla Banska Bystrica,Svk,0.4332,0.9666,0.5,1.1,0.475,3.474
Videoton Fehérvár,Hun,0.2,0.2,0.55,1.05,1.45,3.45
ETO Györ,Hun,0.2,0.2,0.55,2.05,0.45,3.45
Pyunik Yerevan,Arm,0.2666,,1.1,1.05,1.025,3.441
Mogren Budva,Mon,0.1,0.1,1.225,0.85,1.1,3.375
FK Rad Belgrade,Srb,0.525,0.6,0.6,0.7,0.925,3.35
Dacia Chisinau,Mol,0.2666,0.1332,0.925,0.925,1.1,3.349
FC Vaduz,Lie,0.1,,1.2,0.6,1.4,3.3
FK Baku,Azb,0.1332,0.1332,1.8,0.9,0.275,3.241
Georgia Tbilisi,Geo,0.2,0.2332,1.35,0.875,0.575,3.233
FC Nitra,Svk,0.4332,0.9666,0.5,0.85,0.475,3.224
FK Borac Banja Luka,Bos,0.3666,0.3666,0.35,0.875,1.225,3.183
Sweden,,1.08,0.5,0.5,0.52,0.58,3.18
Metalurgs Liepaja,Lat,0.2666,0.2332,0.95,1.1,0.625,3.174
Bangor City,Wal,0.1332,0.0666,0.55,1.175,1.125,3.049
Slovakia,,0.4332,0.9666,0.5,0.6,0.475,2.974
Differdange 03,Lux,0.0666,,0.55,0.625,1.725,2.966
Paksi FC,Hun,0.2,0.2,0.55,0.55,1.45,2.95
Honvéd Budapest,Hun,0.2,0.2,1.55,0.55,0.45,2.95
Norway,,1.08,0.5,0.42,0.475,0.46,2.935
Siroki Brijeg,Bos,0.3666,0.3666,0.85,0.875,0.475,2.933
Skonto Riga,Lat,0.2666,0.2332,0.95,0.35,1.125,2.924
Suduva Marijampole,Lit,0.3,0.5,0.75,0.625,0.7,2.875
Serbia,,0.525,0.6,0.6,0.7,0.425,2.85
Bulgaria,,0.55,0.45,0.625,0.925,0.3,2.85
Iskra-Stal Ribnita,Mol,0.2666,0.1332,0.925,0.925,0.6,2.849
TPS Turku,Fin,0.525,0.3666,0.275,0.86,0.8,2.826
MyPa-47,Fin,0.525,0.3666,0.275,1.36,0.3,2.826
FC Lahti,Fin,0.525,0.3666,1.275,0.36,0.3,2.826
Tampere United,Fin,1.525,0.3666,0.275,0.36,0.3,2.826
Tobol Kustanai,Kaz,0.15,0.1666,0.75,0.425,1.325,2.816
The New Saints,Wal,0.1332,0.0666,0.3,1.675,0.625,2.799
HB Torshavn,Far,0.0666,0.0666,0.5,1.05,1.1,2.783
SK Tirana,Alb,0.1,0.1332,1.2,0.675,0.675,2.783
Linfield Belfast,Nir,0.1,0.0666,0.275,1.225,1.1,2.766
Sligo Rovers,Irl,0.2,0.5,0.525,0.2,1.3,2.725
F91 Dudelange,Lux,0.0666,,1.05,0.375,1.225,2.716
Slavija Sarajevo,Bos,0.3666,0.3666,1.35,0.375,0.225,2.683
Olimpija Ljubljana,Slo,0.1332,0.2666,0.275,0.55,1.45,2.674
NK Koper,Slo,0.1332,0.2666,0.275,1.3,0.7,2.674
Renova Dzepciste,Mac,0.3332,0.1,0.35,1.275,0.575,2.633
Valletta FC,Mlt,,,0.65,0.8,1.1666,2.616
Breidablik,Isl,0.2332,0.2332,0.25,0.575,1.275,2.566
Inter Baku,Azb,0.1332,0.1332,0.55,1.4,0.275,2.491
Derry City,Irl,0.2,0.5,1.275,0.2,0.3,2.475
Ferencváros,Hun,0.2,0.2,0.55,0.55,0.95,2.45
Kecskeméti TE,Hun,0.2,0.2,0.55,0.55,0.95,2.45
Haladás Szombathely,Hun,0.2,0.2,1.05,0.55,0.45,2.45
Újpest TE,Hun,0.2,0.2,1.05,0.55,0.45,2.45
Nova Gorica,Slo,0.1332,0.2666,0.775,0.8,0.45,2.424
IB Ljubljana,Slo,0.1332,0.2666,1.275,0.3,0.45,2.424
FK Tauras,Lit,0.3,0.5,0.25,0.625,0.7,2.375
Rudar Pljevlja,Mon,0.1,0.1,0.225,1.35,0.6,2.375
Buducnost Podgorica,Mon,0.1,0.1,0.475,1.35,0.35,2.375
Vetra Vilnius,Lit,0.3,0.5,1.25,0.125,0.2,2.375
KuPS Kuopio,Fin,0.525,0.3666,0.275,0.36,0.8,2.326
Flora Tallinn,Est,0.1666,0.0666,0.675,0.3,1.075,2.283
Glentoran,Nir,0.1,0.0666,1.025,0.475,0.6,2.266
Neftchi Baku,Azb,0.1332,0.1332,0.3,0.4,1.275,2.241
Gagra Tbilisi,Geo,0.2,0.2332,0.35,0.375,1.075,2.233
Sant Julià,And,0.1,,1.1,0.5,0.5,2.2
Zalaegerszeg TE,Hun,0.2,0.2,0.55,0.8,0.45,2.2
Shkendija Tetovo,Mac,0.3332,0.1,0.1,0.275,1.325,2.133
Teteks Tetovo,Mac,0.3332,0.1,0.1,1.275,0.325,2.133
Makedonija Skopje,Mac,0.3332,0.1,1.1,0.275,0.325,2.133
Birkirkara,Mlt,,,0.4,1.3,0.4166,2.116
EB Streymur,Far,0.0666,0.0666,1,0.3,0.6,2.033
Dinamo Tirana,Alb,0.1,0.1332,0.45,1.175,0.175,2.033
Khazar Lenkoran,Azb,0.1332,0.1332,0.3,0.65,0.775,1.991
Dundalk,Irl,0.2,0.5,0.275,0.7,0.3,1.975
Sporting Fingal,Irl,0.2,0.5,0.275,0.7,0.3,1.975
Hungary,,0.2,0.2,0.55,0.55,0.45,1.95
NK Domzale,Slo,0.1332,0.2666,0.275,0.3,0.95,1.924
Rudar Velenje,Slo,0.1332,0.2666,0.775,0.3,0.45,1.924
Metalurg Skopje,Mac,0.3332,0.1,0.1,0.525,0.825,1.883
FK Siauliai,Lit,0.3,0.5,0.25,0.625,0.2,1.875
FBK Kaunas,Lit,0.3,0.5,0.75,0.125,0.2,1.875
OFK Petrovac,Mon,0.1,0.1,1.225,0.35,0.1,1.875
Olimpia Balti,Mol,0.2666,0.1332,0.425,0.925,0.1,1.849
Zimbru Chisinau,Mol,0.2666,0.1332,0.925,0.425,0.1,1.849
Finland,,0.525,0.3666,0.275,0.36,0.3,1.826
Shakhtyor Karaganda,Kaz,0.15,0.1666,0.25,0.425,0.825,1.816
Irtysh Pavlodar,Kaz,0.15,0.1666,0.5,0.175,0.825,1.816
Skënderbeu Korçë,Alb,0.1,0.1332,0.2,0.175,1.175,1.783
KS Flamurtari Vlorë,Alb,0.1,0.1332,0.7,0.175,0.675,1.783
Vllaznia Shkodër,Alb,0.1,0.1332,0.7,0.175,0.675,1.783
