,,07월 08일,08월 09일,09월 10일,10월 11일,11월 12일,ranking
FC Barcelona,Esp,27.775,28.6624,30.5856,36.6428,34.1714,157.837
Manchester United,Eng,32.575,28,28.5856,36.6714,16.05,141.882
Chelsea,Eng,28.575,25,22.5856,26.6714,33.05,135.882
Bayern München,Ger,22.7,22.5374,30.6166,24.1332,33.05,133.037
Real Madrid,Esp,14.775,14.6624,22.5856,33.6428,36.1714,121.837
Arsenal,Eng,21.575,22,25.5856,22.6714,22.05,113.882
Internazionale,Ita,16.05,13.275,34.0856,21.3142,20.2714,104.996
Atlético Madrid,Esp,14.775,17.6624,24.5856,9.6428,34.1714,100.837
FC Porto,Por,15.5856,17.357,21,31.76,12.3666,98.069
Olympique Lyon,Fra,13.3856,15.2,28,19.15,19.1,94.835
Liverpool,Eng,24.575,23,24.5856,15.6714,3.05,90.882
AC Milan,Ita,16.05,14.275,19.0856,18.3142,22.2714,89.996
Valencia,Esp,9.775,13.6624,19.5856,21.6428,25.1714,89.837
Benfica,Por,12.5856,4.357,21,25.76,23.3666,87.069
Olympique Marseille,Fra,13.3856,14.2,17,20.15,21.1,85.835
Shakhtar Donetsk,Ukr,7.975,29.325,11.16,26.0166,9.55,84.026
Sporting CP Lisbon,Por,18.5856,13.357,14,13.76,22.3666,82.069
CSKA Moscow,Rus,6.25,18.95,21.2332,16.1832,17.95,80.566
Villarreal,Esp,15.775,18.6624,10.5856,26.6428,8.1714,79.837
Zenit St. Petersburg,Rus,23.25,14.95,2.7332,18.1832,19.95,79.066
Schalke 04,Ger,15.7,8.5374,3.6166,30.1332,20.05,78.037
PSV Eindhoven,Ned,17,6.2666,13.8832,20.2332,18.72,76.103
Werder Bremen,Ger,15.7,24.5374,18.6166,11.1332,3.05,73.037
Hamburger SV,Ger,18.7,24.5374,21.6166,3.1332,3.05,71.037
Sevilla,Esp,18.775,10.6624,22.5856,12.6428,5.6714,70.337
AS Roma,Ita,19.05,16.275,12.0856,18.3142,3.7714,69.496
Tottenham Hotspur,Eng,16.575,12,3.5856,24.6714,10.05,66.882
Manchester City,Eng,3.575,20,3.5856,16.6714,20.05,63.882
Sporting Braga,Por,8.5856,13.357,3,25.76,12.3666,63.069
Fiorentina,Ita,23.05,11.275,24.0856,2.3142,2.2714,62.996
Dinamo Kiev,Ukr,3.975,22.325,9.16,19.0166,7.55,62.026
Olympiakos Piraeus,Gre,14.5,9.3,17.58,2.52,17.52,61.42
Bayer Leverkusen,Ger,18.7,2.5374,3.6166,16.1332,19.05,60.037
Girondins Bordeaux,Fra,13.3856,11.2,30,2.15,2.1,58.835
Ajax,Ned,3,14.2666,10.8832,15.2332,14.72,58.103
FC Twente Enschede,Ned,3,9.2666,9.8832,17.2332,17.72,57.103
VfB Stuttgart,Ger,7.7,10.5374,20.6166,13.1332,3.05,55.037
FC Basel,Sui,11.25,4.58,7.15,10.18,20.2,53.36
Metalist Kharkiv,Ukr,1.975,18.325,2.66,10.0166,19.55,52.526
Panathinaikos,Gre,13.5,13.3,13.58,7.52,3.02,50.92
Anderlecht,Bel,12.9,0.9,14.74,5.92,14.02,48.48
Athletic Bilbao,Esp,2.775,2.6624,11.5856,3.6428,27.1714,47.837
Juventus,Ita,2.05,16.275,18.0856,8.3142,2.2714,46.996
FC København,Den,6.025,9.64,7.88,18.34,4.62,46.505
Standard Liège,Bel,1.9,10.9,17.74,0.92,15.02,46.48
Spartak Moscow,Rus,13.25,7.95,1.2332,20.1832,3.45,46.066
Fulham FC,Eng,3.575,3,26.5856,3.6714,9.05,45.882
Paris Saint-Germain,Fra,1.3856,18.2,3,14.15,9.1,45.835
AZ Alkmaar,Ned,7,1.2666,9.8832,7.2332,18.72,44.103
Glasgow Rangers,Sco,22.05,0.375,6.5332,12.72,2.05,43.728
Everton,Eng,20.575,4,11.5856,3.6714,3.05,42.882
Besiktas,Tur,8.95,3.4,8.52,9.92,11.02,41.81
Fenerbahçe,Tur,18.95,6.4,12.52,2.42,1.02,41.31
VfL Wolfsburg,Ger,2.7,12.5374,19.6166,3.1332,3.05,41.037
Rubin Kazan,Rus,2.25,1.95,14.2332,12.1832,9.95,40.566
Napoli,Ita,2.05,4.275,3.0856,9.3142,21.2714,39.996
Getafe,Esp,20.775,2.6624,3.5856,8.6428,4.1714,39.837
Udinese,Ita,2.05,17.275,3.0856,2.3142,14.2714,38.996
Lille OSC,Fra,1.3856,2.2,15,9.15,11.1,38.835
Galatasaray,Tur,7.95,15.4,11.52,2.42,1.02,38.31
Club Brugge,Bel,2.9,6.9,11.74,3.92,10.02,35.48
APOEL Nicosia,Cyp,0.5332,2.2666,7.85,2.125,20.825,33.599
Celtic,Sco,12.05,7.375,5.5332,2.22,5.55,32.728
Hapoel Tel-Aviv,Isr,5.475,0.35,10.45,8.925,6.2,31.4
Hannover 96,Ger,2.7,2.5374,3.6166,3.1332,19.05,31.037
