,,13/14,14/15,15/16,16/17,17/18,Total,Country,total
,,,,,,,Points,Part,
Real Madrid,Esp,35,29,33,33,32,162,21.399,183.399
Atlético Madrid,Esp,33,22,28,29,28,140,21.399,161.399
Bayern München,Ger,27,28,29,22,29,135,14.285,149.285
FC Barcelona,Esp,24,34,26,23,25,132,21.399,153.399
Juventus,Ita,23,29,18,33,23,126,15.249,141.249
Sevilla,Esp,22,28,23,19,21,113,21.399,134.399
Paris Saint-Germain,Fra,25,21,24,20,19,109,11.283,120.283
Manchester City,Eng,19,15,26,18,22,100,15.921,115.921
Arsenal,Eng,18,20,15,19,21,93,15.921,108.921
Borussia Dortmund,Ger,22,18,17,22,10,89,14.285,103.285
FC Porto,Por,16,25,11,17,17,86,9.449,95.449
Manchester United,Eng,23,,13,26,20,82,15.921,97.921
Chelsea,Eng,25,21,18,,18,82,15.921,97.921
Shakhtar Donetsk,Ukr,11,17,20,14,19,81,8.226,89.226
Benfica,Por,29,8,22,17,4,80,9.449,89.449
Zenit St. Petersburg,Rus,16,17,19,12,14,78,10.676,88.676
Napoli,Ita,16,22,13,17,10,78,15.249,93.249
FC Basel,Sui,19,15,12,6,19,71,6.04,77.04
Tottenham Hotspur,Eng,15,9,12,10,21,67,15.921,82.921
Bayer Leverkusen,Ger,16,18,14,18,,66,14.285,80.285
AS Roma,Ita,,12,14,13,25,64,15.249,79.249
Liverpool,Eng,,10,22,,30,62,15.921,77.921
Dinamo Kiev,Ukr,8,16,18,8,12,62,8.226,70.226
Schalke 04,Ger,16,17,11,18,,62,14.285,76.285
Olympique Lyon,Fra,15,1.5,7,22,14,59.5,11.283,70.783
Besiktas,Tur,,11,7,20,19,57,7.16,64.16
AS Monaco,Fra,,21,5,25,6,57,11.283,68.283
FC Salzburg,Aut,17,11,1.5,5,21,55.5,6.57,62.07
Olympiakos Piraeus,Gre,18,11,10,10,5,54,5.72,59.72
Fiorentina,Ita,15,20,8,11,,54,15.249,69.249
Ajax,Ned,10,14,6,22,1.5,53.5,5.949,59.449
Villarreal,Esp,,12,23,9,8,52,21.399,73.399
Anderlecht,Bel,5,10,11,16,6,48,7.7,55.7
Athletic Bilbao,Esp,,10,17,9,10,46,21.399,67.399
CSKA Moscow,Rus,6,8,7,7,17,45,10.676,55.676
Lazio,Ita,10,,14,,17,41,15.249,56.249
Sporting CP Lisbon,Por,,10,7,6,17,40,9.449,49.449
VfL Wolfsburg,Ger,,16,24,,,40,14.285,54.285
Ludogorets Razgrad,Bul,14,7,1,8,7,37,3.825,40.825
PSV Eindhoven,Ned,5,6,18,6,1,36,5.949,41.949
Valencia,Esp,22,,14,,,36,21.399,57.399
Sparta Praha,Cze,0.5,7,17,9,1,34.5,6.035,40.535
FC København,Den,7,3,1,16,7,34,5.19,39.19
Dnipro Dnipropetrovsk,Ukr,10,19,5,,,34,8.226,42.226
Viktoria Plzen,Cze,11,1,3,5,13,33,6.035,39.035
Olympique Marseille,Fra,4,,9,,19,32,11.283,43.283
Celtic,Sco,6,7,3,7,8,31,3.725,34.725
Sporting Braga,Por,1.5,,15,5,9,30.5,9.449,39.949
PAOK Thessaloniki,Gre,9,5,6,8,1.5,29.5,5.72,35.22
Club Brugge,Bel,1,19,4,4,1.5,29.5,7.7,37.2
Galatasaray,Tur,15,5,9,,0.5,29.5,7.16,36.66
Borussia Mönchengladbach,Ger,,9,8,12,,29,14.285,43.285
AC Milan,Ita,16,,,,12,28,15.249,43.249
FCSB,Rom,7,5,1.5,5,9,27.5,4.09,31.59
APOEL Nicosia,Cyp,4,5,2,10,6,27,4.31,31.31
AA Gent,Bel,,,16,10,1,27,7.7,34.7
Racing Genk,Bel,11,,,16,,27,7.7,34.7
AZ Alkmaar,Ned,16,,3,6,,25,5.949,30.949
Legia Warsaw,Pol,2,10,3,8,1.5,24.5,4.025,28.525
AS Saint-Étienne,Fra,1.5,5,9,9,,24.5,11.283,35.783
Fenerbahçe,Tur,,,12,10,1.5,23.5,7.16,30.66
FK Krasnodar,Rus,,5,9,8,1.5,23.5,10.676,34.176
Lokomotiv Moscow,Rus,,1.5,9,,12,22.5,10.676,33.176
NK Maribor,Slo,6,7,1,1.5,7,22.5,2.9,25.4
Maccabi Tel-Aviv,Isr,9,1.5,4,5,3,22.5,4.35,26.85
Leicester City,Eng,,,,22,,22,15.921,37.921
FK Astana,Kaz,0.25,1.5,8,4,8,21.75,3.625,25.375
Feyenoord,Ned,1.5,9,,5,6,21.5,5.949,27.449
Rapid Wien,Aut,5,1.5,10,5,,21.5,6.57,28.07
Real Sociedad,Esp,5,1.5,,,9,15.5,21.399,36.899
Celta de Vigo,Esp,,,,19,,19,21.399,40.399
