,,13/14,14/15,15/16,16/17,17/18,Total,Country,total
Real Betis,Esp,12,,,,,12,21.399,33.399
Spain,,,,,,,,21.399,21.399
Qarabag FK,Azb,1.5,5,3,5,6,20.5,3.825,24.325
Young Boys,Sui,,8,1.5,6,5,20.5,6.04,26.54
BATE Borisov,Bls,1,6,8,1.5,4,20.5,3.725,24.225
Trabzonspor,Tur,10,7,1,,,18,7.16,25.16
Dinamo Zagreb,Cro,2,4,6,4,1.5,17.5,5.2,22.7
RB Leipzig,Ger,,,,,17,17,14.285,31.285
Partizan Belgrade,Srb,1.5,2,6,0.5,7,17,3.75,20.75
Everton,Eng,,14,,,3,17,15.921,32.921
Slovan Liberec,Cze,8,1,5,3,,17,6.035,23.035
Austria Wien,Aut,8,,,4,4,16,6.57,22.57
Internazionale,Ita,,12,,4,,16,15.249,31.249
Rubin Kazan,Rus,11,,5,,,16,10.676,26.676
Dinamo Moscow,Rus,,16,,,,16,10.676,26.676
Southampton FC,Eng,,,1.5,6,,7.5,15.921,23.421
West Ham United,Eng,,,1,1.5,,2.5,15.921,18.421
Hull City,Eng,,1.5,,,,1.5,15.921,17.421
Swansea City,Eng,7,,,,,7,15.921,22.921
Wigan Athletic,Eng,4,,,,,4,15.921,19.921
England,,,,,,,,15.921,15.921
NK Rijeka,Cro,4,5,0.5,1,5,15.5,5.2,20.7
Atalanta,Ita,,,,,11,11,15.249,26.249
Sassuolo,Ita,,,,4,,4,15.249,19.249
Sampdoria,Ita,,,1,,,1,15.249,16.249
Torino,Ita,,13,,,,13,15.249,28.249
Udinese,Ita,1.5,,,,,1.5,15.249,16.749
Italy,,,,,,,,15.249,15.249
Sheriff Tiraspol,Mol,5,1.5,0.25,1,7,14.75,2,16.75
Hertha BSC,Ger,,,,1,4,5,14.285,19.285
1.FC Köln,Ger,,,,,4,4,14.285,18.285
1899 Hoffenheim,Ger,,,,,4,4,14.285,18.285
SC Freiburg,Ger,5,,,,1,6,14.285,20.285
FSV Mainz 05,Ger,,1,,7,,8,14.285,22.285
FC Augsburg,Ger,,,7,,,7,14.285,21.285
Eintracht Frankfurt,Ger,12,,,,,12,14.285,26.285
VfB Stuttgart,Ger,1.5,,,,,1.5,14.285,15.785
Germany,,,,,,,,14.285,14.285
Astra Giurgiu,Rom,1.5,3,1.5,7,1,14,4.09,18.09
Malmö FF,Swe,1,6,6,,1,14,3.995,17.995
Spartak Moscow,Rus,1.5,,,1,11,13.5,10.676,24.176
FK Rostov,Rus,,1.5,,12,,13.5,10.676,24.176
Standard Liège,Bel,2,3,1.5,6,,12.5,7.7,20.2
Molde FK,Nor,1.5,1,10,,,12.5,3.485,15.985
FC Zürich,Sui,1,5,1,5,,12,6.04,18.04
OGC Nice,Fra,1.5,,,4,6,11.5,11.283,22.783
FC Midtjylland,Den,,1.5,7,1.5,1.5,11.5,5.19,16.69
Girondins Bordeaux,Fra,2,,4,,1,7,11.283,18.283
Lille OSC,Fra,,4,,1,,5,11.283,16.283
En Avant Guingamp,Fra,,9,,,,9,11.283,20.283
France,,,,,,,,11.283,11.283
Zulte Waregem,Bel,5,1,,,5,11,7.7,18.7
Red Star Belgrade,Srb,1,,0.25,1.5,8,10.75,3.75,14.5
Anzhi Makhachkala,Rus,10,,,,,10,10.676,20.676
Kuban Krasnodar,Rus,5,,,,,5,10.676,15.676
Russia,,,,,,,,10.676,10.676
Östersunds FK,Swe,,,,,10,10,3.995,13.995
AEK Athens,Gre,,,,1,9,10,5.72,15.72
Hapoel Beer-Sheva,Isr,,0.5,0.5,6,3,10,4.35,14.35
Apollon Limassol,Cyp,3,2,1,1,3,10,4.31,14.31
Esbjerg fB,Den,9,1,,,,10,5.19,15.19
Vitória Guimarães,Por,4,,1,,4,9,9.449,18.449
Maritimo Funchal,Por,,,,,1.5,1.5,9.449,10.949
FC Arouca,Por,,,,1.5,,1.5,9.449,10.949
Rio Ave,Por,,3,,1,,4,9.449,13.449
CF Os Belenenses,Por,,,4,,,4,9.449,13.449
Estoril Praia,Por,3,4,,,,7,9.449,16.449
Nacional Funchal,Por,,1.5,,,,1.5,9.449,10.949
Paços de Ferreira,Por,3,,,,,3,9.449,12.449
Portugal,,,,,,,,9.449,9.449
Zorya Luhansk,Ukr,,1.5,1.5,2,4,9,8.226,17.226
Rosenborg BK,Nor,0.5,1,2,1.5,4,9,3.485,12.485
FC Sion,Sui,,,8,,1,9,6.04,15.04
Asteras Tripolis,Gre,1,5,3,,,9,5.72,14.72
Chernomorets Odesa,Ukr,8,1,,,,9,8.226,17.226
Istanbul Basaksehir,Tur,,,1,1.5,6,8.5,7.16,15.66
Skënderbeu Korçë,Alb,1.5,1,2,,4,8.5,1.7,10.2
FC Oleksandriya,Ukr,,,,1,1.5,2.5,8.226,10.726
Olimpik Donetsk,Ukr,,,,,1,1,8.226,9.226
Vorskla Poltava,Ukr,,,1,1,,2,8.226,10.226
Metalist Kharkiv,Ukr,,2,,,,2,8.226,10.226
Metalurg Donetsk,Ukr,1,,,,,1,8.226,9.226
Ukraine,,,,,,,,8.226,8.226
Dinamo Minsk,Bls,1,3,2,1,1,8,3.725,11.725
HJK Helsinki,Fin,1,4,1.5,1,0.5,8,1.38,9.38
Osmanlispor,Tur,,,,8,,8,7.16,15.16
KV Oostende,Bel,,,,,1,1,7.7,8.7
Charleroi,Bel,,,1,,,1,7.7,8.7
KSC Lokeren,Bel,,7,,,,7,7.7,14.7
Belgium,,,,,,,,7.7,7.7
Slavia Praha,Cze,,,,1.5,6,7.5,6.035,13.535
Konyaspor,Tur,,,,2,5,7,7.16,14.16
Karabükspor,Tur,,1.5,,,,1.5,7.16,8.66
Bursaspor,Tur,1,0.5,,,,1.5,7.16,8.66
Turkey,,,,,,,,7.16,7.16
Panathinaikos,Gre,,2,1.5,2,1.5,7,5.72,12.72
Hajduk Split,Cro,1,1.5,1.5,1.5,1.5,7,5.2,12.2
Lech Poznan,Pol,1,1,4,,1,7,4.025,11.025
SCR Altach,Aut,,,1.5,,1.5,3,6.57,9.57
Sturm Graz,Aut,0.5,,1,,1,2.5,6.57,9.07
Admira Wacker,Aut,,,,1,,1,6.57,7.57
Wolfsberger AC,Aut,,,1,,,1,6.57,7.57
St. Pölten,Aut,,1,,,,1,6.57,7.57
SV Grödig,Aut,,1,,,,1,6.57,7.57
FC Pasching,Aut,1.5,,,,,1.5,6.57,8.07
Austria,,,,,,,,6.57,6.57
AaB Aalborg,Den,0.5,6,,,,6.5,5.19,11.69
FC Lugano,Sui,,,,,6,6,6.04,12.04
FC Luzern,Sui,,0.5,,1,0.5,2,6.04,8.04
Grasshoppers Zürich,Sui,1.5,1.5,,1.5,,4.5,6.04,10.54
FC Thun,Sui,2,,1.5,,,3.5,6.04,9.54
FC Sankt Gallen,Sui,4,,,,,4,6.04,10.04
Switzerland,,,,,,,,6.04,6.04
FC Zlin,Cze,,,,,2,2,6.035,8.035
Mladá Boleslav,Cze,,1,0.5,1,1,3.5,6.035,9.535
FK Jablonec,Cze,1.5,,1.5,,,3,6.035,9.035
Czech Republic,,,,,,,,6.035,6.035
Vitesse Arnhem,Ned,1,,1,,4,6,5.949,11.949
FC Utrecht,Ned,0.5,,,,1.5,2,5.949,7.949
Heracles Almelo,Ned,,,,1,,1,5.949,6.949
FC Groningen,Ned,,0.5,2,,,2.5,5.949,8.449
Go Ahead Eagles,Ned,,,0.25,,,0.25,5.949,6.199
FC Twente Enschede,Ned,,1.5,,,,1.5,5.949,7.449
PEC Zwolle,Ned,,1.5,,,,1.5,5.949,7.449
Netherlands,,,,,,,,5.949,5.949
Panionios,Gre,,,,,1,1,5.72,6.72
PAS Giannina,Gre,,,,1,,1,5.72,6.72
Atromitos FC,Gre,1.5,1,1.5,,,4,5.72,9.72
Xanthi FC,Gre,1,,,,,1,5.72,6.72
Greece,,,,,,,,5.72,5.72
FH Hafnarfjardar,Isl,1.5,1,0.5,1,1.5,5.5,1.65,7.15
Dundalk,Irl,,0.5,1,3,1,5.5,1.34,6.84
Zalgiris Vilnius,Lit,1.5,1,1,1,1,5.5,1.075,6.575
IF Elfsborg,Swe,3,1.5,1,,,5.5,3.995,9.495
Gabala FK,Azb,,0.25,2,2,1,5.25,3.825,9.075
Vojvodina Novi Sad,Srb,1.5,0.5,1.5,1.5,0.25,5.25,3.75,9
NK Osijek,Cro,,,,,1.5,1.5,5.2,6.7
Lokomotiva Zagreb,Cro,0.5,,0.5,1.5,,2.5,5.2,7.7
RNK Split,Cro,,1.5,,,,1.5,5.2,6.7
Croatia,,,,,,,,5.2,5.2
Brøndby IF,Den,,1,1.5,1.5,1,5,5.19,10.19
Lyngby BK,Den,,,,,1,1,5.19,6.19
SønderjyskE,Den,,,,1.5,,1.5,5.19,6.69
Randers FC,Den,1,,0.5,,,1.5,5.19,6.69
FC Nordsjælland,Den,1.5,,,,,1.5,5.19,6.69
Denmark,,,,,,,,5.19,5.19
Vardar Skopje,Mac,1,,1,1,2,5,1.5,6.5
The New Saints,Wal,1,1,1,1,1,5,0.775,5.775
AS Trencín,Svk,1,1,1,1.5,0.5,5,2.425,7.425
Slovan Bratislava,Svk,1,2,1,0.5,0.5,5,2.425,7.425
Maccabi Haifa,Isr,4,,,0.5,,4.5,4.35,8.85
Bnei Yehuda,Isr,,,,,1,1,4.35,5.35
Beitar Jerusalem,Isr,,,0.5,1.5,0.5,2.5,4.35,6.85
Hapoel Kiryat Shmona,Isr,,1,1,,,2,4.35,6.35
Hapoel Tel-Aviv,Isr,1,0.5,,,,1.5,4.35,5.85
Hapoel Ramat-Gan,Isr,1,,,,,1,4.35,5.35
Israel,,,,,,,,4.35,4.35
AEK Larnaca,Cyp,,,1,1.5,1.5,4,4.31,8.31
AEL Limassol,Cyp,,1.5,,,1,2.5,4.31,6.81
Omonia Nicosia,Cyp,0.5,1.5,1,0.5,,3.5,4.31,7.81
Ermis Aradippou,Cyp,,1,,,,1,4.31,5.31
Anorthosis Famagusta,Cyp,0.5,,,,,0.5,4.31,4.81
Cyprus,,,,,,,,4.31,4.31
Videoton Fehérvár,Hun,0.25,,1.5,1,1.5,4.25,1.625,5.875
FK Kukësi,Alb,1.5,0.25,1,0.5,1,4.25,1.7,5.95
Dinamo Tbilisi,Geo,1.5,1,0.25,1.5,,4.25,1,5.25
Viitorul Constanta,Rom,,,,1,1.5,2.5,4.09,6.59
Dinamo Bucuresti,Rom,,,,,1,1,4.09,5.09
Universitatea Craiova,Rom,,,,,1,1,4.09,5.09
Pandurii Târgu Jiu,Rom,2,,,1,,3,4.09,7.09
CSMS Iasi,Rom,,,,0.5,,0.5,4.09,4.59
ASA Tirgu Mures,Rom,,,1,,,1,4.09,5.09
FC Botosani,Rom,,,0.5,,,0.5,4.09,4.59
Petrolul Ploiesti,Rom,1.5,1.5,,,,3,4.09,7.09
CFR Cluj,Rom,,1,,,,1,4.09,5.09
Romania,,,,,,,,4.09,4.09
Arka Gdynia,Pol,,,,,1,1,4.025,5.025
Jagiellonia Bialystok,Pol,,,0.5,,0.5,1,4.025,5.025
Zaglebie Lubin,Pol,,,,1,,1,4.025,5.025
Piast Gliwice,Pol,0.5,,,0.5,,1,4.025,5.025
Cracovia Kraków,Pol,,,,0.25,,0.25,4.025,4.275
Slask Wroclaw,Pol,1.5,,0.5,,,2,4.025,6.025
Ruch Chorzow,Pol,,1.5,,,,1.5,4.025,5.525
Zawisza Bydgoszcz,Pol,,0.5,,,,0.5,4.025,4.525
Poland,,,,,,,,4.025,4.025
AIK Stockholm,Swe,,1,1,1,1,4,3.995,7.995
Aberdeen,Sco,,1,1,1,1,4,3.725,7.725
Kalju Nomme,Est,1.5,0.5,0.5,1,0.5,4,1.1,5.1
IFK Göteborg,Swe,0.5,1,1,1.5,,4,3.995,7.995
IFK Norrköping,Swe,,,,1,0.5,1.5,3.995,5.495
BK Häcken,Swe,1,,,0.5,,1.5,3.995,5.495
IF Brommapojkarna,Swe,,1,,,,1,3.995,4.995
Gefle IF,Swe,1,,,,,1,3.995,4.995
Sweden,,,,,,,,3.995,3.995
Botev Plovdiv,Bul,1,0.5,,,1,2.5,3.825,6.325
Levski Sofia,Bul,0.25,,,0.5,0.5,1.25,3.825,5.075
Inter Baku,Azb,0.5,0.5,1,,0.5,2.5,3.825,6.325
Zira FK,Azb,,,,,0.5,0.5,3.825,4.325
Dunav Ruse,Bul,,,,,0.25,0.25,3.825,4.075
FC Beroe Stara Zagora,Bul,0.5,,0.5,0.5,,1.5,3.825,5.325
Neftchi Baku,Azb,1,1.5,0.25,0.5,,3.25,3.825,7.075
Kapaz Ganja,Azb,,,,0.5,,0.5,3.825,4.325
Slavia Sofia,Bul,,,,0.25,,0.25,3.825,4.075
Cherno More Varna,Bul,,,0.5,,,0.5,3.825,4.325
Litex Lovech,Bul,,0.5,0.25,,,0.75,3.825,4.575
CSKA Sofia,Bul,,0.5,,,,0.5,3.825,4.325
Khazar Lenkoran,Azb,0.5,,,,,0.5,3.825,4.325
Azerbaijan,,,,,,,,3.825,3.825
Bulgaria,,,,,,,,3.825,3.825
Zrinjski Mostar,Bos,0.5,1,0.25,1,1,3.75,1.325,5.075
FK Ventspils,Lat,1,1,1,0.5,0.25,3.75,1.125,4.875
Mladost Lucani,Srb,,,,,0.25,0.25,3.75,4
Cukaricki Belgrade,Srb,,0.5,0.5,0.5,,1.5,3.75,5.25
FK Jagodina,Srb,0.5,0.5,,,,1,3.75,4.75
Serbia,,,,,,,,3.75,3.75
Dynamo Brest,Bls,,,,,0.5,0.5,3.725,4.225
Shakhtior Saligorsk,Bls,0.5,1.5,0.5,0.5,0.25,3.25,3.725,6.975
St. Johnstone,Sco,1,1,0.25,,0.25,2.5,3.725,6.225
Glasgow Rangers,Sco,,,,,0.25,0.25,3.725,3.975
Torpedo Zhodino,Bls,,,0.25,1,,1.25,3.725,4.975
Hibernian,Sco,0.5,,,0.5,,1,3.725,4.725
Hearts FC,Sco,,,,0.5,,0.5,3.725,4.225
Inverness CT,Sco,,,0.5,,,0.5,3.725,4.225
Motherwell,Sco,1,0.5,,,,1.5,3.725,5.225
Neman Grodno,Bls,,0.5,,,,0.5,3.725,4.225
FK Minsk,Bls,1.5,,,,,1.5,3.725,5.225
Scotland,,,,,,,,3.725,3.725
Belarus,,,,,,,,3.725,3.725
Kairat Almaty,Kaz,,0.5,1.5,0.5,0.5,3,3.625,6.625
Irtysh Pavlodar,Kaz,0.5,,,,0.5,1,3.625,4.625
Ordabasy Shymkent,Kaz,,,0.25,0.25,0.25,0.75,3.625,4.375
FK Aktobe,Kaz,1.5,1.5,0.25,0.25,,3.5,3.625,7.125
Shakhtyor Karaganda,Kaz,2,1,,,,3,3.625,6.625
Kazakhstan,,,,,,,,3.625,3.625
Shkendija Tetovo,Mac,,0.25,0.25,1.5,1.5,3.5,1.5,5
F91 Dudelange,Lux,0.25,1,0.25,1,1,3.5,0.875,4.375
CS Fola Esch,Lux,1,0.25,1,0.25,1,3.5,0.875,4.375
MSK Zilina,Svk,1,,1.5,,1,3.5,2.425,5.925
Spartak Trnava,Svk,,1.5,1,1,,3.5,2.425,5.925
DVSC Debrecen,Hun,0.5,1.5,1,0.5,,3.5,1.625,5.125
Strømsgodset IF,Nor,1,1,1,0.5,,3.5,3.485,6.985
Odd Grenland,Nor,,,1.5,0.5,1,3,3.485,6.485
FK Haugesund,Nor,,0.5,,,0.5,1,3.485,4.485
SK Brann Bergen,Nor,,,,,0.5,0.5,3.485,3.985
Stabæk IF,Nor,,,,0.25,,0.25,3.485,3.735
Tromsø IL,Nor,2,0.5,,,,2.5,3.485,5.985
IL Hødd,Nor,0.5,,,,,0.5,3.485,3.985
Norway,,,,,,,,3.485,3.485
Valletta FC,Mlt,0.5,1,0.25,1,0.5,3.25,0.9,4.15
Rabotnicki Skopje,Mac,,1,1.5,0.25,0.5,3.25,1.5,4.75
FK Sarajevo,Bos,0.5,1.5,1,,0.25,3.25,1.325,4.575
NK Domzale,Slo,0.25,,0.25,1,1.5,3,2.9,5.9
Víkingur,Far,0.5,1,0.25,0.25,1,3,0.75,3.75
Mladost Podgorica,Mon,1,,0.5,1,0.5,3,1,4
KR Reykjavik,Isl,0.5,1,0.5,0.5,0.5,3,1.65,4.65
Zeljeznicar Sarajevo,Bos,1,0.5,1,,0.5,3,1.325,4.325
Crusaders Belfast,Nir,0.25,0.5,1,1,0.25,3,0.85,3.85
Nova Gorica,Slo,,0.5,,0.25,0.5,1.25,2.9,4.15
Olimpija Ljubljana,Slo,0.5,,,1,0.25,1.75,2.9,4.65
NK Koper,Slo,,0.5,0.5,,,1,2.9,3.9
NK Celje,Slo,0.25,,0.25,,,0.5,2.9,3.4
Rudar Velenje,Slo,,0.25,,,,0.25,2.9,3.15
Slovenia,,,,,,,,2.9,2.9
Hibernians FC,Mlt,0.25,0.25,1,0.25,1,2.75,0.9,3.65
Linfield Belfast,Nir,0.5,0.5,0.5,0.25,1,2.75,0.85,3.6
FC Vaduz,Lie,0.25,0.5,1,0.5,0.5,2.75,2.6,5.35
FC Santa Coloma,And,0.25,1,0.5,0.5,0.5,2.75,0.266,3.016
Lincoln Red Imps,Gib,,0.5,1,1,0.25,2.75,0.6,3.35
Levadia Tallinn,Est,0.5,1,0.5,0.5,0.25,2.75,1.1,3.85
Milsami Orhei,Mol,1,,1.5,,0.25,2.75,2,4.75
Stjarnan FC,Isl,,1.5,1,,0.25,2.75,1.65,4.4
Birkirkara,Mlt,1,0.25,0.5,1,,2.75,0.9,3.65
Dila Gori,Geo,1.5,,1,0.25,,2.75,1,3.75
Liechtenstein,,,,,,,,2.6,2.6
Alashkert FC,Arm,,,0.5,1,1,2.5,0.975,3.475
Ferencváros,Hun,,0.5,0.5,1,0.5,2.5,1.625,4.125
Shirak Gyumri,Arm,1,0.25,0.5,0.5,0.25,2.5,0.975,3.475
Sutjeska Niksic,Mon,1,1,0.25,,0.25,2.5,1,3.5
Cliftonville,Nir,1,1,,0.5,,2.5,0.85,3.35
MFK Ruzomberok,Svk,,,,,1,1,2.425,3.425
Spartak Myjava,Svk,,,,0.25,,0.25,2.425,2.675
MFK Kosice,Svk,,0.5,,,,0.5,2.425,2.925
FK Senica,Svk,0.5,,,,,0.5,2.425,2.925
Slovakia,,,,,,,,2.425,2.425
Buducnost Podgorica,Mon,,0.5,0.25,0.5,1,2.25,1,3.25
Siroki Brijeg,Bos,1,0.5,,0.25,0.5,2.25,1.325,3.575
Pyunik Yerevan,Arm,0.5,0.25,1,0.25,0.25,2.25,0.975,3.225
Differdange 03,Lux,1,0.25,0.5,0.25,0.25,2.25,0.875,3.125
Suduva Marijampole,Lit,0.25,,,0.25,1.5,2,1.075,3.075
Zaria Balti,Mol,,,,0.25,0.5,0.75,2,2.75
Partizani Tirana,Alb,,,0.25,1.5,0.25,2,1.7,3.7
FK Jelgava,Lat,,0.25,0.5,1,0.25,2,1.125,3.125
Dacia Chisinau,Mol,0.5,,0.5,0.25,0.25,1.5,2,3.5
Chikhura Sachkhere,Geo,0.5,1,,0.25,0.25,2,1,3
St. Patrick's Athletic,Irl,0.25,1,0.25,0.5,,2,1.34,3.34
Zimbru Chisinau,Mol,,1.5,,0.5,,2,2,4
Saxan Gagauz Yeri,Mol,,,0.25,,,0.25,2,2.25
FC Tiraspol,Mol,0.25,0.25,,,,0.5,2,2.5
Veris Chisinau,Mol,,0.25,,,,0.25,2,2.25
Moldova,,,,,,,,2,2
Spartaks Jurmala,Lat,,,0.5,0.25,1,1.75,1.125,2.875
FK Trakai,Lit,,,0.5,0.25,1,1.75,1.075,2.825
Cork City,Irl,,,0.25,1,0.5,1.75,1.34,3.09
La Fiorita,Sma,0.25,0.5,0.25,0.25,0.5,1.75,0.099,1.849
Rudar Pljevlja,Mon,0.5,,1,0.25,,1.75,1,2.75
HB Torshavn,Far,0.25,1,0.25,0.25,,1.75,0.75,2.5
KF Tirana,Alb,,,,,0.25,0.25,1.7,1.95
Teuta Durrës,Alb,0.25,,,0.25,,0.5,1.7,2.2
KF Laçi,Alb,0.25,0.5,0.25,,,1,1.7,2.7
KS Flamurtari Vlorë,Alb,,0.5,,,,0.5,1.7,2.2
Albania,,,,,,,,1.7,1.7
Valur Reykjavik,Isl,,,,0.25,0.5,0.75,1.65,2.4
Breidablik,Isl,1,,,0.25,,1.25,1.65,2.9
Vikingur Reykjavik,Isl,,,0.25,,,0.25,1.65,1.9
Fram Reykjavik,Isl,,0.25,,,,0.25,1.65,1.9
IBV Vestmannaeyjar,Isl,0.5,,,,,0.5,1.65,2.15
Iceland,,,,,,,,1.65,1.65
Honvéd Budapest,Hun,0.5,,,,1,1.5,1.625,3.125
Vasas Budapest,Hun,,,,,0.25,0.25,1.625,1.875
MTK Budapest,Hun,,,0.25,0.5,,0.75,1.625,2.375
Diósgyöri Miskolc,Hun,,1,,,,1,1.625,2.625
ETO Györ,Hun,1,0.5,,,,1.5,1.625,3.125
Hungary,,,,,,,,1.625,1.625
IFK Mariehamn,Fin,0.25,,,0.25,1,1.5,1.38,2.88
FK Liepaja,Lat,,,,1,0.5,1.5,1.125,2.625
Europa FC,Gib,,0.25,0.25,0.5,0.5,1.5,0.6,2.1
SJK Seinäjoki,Fin,,,0.25,1,0.25,1.5,1.38,2.88
B36 Torshavn,Far,,0.25,0.5,0.5,0.25,1.5,0.75,2.25
Pelister Bitola,Mac,,,,,0.25,0.25,1.5,1.75
Sileks Kratovo,Mac,,,,0.25,,0.25,1.5,1.75
Renova Dzepciste,Mac,,,0.25,,,0.25,1.5,1.75
Metalurg Skopje,Mac,0.25,1,,,,1.25,1.5,2.75
Sligo Rovers,Irl,1,0.5,,,,1.5,1.34,2.84
FK Turnovo,Mac,0.5,0.25,,,,0.75,1.5,2.25
Teteks Tetovo,Mac,0.25,,,,,0.25,1.5,1.75
North Macedonia,,,,,,,,1.5,1.5
VPS Vaasa,Fin,,0.25,0.25,,0.5,1,1.38,2.38
RoPS Rovaniemi,Fin,,0.5,,0.5,,1,1.38,2.38
FC Lahti,Fin,,,0.25,,,0.25,1.38,1.63
MyPa-47,Fin,,0.5,,,,0.5,1.38,1.88
Honka Espoo,Fin,0.5,0.25,,,,0.75,1.38,2.13
Inter Turku,Fin,0.25,,,,,0.25,1.38,1.63
TPS Turku,Fin,0.25,,,,,0.25,1.38,1.63
Finland,,,,,,,,1.38,1.38
Shamrock Rovers,Irl,,,0.5,0.25,0.5,1.25,1.34,2.59
Derry City,Irl,0.5,0.5,,,0.25,1.25,1.34,2.59
Uni College Dublin,Irl,,,0.5,,,0.5,1.34,1.84
Drogheda United,Irl,0.25,,,,,0.25,1.34,1.59
Ireland,,,,,,,,1.34,1.34
Radnik Bijeljina,Bos,,,,0.25,,0.25,1.325,1.575
Sloboda Tuzla,Bos,,,,0.25,,0.25,1.325,1.575
Olimpic Sarajevo,Bos,,,0.25,,,0.25,1.325,1.575
Bosnia-Herzegovina,,,,,,,,1.325,1.325
Samtredia,Geo,,,,0.25,1,1.25,1,2.25
Flora Tallinn,Est,0.25,,0.25,0.5,0.25,1.25,1.1,2.35
Tre Penne,Sma,0.5,,,0.5,0.25,1.25,0.099,1.349
