,,06월 07일,07월 08일,08월 09일,09월 10일,10월 11일,ranking
Manchester United,Eng,25.325,32.575,28,28.5856,36.6714,151.157
FC Barcelona,Esp,17.8,27.775,28.6624,30.5856,36.6428,141.465
Chelsea,Eng,26.325,28.575,25,22.5856,26.6714,129.157
Bayern München,Ger,18.9,22.7,22.5374,30.6166,24.1332,118.887
Liverpool,Eng,27.325,24.575,23,24.5856,15.6714,115.157
Arsenal,Eng,16.325,21.575,22,25.5856,22.6714,108.157
Real Madrid,Esp,17.8,14.775,14.6624,22.5856,33.6428,103.465
FC Porto,Por,14.6166,15.5856,17.357,21,31.76,100.319
Internazionale,Ita,15.3856,16.05,13.275,34.0856,21.3142,100.11
AC Milan,Ita,26.3856,16.05,14.275,19.0856,18.3142,94.11
Sevilla,Esp,28.8,18.775,10.6624,22.5856,12.6428,93.465
Werder Bremen,Ger,22.9,15.7,24.5374,18.6166,11.1332,92.887
Olympique Lyon,Fra,17,13.3856,15.2,28,19.15,92.735
Shakhtar Donetsk,Ukr,13.3,7.975,29.325,11.16,26.0166,87.776
Valencia,Esp,20.8,9.775,13.6624,19.5856,21.6428,85.465
AS Roma,Ita,19.3856,19.05,16.275,12.0856,18.3142,85.11
Benfica,Por,17.6166,12.5856,4.357,21,25.76,81.319
Tottenham Hotspur,Eng,21.325,16.575,12,3.5856,24.6714,78.157
Villarreal,Esp,3.8,15.775,18.6624,10.5856,26.6428,75.465
Hamburger SV,Ger,6.9,18.7,24.5374,21.6166,3.1332,74.887
PSV Eindhoven,Ned,16.6428,17,6.2666,13.8832,20.2332,74.025
CSKA Moscow,Rus,11.325,6.25,18.95,21.2332,16.1832,73.941
Atlético Madrid,Esp,3.8,14.775,17.6624,24.5856,9.6428,70.465
Olympique Marseille,Fra,4,13.3856,14.2,17,20.15,68.735
Sporting CP Lisbon,Por,8.6166,18.5856,13.357,14,13.76,68.319
Girondins Bordeaux,Fra,11,13.3856,11.2,30,2.15,67.735
Fiorentina,Ita,2.3856,23.05,11.275,24.0856,2.3142,63.11
Sporting Braga,Por,11.6166,8.5856,13.357,3,25.76,62.319
Schalke 04,Ger,3.9,15.7,8.5374,3.6166,30.1332,61.887
Dinamo Kiev,Ukr,6.3,3.975,22.325,9.16,19.0166,60.776
Zenit St. Petersburg,Rus,1.325,23.25,14.95,2.7332,18.1832,60.441
Panathinaikos,Gre,9.9332,13.5,13.3,13.58,7.52,57.833
Glasgow Rangers,Sco,14.35,22.05,0.375,6.5332,12.72,56.028
Ajax,Ned,12.6428,3,14.2666,10.8832,15.2332,56.025
Bayer Leverkusen,Ger,13.9,18.7,2.5374,3.6166,16.1332,54.887
VfB Stuttgart,Ger,1.9,7.7,10.5374,20.6166,13.1332,53.887
Spartak Moscow,Rus,9.325,13.25,7.95,1.2332,20.1832,51.941
