,,06월 07일,07월 08일,08월 09일,09월 10일,10월 11일,ranking
Paris Saint-Germain,Fra,15,1.3856,18.2,3,14.15,51.735
FC København,Den,9.225,6.025,9.64,7.88,18.34,51.11
Olympiakos Piraeus,Gre,6.9332,14.5,9.3,17.58,2.52,50.833
Fenerbahçe,Tur,10.22,18.95,6.4,12.52,2.42,50.51
Manchester City,Eng,3.325,3.575,20,3.5856,16.6714,47.157
Juventus,Ita,2.3856,2.05,16.275,18.0856,8.3142,47.11
Espanyol,Esp,32.8,2.775,2.6624,3.5856,3.6428,45.465
Galatasaray,Tur,7.22,7.95,15.4,11.52,2.42,44.51
Everton,Eng,3.325,20.575,4,11.5856,3.6714,43.157
AZ Alkmaar,Ned,17.6428,7,1.2666,9.8832,7.2332,43.025
Anderlecht,Bel,7.94,12.9,0.9,14.74,5.92,42.4
FC Twente Enschede,Ned,1.6428,3,9.2666,9.8832,17.2332,41.025
Lille OSC,Fra,13,1.3856,2.2,15,9.15,40.735
Fulham FC,Eng,3.325,3.575,3,26.5856,3.6714,40.157
FC Basel,Sui,6.82,11.25,4.58,7.15,10.18,39.98
VfL Wolfsburg,Ger,1.9,2.7,12.5374,19.6166,3.1332,39.887
Celtic,Sco,12.35,12.05,7.375,5.5332,2.22,39.528
Getafe,Esp,3.8,20.775,2.6624,3.5856,8.6428,39.465
Osasuna,Esp,24.8,2.775,2.6624,3.5856,3.6428,37.465
Besiktas,Tur,6.22,8.95,3.4,8.52,9.92,37.01
Hapoel Tel-Aviv,Isr,11.2,5.475,0.35,10.45,8.925,36.4
Metalist Kharkiv,Ukr,1.3,1.975,18.325,2.66,10.0166,34.276
Newcastle United,Eng,20.325,3.575,3,3.5856,3.6714,34.157
Standard Liège,Bel,0.94,1.9,10.9,17.74,0.92,32.4
Rubin Kazan,Rus,1.325,2.25,1.95,14.2332,12.1832,31.941
Club Brugge,Bel,5.94,2.9,6.9,11.74,3.92,31.4
AEK Athens,Gre,9.9332,8.5,1.3,4.58,6.52,30.833
Sparta Praha,Cze,7.15,6.025,2.475,5.82,8.7,30.17
Blackburn Rovers,Eng,14.325,5.575,3,3.5856,3.6714,30.157
Steaua Bucuresti,Rom,9.2666,4.52,4.5284,5.2166,5.6332,29.164
Bolton Wanderers,Eng,3.325,15.575,3,3.5856,3.6714,29.157
Aston Villa,Eng,3.325,3.575,11,5.0856,5.1714,28.157
Hertha BSC,Ger,2.9,2.7,7.5374,11.6166,3.1332,27.887
Celta de Vigo,Esp,14.8,2.775,2.6624,3.5856,3.6428,27.465
Sampdoria,Ita,2.3856,4.05,11.275,3.0856,6.3142,27.11
Udinese,Ita,2.3856,2.05,17.275,3.0856,2.3142,27.11
Palermo,Ita,9.3856,4.05,2.275,3.0856,7.3142,26.11
AS Saint-Étienne,Fra,2,1.3856,17.2,3,2.15,25.735
AS Nancy Lorraine,Fra,10,1.3856,9.2,3,2.15,25.735
AaB Aalborg,Den,1.225,6.025,15.64,1.38,1.34,25.61
Heerenveen,Ned,7.6428,3,4.2666,7.8832,2.2332,25.025
Athletic Bilbao,Esp,3.8,2.775,2.6624,11.5856,3.6428,24.465
Racing Santander,Esp,3.8,2.775,10.6624,3.5856,3.6428,24.465
AJ Auxerre,Fra,9,1.3856,2.2,3,8.15,23.735
Deportivo La Coruña,Esp,3.8,2.775,9.6624,3.5856,3.6428,23.465
BATE Borisov,Bls,0.2,0.3666,6.8,5.675,10.175,23.216
Portsmouth FC,Eng,3.325,3.575,9,3.5856,3.6714,23.157
Lazio,Ita,2.3856,9.05,2.275,7.0856,2.3142,23.11
Borussia Dortmund,Ger,1.9,2.7,4.5374,3.6166,10.1332,22.887
RC Lens,Fra,13,2.3856,2.2,3,2.15,22.735
Dinamo Bucuresti,Rom,11.2666,2.52,1.5284,5.2166,1.6332,22.164
FC Salzburg,Aut,1.3,2.64,0.45,14.875,2.875,22.14
AC Parma,Ita,12.3856,2.05,2.275,3.0856,2.3142,22.11
1.FC Nürnberg,Ger,1.9,10.7,2.5374,3.6166,3.1332,21.887
Lech Poznan,Pol,0.525,0.3332,8,1.925,10.9,21.683
Maccabi Haifa,Isr,13.2,0.475,0.35,5.45,1.925,21.4
Napoli,Ita,2.3856,2.05,4.275,3.0856,9.3142,21.11
Aris Thessaloniki,Gre,0.9332,7.5,1.3,1.58,9.52,20.833
Dinamo Zagreb,Cro,0.2,4.7332,4.8666,4.6,5.825,20.224
CFR Cluj,Rom,2.2666,0.52,6.5284,3.2166,7.6332,20.164
Livorno,Ita,10.3856,2.05,2.275,3.0856,2.3142,20.11
Eintracht Frankfurt,Ger,7.9,2.7,2.5374,3.6166,3.1332,19.887
Toulouse FC,Fra,2,5.3856,2.2,8,2.15,19.735
Rosenborg BK,Nor,0.4,9.08,6.5,0.92,2.475,19.375
Slavia Praha,Cze,1.15,9.025,4.475,3.82,0.7,19.17
FC Zürich,Sui,0.82,8.25,0.58,8.15,1.18,18.98
OB Odense,Den,7.225,3.025,1.64,2.38,4.34,18.61
Real Zaragoza,Esp,3.8,4.775,2.6624,3.5856,3.6428,18.465
Lokomotiv Moscow,Rus,3.325,8.25,1.95,1.2332,3.6832,18.441
Unirea Urziceni,Rom,2.2666,0.52,1.5284,11.2166,2.1332,17.664
Feyenoord,Ned,7.6428,1,3.2666,1.8832,3.7332,17.525
PAOK Thessaloniki,Gre,0.9332,1.5,1.3,3.08,10.52,17.333
England,,3.325,3.575,3,3.5856,3.6714,17.157
Genoa,Ita,2.3856,2.05,2.275,8.0856,2.3142,17.11
Stade Rennais,Fra,2,5.3856,4.2,3,2.15,16.735
Austria Wien,Aut,3.3,4.64,2.45,3.875,2.375,16.64
Spain,,3.8,2.775,2.6624,3.5856,3.6428,16.465
Rapid Bucuresti,Rom,10.2666,2.52,1.5284,1.2166,0.6332,16.164
Partizan Belgrade,Srb,3.425,0.525,4.6,2.6,4.7,15.85
NEC Nijmegen,Ned,1.6428,1,8.2666,1.8832,2.2332,15.025
Young Boys,Sui,0.82,1.25,1.58,2.15,9.18,14.98
Anorthosis Famagusta,Cyp,0.35,1.5332,9.2666,1.35,2.125,14.624
Levski Sofia,Bul,4.025,0.55,1.45,2.625,5.925,14.575
MSK Zilina,Svk,0.4,0.4332,6.9666,2,4.6,14.399
Nacional Funchal,Por,1.6166,1.5856,1.357,6,3.76,14.319
Empoli,Ita,2.3856,4.05,2.275,3.0856,2.3142,14.11
Chievo Verona,Ita,4.3856,2.05,2.275,3.0856,2.3142,14.11
Germany,,1.9,2.7,2.5374,3.6166,3.1332,13.887
Slovan Liberec,Cze,9.15,1.025,0.475,2.32,0.7,13.67
Mladá Boleslav,Cze,6.15,5.025,0.475,0.82,0.7,13.17
APOEL Nicosia,Cyp,0.35,0.5332,2.2666,7.85,2.125,13.124
FC Utrecht,Ned,1.6428,1,1.2666,1.8832,7.2332,13.025
FC Sochaux-Montbéliard,Fra,2,3.3856,2.2,3,2.15,12.735
Paços de Ferreira,Por,1.6166,2.5856,1.357,3,3.76,12.319
Vitória Setúbal,Por,2.6166,1.5856,2.357,2,3.76,12.319
União de Leiria,Por,1.6166,3.5856,1.357,2,3.76,12.319
Dnipro Dnipropetrovsk,Ukr,1.3,2.975,3.325,1.16,3.5166,12.276
En Avant Guingamp,Fra,2,1.3856,2.2,4.5,2.15,12.235
Italy,,2.3856,2.05,2.275,3.0856,2.3142,12.11
Aberdeen,Sco,1.35,8.05,0.375,1.5332,0.72,12.028
FC Groningen,Ned,3.6428,3,1.2666,1.8832,2.2332,12.025
Bursaspor,Tur,1.22,1.95,1.4,1.52,5.92,12.01
Trabzonspor,Tur,3.22,1.95,1.4,3.02,2.42,12.01
Panionios,Gre,0.9332,6.5,1.3,1.58,1.52,11.833
Maritimo Funchal,Por,1.6166,1.5856,1.357,2,5.26,11.819
Montpellier,Fra,2,1.3856,2.2,3,3.15,11.735
AA Gent,Bel,0.94,0.9,0.9,2.74,5.92,11.4
Zulte Waregem,Bel,6.94,0.9,0.9,1.74,0.92,11.4
Vitória Guimarães,Por,1.6166,1.5856,2.357,2,3.76,11.319
Rapid Wien,Aut,0.3,1.64,0.45,5.875,2.875,11.14
Helsingborg IF,Swe,0.225,8.08,0.5,1.5,0.52,10.825
Karpaty Lviv,Ukr,1.3,0.975,3.325,1.16,4.0166,10.776
France,,2,1.3856,2.2,3,2.15,10.735
FC Timisoara,Rom,2.2666,0.52,0.5284,5.2166,2.1332,10.664
CSKA Sofia,Bul,2.025,2.55,0.45,2.625,2.925,10.575
Grasshoppers Zürich,Sui,4.82,1.25,0.58,1.15,2.68,10.48
Sibir Novosibirsk,Rus,1.325,2.25,1.95,1.2332,3.6832,10.441
Dinamo Moscow,Rus,1.325,2.25,1.95,2.7332,2.1832,10.441
Amkar Perm,Rus,1.325,2.25,1.95,2.7332,2.1832,10.441
Portugal,,1.6166,1.5856,1.357,2,3.76,10.319
Tavria Simferopol,Ukr,1.3,0.975,3.325,1.16,3.5166,10.276
Metalurg Donetsk,Ukr,1.3,0.975,3.325,2.66,2.0166,10.276
Vorskla Poltava,Ukr,1.3,0.975,3.325,2.66,2.0166,10.276
Wisla Kraków,Pol,4.525,0.3332,2,1.425,1.9,10.183
FC Vaslui,Rom,2.2666,0.52,2.5284,2.7166,2.1332,10.164
Brøndby IF,Den,2.225,1.025,1.64,2.38,2.84,10.11
Krylia Sovetov Samara,Rus,1.325,2.25,1.95,2.2332,2.1832,9.941
FK Moscow,Rus,1.325,2.25,2.95,1.2332,2.1832,9.941
SK Brann Bergen,Nor,0.4,6.08,2.5,0.42,0.475,9.875
Metalurg Zaporizhia,Ukr,2.3,0.975,3.325,1.16,2.0166,9.776
Sheriff Tiraspol,Mol,0.3,0.2666,0.1332,4.425,4.425,9.549
NAC Breda,Ned,1.6428,1,1.2666,3.3832,2.2332,9.525
FC Sion,Sui,1.82,3.25,0.58,2.65,1.18,9.48
Red Star Belgrade,Srb,0.425,4.525,0.6,2.1,1.7,9.35
AE Larissa,Gre,0.9332,3.5,1.3,2.08,1.52,9.333
Kayserispor,Tur,2.22,1.95,2.4,1.52,0.92,9.01
Russia,,1.325,2.25,1.95,1.2332,2.1832,8.941
Iraklis Thessaloniki,Gre,2.9332,1.5,1.3,1.58,1.52,8.833
IF Elfsborg,Swe,0.225,4.08,0.5,2,2.02,8.825
Ukraine,,1.3,0.975,3.325,1.16,2.0166,8.776
Sturm Graz,Aut,0.3,0.64,0.45,4.875,2.375,8.64
Litex Lovech,Bul,2.025,0.55,1.45,2.125,2.425,8.575
Sivasspor,Tur,1.22,1.95,1.4,3.02,0.92,8.51
Racing Genk,Bel,0.94,0.9,0.9,3.24,2.42,8.4
Randers FC,Den,1.225,1.025,1.64,1.88,2.34,8.11
Netherlands,,1.6428,1,1.2666,1.8832,2.2332,8.025
DVSC Debrecen,Hun,0.2,0.2,0.2,4.55,2.55,7.7
Lokomotiv Sofia,Bul,3.025,2.55,0.45,0.625,0.925,7.575
Motherwell,Sco,1.35,2.05,0.375,1.5332,2.22,7.528
Hearts FC,Sco,2.35,2.05,0.375,2.0332,0.72,7.528
FC Nordsjælland,Den,1.225,1.025,1.64,0.88,2.34,7.11
Turkey,,1.22,1.95,1.4,1.52,0.92,7.01
Lausanne Sports,Sui,0.82,1.25,0.58,1.15,3.18,6.98
Greece,,0.9332,1.5,1.3,1.58,1.52,6.833
Kalmar FF,Swe,0.225,1.08,2.5,1.5,1.52,6.825
Dundee United,Sco,1.35,2.05,0.375,0.5332,2.22,6.528
Cercle Brugge,Bel,0.94,0.9,0.9,1.74,1.92,6.4
Bnei Yehuda,Isr,1.2,0.475,0.35,2.95,1.425,6.4
Hajduk Split,Cro,0.2,0.7332,0.8666,1.6,2.825,6.224
Baník Ostrava,Cze,1.15,1.025,1.475,0.82,1.7,6.17
Omonia Nicosia,Cyp,0.35,0.5332,1.2666,1.85,2.125,6.124
Denmark,,1.225,1.025,1.64,0.88,1.34,6.11
Hibernian,Sco,1.35,2.05,0.375,0.5332,1.72,6.028
FC Luzern,Sui,0.82,1.25,0.58,1.15,2.18,5.98
Maccabi Tel-Aviv,Isr,1.2,0.475,0.35,1.45,2.425,5.9
Slovan Bratislava,Svk,0.4,0.4332,0.9666,2,2.1,5.899
FK Teplice,Cze,1.15,1.025,0.475,2.32,0.7,5.67
Sigma Olomouc,Cze,1.15,1.025,0.475,2.32,0.7,5.67
Cherno More Varna,Bul,1.025,0.55,1.45,1.625,0.925,5.575
Falkirk FC,Sco,1.35,2.05,0.375,1.0332,0.72,5.528
Maccabi Netanya,Isr,1.2,0.475,0.35,2.45,0.925,5.4
Belgium,,0.94,0.9,0.9,1.74,0.92,5.4
AIK Stockholm,Swe,0.225,2.08,0.5,0.5,2.02,5.325
Dinamo Minsk,Bls,0.2,0.3666,0.8,1.175,2.675,5.216
Legia Warsaw,Pol,1.525,0.3332,1,1.425,0.9,5.183
FK Jablonec,Cze,1.15,1.025,0.475,0.82,1.7,5.17
Viktoria Plzen,Cze,1.15,1.025,0.475,0.82,1.7,5.17
Romania,,2.2666,0.52,0.5284,1.2166,0.6332,5.164
Scotland,,1.35,2.05,0.375,0.5332,0.72,5.028
FK Ventspils,Lat,0.4332,0.2666,0.2332,3.45,0.6,4.983
Switzerland,,0.82,1.25,0.58,1.15,1.18,4.98
Molde FK,Nor,1.4,1.08,0.5,0.42,1.475,4.875
Stabæk IF,Nor,0.4,1.08,0.5,1.92,0.975,4.875
Vålerengen IF,Nor,0.4,2.08,0.5,1.42,0.475,4.875
IFK Göteborg,Swe,0.225,1.08,0.5,1.5,1.52,4.825
Hammarby IF,Swe,0.225,3.08,0.5,0.5,0.52,4.825
Dnepr Mogilev,Bls,0.2,0.3666,0.8,0.675,2.675,4.716
Apollon Limassol,Cyp,0.35,0.5332,1.2666,0.85,1.625,4.624
APOP Kinyras Peyias,Cyp,0.35,0.5332,1.2666,1.85,0.625,4.624
Ethnikos Achna,Cyp,1.35,0.5332,1.2666,0.85,0.625,4.624
FC Beroe Stara Zagora,Bul,1.025,0.55,0.45,0.625,1.925,4.575
Israel,,1.2,0.475,0.35,1.45,0.925,4.4
MFK Kosice,Svk,0.4,0.4332,0.9666,2,0.6,4.399
Tromsø IL,Nor,0.4,1.08,0.5,1.92,0.475,4.375
St. Patrick's Athletic,Irl,0.5666,0.2,1.5,1.775,0.2,4.241
Garabag Agdam,Azb,0.2666,0.1332,0.1332,1.8,1.9,4.233
NK Maribor,Slo,0.25,0.1332,0.2666,1.775,1.8,4.224
Slaven Koprivnica,Cro,0.2,0.7332,0.8666,1.6,0.825,4.224
NK Rijeka,Cro,0.2,0.7332,0.8666,1.6,0.825,4.224
Ruch Chorzow,Pol,0.525,0.3332,1,0.425,1.9,4.183
Jagiellonia Bialystok,Pol,0.525,0.3332,1,0.425,1.9,4.183
Polonia Warsaw,Pol,0.525,0.3332,1,1.425,0.9,4.183
Czech Republic,,1.15,1.025,0.475,0.82,0.7,4.17
Austria,,0.3,0.64,0.45,1.875,0.875,4.14
Rabotnicki Skopje,Mac,0.2332,1.3332,0.1,1.1,1.275,4.041
Petrzalka Bratislava,Svk,1.4,0.4332,0.9666,0.5,0.6,3.899
MFK Ruzomberok,Svk,1.4,0.4332,0.9666,0.5,0.6,3.899
Aalesunds FK,Nor,0.4,1.08,0.5,0.42,1.475,3.875
Fredrikstad FK,Nor,0.4,1.08,0.5,1.42,0.475,3.875
FK Aktobe,Kaz,0.1332,0.15,0.1666,1.75,1.675,3.874
Spartak Zlatibor Voda,Srb,0.425,0.525,0.6,0.6,1.7,3.85
OFK Belgrade,Srb,0.425,0.525,0.6,0.6,1.7,3.85
Vojvodina Novi Sad,Srb,0.425,0.525,0.6,1.6,0.7,3.85
FK Sevojno,Srb,0.425,0.525,0.6,1.6,0.7,3.85
Zrinjski Mostar,Bos,0.3666,0.3666,0.3666,1.35,1.375,3.824
HJK Helsinki,Fin,0.2666,0.525,0.3666,0.775,1.86,3.793
Inter Turku,Fin,0.2666,0.525,0.3666,1.275,1.36,3.793
Bohemians Dublin,Irl,0.5666,0.2,0.5,1.275,1.2,3.741
Derry City,Irl,1.5666,0.2,0.5,1.275,0.2,3.741
Cibalia Vinkovci,Cro,0.2,0.7332,0.8666,0.6,1.325,3.724
NK Sibenik,Cro,0.2,0.7332,0.8666,0.6,1.325,3.724
Torpedo Zhodino,Bls,0.2,0.3666,0.8,0.675,1.675,3.716
MTZ-Ripo Minsk,Bls,0.2,0.3666,0.8,1.175,1.175,3.716
Naftan Novopolotsk,Bls,0.2,0.3666,0.8,1.175,1.175,3.716
Cyprus,,0.35,0.5332,1.2666,0.85,0.625,3.624
Bulgaria,,1.025,0.55,0.45,0.625,0.925,3.575
Ekranas Panevezys,Lit,0.3666,0.3,0.5,1.25,1.125,3.541
Dukla Banska Bystrica,Svk,0.4,0.4332,0.9666,0.5,1.1,3.399
Spartak Trnava,Svk,0.4,0.4332,0.9666,1,0.6,3.399
Dinamo Tbilisi,Geo,0.2332,0.2,0.2332,1.35,1.375,3.391
Gefle IF,Swe,0.225,1.08,0.5,0.5,1.02,3.325
FK Sarajevo,Bos,0.3666,0.3666,0.3666,1.85,0.375,3.324
Honka Espoo,Fin,0.2666,0.525,0.3666,1.275,0.86,3.293
Levadia Tallinn,Est,0.3,0.1666,0.0666,1.675,1.05,3.258
FK Baku,Azb,0.2666,0.1332,0.1332,1.8,0.9,3.233
Croatia,,0.2,0.7332,0.8666,0.6,0.825,3.224
Belarus,,0.2,0.3666,0.8,0.675,1.175,3.216
ETO Györ,Hun,0.2,0.2,0.2,0.55,2.05,3.2
Poland,,0.525,0.3332,1,0.425,0.9,3.183
FC Nitra,Svk,0.4,0.4332,0.9666,0.5,0.85,3.149
FH Hafnarfjardar,Isl,0.2,0.2332,0.2332,1.25,1.075,2.991
Metalurgs Liepaja,Lat,0.4332,0.2666,0.2332,0.95,1.1,2.983
Slovakia,,0.4,0.4332,0.9666,0.5,0.6,2.899
FC Zestafoni,Geo,0.2332,0.2,0.2332,0.85,1.375,2.891
Olimpi Rustavi,Geo,0.2332,0.2,0.2332,0.85,1.375,2.891
Georgia Tbilisi,Geo,0.2332,0.2,0.2332,1.35,0.875,2.891
Norway,,0.4,1.08,0.5,0.42,0.475,2.875
Serbia,,0.425,0.525,0.6,0.6,0.7,2.85
Sweden,,0.225,1.08,0.5,0.5,0.52,2.825
Zeljeznicar Sarajevo,Bos,0.3666,0.3666,0.3666,0.35,1.375,2.824
Siroki Brijeg,Bos,0.3666,0.3666,0.3666,0.85,0.875,2.824
Slavija Sarajevo,Bos,0.3666,0.3666,0.3666,1.35,0.375,2.824
MyPa-47,Fin,0.2666,0.525,0.3666,0.275,1.36,2.793
FC Lahti,Fin,0.2666,0.525,0.3666,1.275,0.36,2.793
Tampere United,Fin,0.2666,1.525,0.3666,0.275,0.36,2.793
Shamrock Rovers,Irl,0.5666,0.2,0.5,0.275,1.2,2.741
Honvéd Budapest,Hun,0.2,0.2,0.2,1.55,0.55,2.7
Dacia Chisinau,Mol,0.3,0.2666,0.1332,0.925,0.925,2.549
Iskra-Stal Ribnita,Mol,0.3,0.2666,0.1332,0.925,0.925,2.549
Suduva Marijampole,Lit,0.3666,0.3,0.5,0.75,0.625,2.541
Vetra Vilnius,Lit,0.3666,0.3,0.5,1.25,0.125,2.541
Pyunik Yerevan,Arm,0.1,0.2666,,1.1,1.05,2.516
KR Reykjavik,Isl,0.2,0.2332,0.2332,1.25,0.575,2.491
Inter Baku,Azb,0.2666,0.1332,0.1332,0.55,1.4,2.483
FK Borac Banja Luka,Bos,0.3666,0.3666,0.3666,0.35,0.875,2.324
The New Saints,Wal,0.1332,0.1332,0.0666,0.3,1.675,2.308
FC Vaduz,Lie,0.4,0.1,,1.2,0.6,2.3
TPS Turku,Fin,0.2666,0.525,0.3666,0.275,0.86,2.293
Renova Dzepciste,Mac,0.2332,0.3332,0.1,0.35,1.275,2.291
Mogren Budva,Mon,,0.1,0.1,1.225,0.85,2.275
SK Tirana,Alb,0.1666,0.1,0.1332,1.2,0.675,2.274
Dundalk,Irl,0.5666,0.2,0.5,0.275,0.7,2.241
Sporting Fingal,Irl,0.5666,0.2,0.5,0.275,0.7,2.241
Skonto Riga,Lat,0.4332,0.2666,0.2332,0.95,0.35,2.233
NK Koper,Slo,0.25,0.1332,0.2666,0.275,1.3,2.224
Nova Gorica,Slo,0.25,0.1332,0.2666,0.775,0.8,2.224
IB Ljubljana,Slo,0.25,0.1332,0.2666,1.275,0.3,2.224
Videoton Fehérvár,Hun,0.2,0.2,0.2,0.55,1.05,2.2
Haladás Szombathely,Hun,0.2,0.2,0.2,1.05,0.55,2.2
Újpest TE,Hun,0.2,0.2,0.2,1.05,0.55,2.2
Bangor City,Wal,0.1332,0.1332,0.0666,0.55,1.175,2.058
Olimpia Balti,Mol,0.3,0.2666,0.1332,0.425,0.925,2.049
Zimbru Chisinau,Mol,0.3,0.2666,0.1332,0.925,0.425,2.049
Teteks Tetovo,Mac,0.2332,0.3332,0.1,0.1,1.275,2.041
FK Siauliai,Lit,0.3666,0.3,0.5,0.25,0.625,2.041
FK Tauras,Lit,0.3666,0.3,0.5,0.25,0.625,2.041
Makedonija Skopje,Mac,0.2332,0.3332,0.1,1.1,0.275,2.041
FBK Kaunas,Lit,0.3666,0.3,0.5,0.75,0.125,2.041
Buducnost Podgorica,Mon,,0.1,0.1,0.475,1.35,2.025
Dinamo Tirana,Alb,0.1666,0.1,0.1332,0.45,1.175,2.024
Sligo Rovers,Irl,0.5666,0.2,0.5,0.525,0.2,1.991
FK Jelgava,Lat,0.4332,0.2666,0.2332,0.45,0.6,1.983
Dinaburg Daugavpils,Lat,0.4332,0.2666,0.2332,0.95,0.1,1.983
Zalaegerszeg TE,Hun,0.2,0.2,0.2,0.55,0.8,1.95
Bosnia-Herzegovina,,0.3666,0.3666,0.3666,0.35,0.375,1.824
Finland,,0.2666,0.525,0.3666,0.275,0.36,1.793
HB Torshavn,Far,0.1,0.0666,0.0666,0.5,1.05,1.783
Rudar Pljevlja,Mon,,0.1,0.1,0.225,1.35,1.775
OFK Petrovac,Mon,,0.1,0.1,1.225,0.35,1.775
Ireland,,0.5666,0.2,0.5,0.275,0.2,1.741
Birkirkara,Mlt,0.0332,,,0.4,1.3,1.733
Rudar Velenje,Slo,0.25,0.1332,0.2666,0.775,0.3,1.724
Sant Julià,And,,0.1,,1.1,0.5,1.7
Hungary,,0.2,0.2,0.2,0.55,0.55,1.7
Linfield Belfast,Nir,0.0332,0.1,0.0666,0.275,1.225,1.699
Glentoran,Nir,0.0332,0.1,0.0666,1.025,0.475,1.699
Tobol Kustanai,Kaz,0.1332,0.15,0.1666,0.75,0.425,1.624
Rhyl FC,Wal,0.1332,0.1332,0.0666,1.05,0.175,1.558
Moldova,,0.3,0.2666,0.1332,0.425,0.425,1.549
Milano Kumanovo,Mac,0.2332,0.3332,0.1,0.6,0.275,1.541
Lithuania,,0.3666,0.3,0.5,0.25,0.125,1.541
EB Streymur,Far,0.1,0.0666,0.0666,1,0.3,1.533
F91 Dudelange,Lux,0.0332,0.0666,,1.05,0.375,1.524
Flora Tallinn,Est,0.3,0.1666,0.0666,0.675,0.3,1.508
Breidablik,Isl,0.2,0.2332,0.2332,0.25,0.575,1.491
Fram Reykjavik,Isl,0.2,0.2332,0.2332,0.75,0.075,1.491
Valletta FC,Mlt,0.0332,,,0.65,0.8,1.483
Khazar Lenkoran,Azb,0.2666,0.1332,0.1332,0.3,0.65,1.483
Simurq Zaqatala,Azb,0.2666,0.1332,0.1332,0.55,0.4,1.483
Latvia,,0.4332,0.2666,0.2332,0.45,0.1,1.483
Olimpija Ljubljana,Slo,0.25,0.1332,0.2666,0.275,0.55,1.474
Cliftonville,Nir,0.0332,0.1,0.0666,0.025,1.225,1.449
Georgia,,0.2332,0.2,0.2332,0.35,0.375,1.391
FK Atyrau,Kaz,0.1332,0.15,0.1666,0.25,0.675,1.374
Metalurg Skopje,Mac,0.2332,0.3332,0.1,0.1,0.525,1.291
Jeunesse d'Esch,Lux,0.0332,0.0666,,0.05,1.125,1.274
Besa Kavajë,Alb,0.1666,0.1,0.1332,0.2,0.675,1.274
Differdange 03,Lux,0.0332,0.0666,,0.55,0.625,1.274
Vllaznia Shkodër,Alb,0.1666,0.1,0.1332,0.7,0.175,1.274
KS Flamurtari Vlorë,Alb,0.1666,0.1,0.1332,0.7,0.175,1.274
Mika Ashtarak,Arm,0.1,0.2666,,0.35,0.55,1.266
Kalev Sillamäe,Est,0.3,0.1666,0.0666,0.175,0.55,1.258
Trans Narva,Est,0.3,0.1666,0.0666,0.425,0.3,1.258
Fylkir Reykjavik,Isl,0.2,0.2332,0.2332,0.25,0.325,1.241
Keflavik,Isl,0.2,0.2332,0.2332,0.5,0.075,1.241
Sliema Wanderers,Mlt,0.0332,,,0.65,0.55,1.233
Azerbaijan,,0.2666,0.1332,0.1332,0.3,0.4,1.233
