,,09월 10일,10월 11일,11월 12일,12월 13일,13/14,ranking
Everton,Eng,11.5856,3.6714,3.05,3.2856,3.357,24.949
Real Sociedad,Esp,3.5856,3.6428,4.1714,3.5428,9.6,24.542
Getafe,Esp,3.5856,8.6428,4.1714,3.5428,4.6,24.542
Hertha BSC,Ger,11.6166,3.1332,3.05,3.5856,2.9428,24.328
Young Boys,Sui,2.15,9.18,2.7,8.675,1.44,24.145
Swansea City,Eng,3.5856,3.6714,3.05,3.2856,10.357,23.949
Birmingham City,Eng,3.5856,3.6714,10.05,3.2856,3.357,23.949
Dinamo Zagreb,Cro,4.6,5.825,4.75,5.875,2.875,23.925
Austria Wien,Aut,3.875,2.375,7.425,0.45,9.56,23.685
Glasgow Rangers,Sco,6.5332,12.72,2.05,0.86,0.65,22.813
SC Freiburg,Ger,3.6166,3.1332,3.05,3.5856,7.9428,21.328
Wigan Athletic,Eng,3.5856,3.6714,3.05,3.2856,7.357,20.949
Lokomotiv Moscow,Rus,1.2332,3.6832,11.95,1.95,2.0832,20.899
Aston Villa,Eng,5.0856,5.1714,3.05,3.2856,3.357,19.949
Spain,,3.5856,3.6428,4.1714,3.5428,4.6,19.542
Palermo,Ita,3.0856,7.3142,3.2714,2.8832,2.8332,19.387
Rapid Wien,Aut,5.875,2.875,1.425,2.45,6.56,19.185
Maritimo Funchal,Por,2,5.26,2.3666,7.35,1.9832,18.959
FC Zürich,Sui,8.15,1.18,5.2,1.675,2.44,18.645
Genoa,Ita,8.0856,2.3142,2.2714,2.8832,2.8332,18.387
Maccabi Haifa,Isr,5.45,1.925,5.2,0.65,5.15,18.375
Montpellier,Fra,3,3.15,2.1,8.35,1.7,18.3
Ludogorets Razgrad,Bul,0.625,0.925,0.3,1.15,15.125,18.125
Vitória Guimarães,Por,2,3.76,3.8666,2.35,5.9832,17.959
Nacional Funchal,Por,6,3.76,3.8666,2.35,1.9832,17.959
Maccabi Tel-Aviv,Isr,1.45,2.425,3.2,0.65,10.15,17.875
Sampdoria,Ita,3.0856,6.3142,2.2714,2.8832,2.8332,17.387
FSV Mainz 05,Ger,3.6166,3.1332,4.05,3.5856,2.9428,17.328
AJ Auxerre,Fra,3,8.15,2.1,2.35,1.7,17.3
Lech Poznan,Pol,1.925,10.9,1.325,1.5,1.625,17.275
Sheriff Tiraspol,Mol,4.425,4.425,0.6,1.95,5.675,17.075
Unirea Urziceni,Rom,11.2166,2.1332,0.8666,1.36,1.375,16.951
England,,3.5856,3.6714,3.05,3.2856,3.357,16.949
Slovan Liberec,Cze,2.32,0.7,1.05,3.2,9.6,16.87
