,,08월 09일,09월 10일,10월 11일,11월 12일,12월 13일,ranking
Baník Ostrava,Cze,1.475,0.82,1.7,1.05,1.7,6.745
HJK Helsinki,Fin,0.3666,0.775,1.86,1.8,1.9,6.701
FK Ventspils,Lat,0.2332,3.45,0.6,1.125,1.25,6.658
AC Horsens,Den,1.64,0.88,1.34,0.62,2.16,6.64
Hapoel Kiryat Shmona,Isr,0.35,1.45,0.925,1.2,2.65,6.575
Apollon Limassol,Cyp,1.2666,0.85,1.625,1.825,0.8,6.366
APOP Kinyras Peyias,Cyp,1.2666,1.85,0.625,1.825,0.8,6.366
Tromsø IL,Nor,0.5,1.92,0.475,0.96,2.48,6.335
Aalesunds FK,Nor,0.5,0.42,1.475,1.96,1.98,6.335
Ekranas Panevezys,Lit,0.5,1.25,1.125,1.7,1.725,6.3
Sigma Olomouc,Cze,0.475,2.32,0.7,1.05,1.7,6.245
FK Teplice,Cze,0.475,2.32,0.7,1.05,1.7,6.245
FK Aktobe,Kaz,0.1666,1.75,1.675,1.325,1.275,6.191
FC Gomel,Bls,0.8,0.675,1.175,1.625,1.9,6.175
Dinamo Minsk,Bls,0.8,1.175,2.675,0.625,0.9,6.175
Ruch Chorzow,Pol,1,0.425,1.9,1.325,1.5,6.15
Gaz Metan Medias,Rom,0.5284,1.2166,0.6332,2.3666,1.36,6.104
Admira Wacker,Aut,0.45,1.875,0.875,1.425,1.45,6.075
Maccabi Netanya,Isr,0.35,2.45,0.925,1.2,1.15,6.075
Dundee United,Sco,0.375,0.5332,2.22,1.05,1.86,6.038
St. Patrick's Athletic,Irl,1.5,1.775,0.2,1.3,1.2,5.975
Slaven Koprivnica,Cro,0.8666,1.6,0.825,0.75,1.875,5.916
Spartak Trnava,Svk,0.9666,1,0.6,1.975,1.3,5.841
FC Zestafoni,Geo,0.2332,0.85,1.375,2.075,1.3,5.833
Switzerland,,0.58,1.15,1.18,1.2,1.675,5.785
Neftchi Baku,Azb,0.1332,0.3,0.4,1.275,3.6,5.708
Garabag Agdam,Azb,0.1332,1.8,1.9,1.275,0.6,5.708
Dnepr Mogilev,Bls,0.8,0.675,2.675,0.625,0.9,5.675
AGF Aarhus,Den,1.64,0.88,1.34,0.62,1.16,5.64
Shamrock Rovers,Irl,0.5,0.275,1.2,2.3,1.2,5.475
Vojvodina Novi Sad,Srb,0.6,1.6,0.7,0.925,1.6,5.425
Jagiellonia Bialystok,Pol,1,0.425,1.9,1.575,0.5,5.4
Cyprus,,1.2666,0.85,0.625,1.825,0.8,5.366
Dinamo Tbilisi,Geo,0.2332,1.35,1.375,2.075,0.3,5.333
Shakhtior Saligorsk,Bls,0.8,0.675,1.175,1.125,1.4,5.175
Naftan Novopolotsk,Bls,0.8,1.175,1.175,0.625,1.4,5.175
Polonia Warsaw,Pol,1,1.425,0.9,1.325,0.5,5.15
