,,11월 12일,12월 13일,13/14,14/15,15/16,ranking
Ludogorets Razgrad,Bul,0.3,1.15,15.125,7.85,1.2,25.625
AA Gent,Bel,2.02,2.3,1.28,1.92,17.48,25
Young Boys,Sui,2.7,8.675,1.44,9.38,2.56,24.755
FC København,Den,4.62,6.66,7.76,3.58,2.1,24.72
FK Krasnodar,Rus,1.95,1.95,2.0832,6.9332,11.3,24.216
Rapid Wien,Aut,1.425,2.45,6.56,2.325,10.76,23.52
Stoke City,Eng,11.05,3.2856,3.357,2.7142,2.85,23.256
FC Augsburg,Ger,3.05,3.5856,2.9428,3.1714,10.2856,23.035
Swansea City,Eng,3.05,3.2856,10.357,2.7142,2.85,22.256
Birmingham City,Eng,10.05,3.2856,3.357,2.7142,2.85,22.256
Slovan Liberec,Cze,1.05,3.2,9.6,1.775,6.46,22.085
NK Maribor,Slo,2.45,3.65,6.525,7.8,1.2,21.625
Fulham FC,Eng,9.05,3.2856,3.357,2.7142,2.85,21.256
Spain,,4.1714,3.5428,4.6,4.0428,4.7856,21.142
SC Freiburg,Ger,3.05,3.5856,7.9428,3.1714,3.2856,21.035
Molde FK,Nor,0.46,4.98,2.02,1.44,11.45,20.35
Maccabi Tel-Aviv,Isr,3.2,0.65,10.15,1.775,4.45,20.225
En Avant Guingamp,Fra,2.1,2.35,1.7,11.1832,2.2166,19.549
Wigan Athletic,Eng,3.05,3.2856,7.357,2.7142,2.85,19.256
Spartak Moscow,Rus,3.45,7.95,3.5832,1.9332,2.3,19.216
Feyenoord,Ned,2.72,2.3428,2.6832,10.2166,1.15,19.112
Austria Wien,Aut,7.425,0.45,9.56,0.825,0.76,19.02
Malmö FF,Swe,2.58,1.025,1.64,6.78,6.95,18.975
FSV Mainz 05,Ger,4.05,3.5856,2.9428,4.1714,3.2856,18.035
Chernomorets Odesa,Ukr,1.55,1.9,9.5666,3,1.96,17.976
FC Zürich,Sui,5.2,1.675,2.44,6.38,2.06,17.755
Estoril Praia,Por,2.3666,2.35,4.9832,5.8166,2.1,17.616
Vitória Guimarães,Por,3.8666,2.35,5.9832,1.8166,3.1,17.116
CFR Cluj,Rom,0.8666,12.36,1.375,2.025,0.45,17.076
Partizan Belgrade,Srb,1.925,3.6,2,2.55,6.85,16.925
Southampton FC,Eng,3.05,3.2856,3.357,2.7142,4.35,16.756
Hull City,Eng,3.05,3.2856,3.357,4.2142,2.85,16.756
Montpellier,Fra,2.1,8.35,1.7,2.1832,2.2166,16.549
KSC Lokeren,Bel,2.02,2.8,1.28,8.92,1.48,16.5
West Ham United,Eng,3.05,3.2856,3.357,2.7142,3.85,16.256
FC Sion,Sui,2.7,1.675,1.44,1.38,9.06,16.255
Germany,,3.05,3.5856,2.9428,3.1714,3.2856,16.035
Asteras Tripolis,Gre,1.52,1.88,2.22,6.24,4.08,15.94
Maritimo Funchal,Por,2.3666,7.35,1.9832,1.8166,2.1,15.616
England,,3.05,3.2856,3.357,2.7142,2.85,15.256
Kuban Krasnodar,Rus,1.95,1.95,7.0832,1.9332,2.3,15.216
Sampdoria,Ita,2.2714,2.8832,2.8332,3.8,3.3,15.087
Palermo,Ita,3.2714,2.8832,2.8332,3.8,2.3,15.087
Panathinaikos,Gre,3.02,4.88,1.22,3.24,2.58,14.94
FC Midtjylland,Den,1.62,2.16,0.76,2.08,8.1,14.72
CF Os Belenenses,Por,2.3666,2.35,1.9832,1.8166,6.1,14.616
Académica Coimbra,Por,2.3666,6.35,1.9832,1.8166,2.1,14.616
NK Rijeka,Cro,0.75,0.875,4.875,6.375,1.4,14.275
Italy,,2.2714,2.8832,2.8332,3.8,2.3,14.087
Zulte Waregem,Bel,2.02,1.3,6.28,2.92,1.48,14
Esbjerg fB,Den,0.62,0.66,9.76,1.58,1.1,13.72
Rio Ave,Por,2.3666,2.35,1.9832,4.8166,2.1,13.616
Nacional Funchal,Por,3.8666,2.35,1.9832,3.3166,2.1,13.616
Paços de Ferreira,Por,2.3666,2.35,4.9832,1.8166,2.1,13.616
Stade Rennais,Fra,5.1,2.35,1.7,2.1832,2.2166,13.549
Garabag Agdam,Azb,1.275,0.6,2,5.725,3.875,13.475
Hapoel Tel-Aviv,Isr,6.2,3.65,2.15,0.775,0.45,13.225
Rosenborg BK,Nor,1.96,4.98,1.02,1.44,3.45,12.85
FK Astana,Kaz,0.325,0.275,0.875,2.175,8.925,12.575
Wisla Kraków,Pol,9.325,0.5,0.625,0.95,1.1,12.5
OGC Nice,Fra,2.1,2.35,3.2,2.1832,2.2166,12.049
FC Sochaux-Montbéliard,Fra,3.6,2.35,1.7,2.1832,2.2166,12.049
Zorya Luhansk,Ukr,1.55,1.9,1.5666,3.5,3.46,11.976
Vorskla Poltava,Ukr,3.55,1.9,1.5666,2,2.96,11.976
FC Thun,Sui,2.7,1.675,3.44,1.38,2.56,11.755
Maccabi Haifa,Isr,5.2,0.65,5.15,0.275,0.45,11.725
FC Nordsjælland,Den,2.12,5.66,2.26,0.58,1.1,11.72
FK Rostov,Rus,1.95,1.95,2.0832,3.4332,2.3,11.716
Alania Vladikavkaz,Rus,3.45,1.95,2.0832,1.9332,2.3,11.716
FC Vaslui,Rom,5.8666,2.86,1.375,1.025,0.45,11.576
Lech Poznan,Pol,1.325,1.5,1.625,1.95,5.1,11.5
IF Elfsborg,Swe,1.58,2.025,3.64,2.28,1.95,11.475
Atromitos FC,Gre,1.52,2.38,2.72,2.24,2.58,11.44
Bursaspor,Tur,2.52,3.54,2.34,1.7,1.32,11.42
Astra Giurgiu,Rom,0.8666,1.36,2.875,4.025,1.95,11.076
HJK Helsinki,Fin,1.8,1.9,1.1,4.48,1.7,10.98
Metalurg Donetsk,Ukr,1.55,2.9,2.5666,2,1.96,10.976
Hajduk Split,Cro,1.75,1.875,1.875,2.875,2.4,10.775
FC Sankt Gallen,Sui,1.2,1.675,5.44,1.38,1.06,10.755
Portugal,,2.3666,2.35,1.9832,1.8166,2.1,10.616
FK Jablonec,Cze,2.05,1.7,3.1,0.775,2.96,10.585
Sheriff Tiraspol,Mol,0.6,1.95,5.675,1.85,0.5,10.575
France,,2.1,2.35,1.7,2.1832,2.2166,10.549
Karpaty Lviv,Ukr,3.05,1.9,1.5666,2,1.96,10.476
Apollon Limassol,Cyp,1.825,0.8,3.55,2.66,1.6,10.435
AaB Aalborg,Den,0.62,0.66,1.26,6.58,1.1,10.22
Russia,,1.95,1.95,2.0832,1.9332,2.3,10.216
Vitesse Arnhem,Ned,2.72,1.8428,2.1832,1.2166,2.15,10.112
Mladá Boleslav,Cze,2.05,2.7,1.6,1.775,1.96,10.085
Dinamo Minsk,Bls,0.625,0.9,1.35,4.1,3.025,10
Arsenal Kiev,Ukr,1.55,2.9,1.5666,2,1.96,9.976
Omonia Nicosia,Cyp,3.325,1.8,1.05,2.16,1.6,9.935
Grasshoppers Zürich,Sui,1.2,1.675,2.94,2.88,1.06,9.755
Neftchi Baku,Azb,1.275,3.6,1.5,2.225,1.125,9.725
FC Groningen,Ned,2.72,0.8428,1.1832,1.7166,3.15,9.612
Slask Wroclaw,Pol,2.825,2,2.125,0.95,1.6,9.5
AEK Larnaca,Cyp,5.825,0.8,0.55,0.66,1.6,9.435
Otelul Galati,Rom,4.8666,1.36,1.375,1.025,0.45,9.076
Charleroi,Bel,2.02,1.3,1.28,1.92,2.48,9
KVC Westerlo,Bel,3.02,1.3,1.28,1.92,1.48,9
Ukraine,,1.55,1.9,1.5666,2,1.96,8.976
AIK Stockholm,Swe,0.58,4.025,0.64,1.78,1.95,8.975
AEL Limassol,Cyp,1.825,3.8,0.55,2.16,0.6,8.935
Slovan Bratislava,Svk,2.475,0.8,1.325,2.55,1.75,8.9
FC Luzern,Sui,1.2,3.175,1.44,1.88,1.06,8.755
Videoton Fehérvár,Hun,1.45,4.6,0.425,0.425,1.825,8.725
PEC Zwolle,Ned,2.72,0.8428,1.1832,2.7166,1.15,8.612
Heerenveen,Ned,2.72,2.3428,1.1832,1.2166,1.15,8.612
Sturm Graz,Aut,3.425,0.45,2.06,0.825,1.76,8.52
Helsingborg IF,Swe,2.08,4.025,0.64,0.78,0.95,8.475
Karabükspor,Tur,1.02,2.04,1.34,2.7,1.32,8.42
Tromsø IL,Nor,0.96,2.48,2.52,0.94,1.45,8.35
ADO Den Haag,Ned,3.72,0.8428,1.1832,1.2166,1.15,8.112
Petrolul Ploiesti,Rom,0.8666,1.36,2.875,2.525,0.45,8.076
Dinamo Bucuresti,Rom,2.3666,2.86,1.375,1.025,0.45,8.076
Rapid Bucuresti,Rom,2.8666,2.36,1.375,1.025,0.45,8.076
FK Aktobe,Kaz,1.325,1.275,2.125,2.175,1.175,8.075
Belgium,,2.02,1.3,1.28,1.92,1.48,8
AEK Athens,Gre,3.52,0.88,1.22,1.24,1.08,7.94
Vojvodina Novi Sad,Srb,0.925,1.6,2,1.05,2.35,7.925
Istanbul Basaksehir,Tur,1.02,2.04,1.34,1.2,2.32,7.92
Eskisehirspor,Tur,1.02,3.04,1.34,1.2,1.32,7.92
Gaziantepspor,Tur,2.02,2.04,1.34,1.2,1.32,7.92
Strømsgodset IF,Nor,1.46,0.98,1.52,1.44,2.45,7.85
Skënderbeu Korçë,Alb,1.175,1.15,1.9,1.175,2.425,7.825
Servette FC Genève,Sui,1.2,2.675,1.44,1.38,1.06,7.755
Hapoel Kiryat Shmona,Isr,1.2,2.65,1.15,1.275,1.45,7.725
FC Utrecht,Ned,2.72,0.8428,1.6832,1.2166,1.15,7.612
SV Ried,Aut,2.925,1.45,1.56,0.825,0.76,7.52
Shakhtior Saligorsk,Bls,1.125,1.4,0.85,2.6,1.525,7.5
Spartak Trnava,Svk,1.975,1.3,0.325,2.05,1.75,7.4
Go Ahead Eagles,Ned,2.72,0.8428,1.1832,1.2166,1.4,7.362
Shakhtyor Karaganda,Kaz,0.825,1.275,2.625,1.675,0.925,7.325
RNK Split,Cro,1.75,0.875,0.875,2.875,0.9,7.275
Brøndby IF,Den,1.62,0.66,0.76,1.58,2.6,7.22
Red Star Belgrade,Srb,1.925,2.1,1.5,0.55,1.1,7.175
Netherlands,,2.72,0.8428,1.1832,1.2166,1.15,7.112
Pandurii Târgu Jiu,Rom,0.8666,1.36,3.375,1.025,0.45,7.076
Ruch Chorzow,Pol,1.325,1.5,0.625,2.45,1.1,7
Xanthi FC,Gre,1.52,0.88,2.22,1.24,1.08,6.94
Olympiakos Volou,Gre,2.52,0.88,1.22,1.24,1.08,6.94
Anorthosis Famagusta,Cyp,2.825,1.8,1.05,0.66,0.6,6.935
Turkey,,1.02,2.04,1.34,1.2,1.32,6.92
Switzerland,,1.2,1.675,1.44,1.38,1.06,6.755
OB Odense,Den,3.62,0.66,0.76,0.58,1.1,6.72
Czech Republic,,1.05,1.7,1.6,0.775,1.46,6.585
Gaz Metan Medias,Rom,2.3666,1.36,1.375,1.025,0.45,6.576
SCR Altach,Aut,1.425,0.45,1.56,0.825,2.26,6.52
FC Pasching,Aut,1.425,0.45,3.06,0.825,0.76,6.52
IFK Göteborg,Swe,0.58,1.025,1.14,1.78,1.95,6.475
DVSC Debrecen,Hun,0.45,2.1,0.675,1.925,1.325,6.475
Motherwell,Sco,0.55,2.36,1.65,1.3,0.6,6.46
Hearts FC,Sco,2.05,2.36,0.65,0.8,0.6,6.46
FK Sarajevo,Bos,1.225,1.25,0.8,1.85,1.3,6.425
MSK Zilina,Svk,0.975,1.3,1.325,0.55,2.25,6.4
Aalesunds FK,Nor,1.96,1.98,0.52,0.44,1.45,6.35
St. Johnstone,Sco,0.55,1.36,1.65,1.8,0.85,6.21
ASA Tirgu Mures,Rom,0.8666,1.36,1.375,1.025,1.45,6.076
FK Ventspils,Lat,1.125,1.25,1.325,1.05,1.325,6.075
Wolfsberger AC,Aut,1.425,0.45,1.56,0.825,1.76,6.02
St. Pölten,Aut,1.425,0.45,1.56,1.825,0.76,6.02
SV Grödig,Aut,1.425,0.45,1.56,1.825,0.76,6.02
Admira Wacker,Aut,1.425,1.45,1.56,0.825,0.76,6.02
FK Minsk,Bls,1.125,0.9,1.85,1.1,1.025,6
FC Gomel,Bls,1.625,1.9,0.35,1.1,1.025,6
BK Häcken,Swe,1.58,1.025,1.64,0.78,0.95,5.975
Greece,,1.52,0.88,1.22,1.24,1.08,5.94
Zeljeznicar Sarajevo,Bos,1.225,1.25,1.3,0.85,1.3,5.925
Dinamo Tbilisi,Geo,2.075,0.3,1.875,1.25,0.375,5.875
Lokomotiva Zagreb,Cro,0.75,0.875,1.375,1.375,1.4,5.775
Slaven Koprivnica,Cro,0.75,1.875,0.875,1.375,0.9,5.775
NK Varazdin,Cro,1.75,0.875,0.875,1.375,0.9,5.775
FH Hafnarfjardar,Isl,0.775,0.75,2,1.5,0.725,5.75
KR Reykjavik,Isl,1.275,1.25,1,1.5,0.725,5.75
Bnei Yehuda,Isr,2.2,1.65,1.15,0.275,0.45,5.725
Dila Gori,Geo,0.575,1.8,1.875,0.25,1.125,5.625
FC Botosani,Rom,0.8666,1.36,1.375,1.025,0.95,5.576
Inter Baku,Azb,0.275,1.1,1,1.225,1.875,5.475
Aberdeen,Sco,0.55,0.86,0.65,1.8,1.6,5.46
Ermis Aradippou,Cyp,1.825,0.8,0.55,1.66,0.6,5.435
AS Trencín,Svk,0.475,0.3,1.325,1.55,1.75,5.4
Odd Grenland,Nor,0.46,0.98,0.52,0.44,2.95,5.35
NK Osijek,Cro,0.75,1.375,0.875,1.375,0.9,5.275
Jagiellonia Bialystok,Pol,1.575,0.5,0.625,0.95,1.6,5.25
Gabala FK,Azb,0.275,0.6,0.5,0.975,2.875,5.225
Randers FC,Den,0.62,0.66,1.76,0.58,1.6,5.22
AC Horsens,Den,0.62,2.16,0.76,0.58,1.1,5.22
Rabotnicki Skopje,Mac,1.825,0.25,0.1,1.225,1.8,5.2
The New Saints,Wal,0.625,1.1,1.15,1.025,1.3,5.2
Ekranas Panevezys,Lit,1.7,1.725,1.25,0.35,0.15,5.175
CSKA Sofia,Bul,1.8,0.65,1.125,1.35,0.2,5.125
Romania,,0.8666,1.36,1.375,1.025,0.45,5.076
Milsami Orhei,Mol,0.35,0.95,1.675,0.35,1.75,5.075
F91 Dudelange,Lux,1.225,1.775,0.55,1.1,0.4,5.05
Austria,,1.425,0.45,1.56,0.825,0.76,5.02
Zawisza Bydgoszcz,Pol,1.325,0.5,0.625,1.45,1.1,5
Piast Gliwice,Pol,1.325,0.5,1.125,0.95,1.1,5
IF Brommapojkarna,Swe,0.58,1.025,0.64,1.78,0.95,4.975
Gefle IF,Swe,0.58,1.025,1.64,0.78,0.95,4.975
Kalmar FF,Swe,0.58,2.025,0.64,0.78,0.95,4.975
Dundee United,Sco,1.05,1.86,0.65,0.8,0.6,4.96
Glasgow Rangers,Sco,2.05,0.86,0.65,0.8,0.6,4.96
Zalgiris Vilnius,Lit,0.2,0.725,1.75,1.1,1.15,4.925
Litex Lovech,Bul,1.8,0.15,1.125,1.35,0.45,4.875
FC Vaduz,Lie,1.4,,0.45,1,2,4.85
Vålerengen IF,Nor,1.46,0.98,0.52,0.44,1.45,4.85
Kairat Almaty,Kaz,0.325,0.275,0.625,1.175,2.425,4.825
Differdange 03,Lux,1.725,0.775,1.3,0.35,0.65,4.8
Croatia,,0.75,0.875,0.875,1.375,0.9,4.775
Hapoel Beer-Sheva,Isr,1.2,0.65,1.15,0.775,0.95,4.725
Hapoel Ramat-Gan,Isr,1.2,0.65,2.15,0.275,0.45,4.725
Olimpija Ljubljana,Slo,1.45,1.15,1.025,0.8,0.2,4.625
FC Zestafoni,Geo,2.075,1.3,0.375,0.75,0.125,4.625
Shamrock Rovers,Irl,2.3,1.2,0.05,0.4,0.64,4.59
St. Patrick's Athletic,Irl,1.3,1.2,0.3,1.4,0.39,4.59
Neman Grodno,Bls,0.625,0.9,0.35,1.6,1.025,4.5
Naftan Novopolotsk,Bls,0.625,1.4,0.35,1.1,1.025,4.5
Poland,,1.325,0.5,0.625,0.95,1.1,4.5
Örebro SK,Swe,1.08,1.025,0.64,0.78,0.95,4.475
Khazar Lenkoran,Azb,0.775,1.1,1,0.725,0.875,4.475
Valletta FC,Mlt,1.1666,1.175,0.675,1.025,0.425,4.466
Cyprus,,1.825,0.8,0.55,0.66,0.6,4.435
FK Senica,Svk,1.475,0.8,0.825,0.55,0.75,4.4
Linfield Belfast,Nir,1.1,1.2,0.675,0.775,0.65,4.4
Levski Sofia,Bul,1.3,0.65,1.375,0.85,0.2,4.375
FK Haugesund,Nor,0.46,0.98,0.52,0.94,1.45,4.35
IL Hødd,Nor,0.46,0.98,1.02,0.44,1.45,4.35
Dacia Chisinau,Mol,1.1,0.95,1.175,0.35,0.75,4.325
Torpedo Zhodino,Bls,0.625,0.9,0.35,1.1,1.275,4.25
Stjarnan FC,Isl,0.275,0.25,0.5,2,1.225,4.25
Beitar Jerusalem,Isr,1.2,0.65,1.15,0.275,0.95,4.225
Maccabi Netanya,Isr,1.2,1.15,1.15,0.275,0.45,4.225
AGF Aarhus,Den,0.62,1.16,0.76,0.58,1.1,4.22
Vardar Skopje,Mac,0.325,1.25,1.1,0.225,1.3,4.2
FK Jagodina,Srb,0.425,0.85,1,1.05,0.85,4.175
Botev Plovdiv,Bul,0.3,0.15,2.125,1.35,0.2,4.125
Mura Murska Sobota,Slo,0.45,2.15,0.525,0.8,0.2,4.125
Stabæk IF,Nor,0.46,1.23,0.52,0.44,1.45,4.1
Sligo Rovers,Irl,1.3,0.7,1.05,0.9,0.14,4.09
FK Kukësi,Alb,0.175,0.15,1.9,0.425,1.425,4.075
Belarus,,0.625,0.9,0.35,1.1,1.025,4
