,,10월 11일,11월 12일,12월 13일,13/14,14/15,ranking
Legia Warsaw,Pol,0.9,8.325,2,2.625,10.95,24.8
Dinamo Zagreb,Cro,5.825,4.75,5.875,2.875,5.375,24.7
Girondins Bordeaux,Fra,2.15,2.1,14.35,3.7,2.1832,24.483
CFR Cluj,Rom,7.6332,0.8666,12.36,1.375,2.025,24.259
Stoke City,Eng,3.6714,11.05,3.2856,3.357,2.7142,24.078
Werder Bremen,Ger,11.1332,3.05,3.5856,2.9428,3.1714,23.883
Lokomotiv Moscow,Rus,3.6832,11.95,1.95,2.0832,3.4332,23.099
Swansea City,Eng,3.6714,3.05,3.2856,10.357,2.7142,23.078
Birmingham City,Eng,3.6714,10.05,3.2856,3.357,2.7142,23.078
NK Maribor,Slo,1.8,2.45,3.65,6.525,7.8,22.225
Fulham FC,Eng,3.6714,9.05,3.2856,3.357,2.7142,22.078
Hapoel Tel-Aviv,Isr,8.925,6.2,3.65,2.15,0.775,21.7
Feyenoord,Ned,3.7332,2.72,2.3428,2.6832,10.2166,21.695
SC Freiburg,Ger,3.1332,3.05,3.5856,7.9428,3.1714,20.883
Austria Wien,Aut,2.375,7.425,0.45,9.56,0.825,20.635
Palermo,Ita,7.3142,3.2714,2.8832,2.8332,3.8,20.102
Wigan Athletic,Eng,3.6714,3.05,3.2856,7.357,2.7142,20.078
Spain,,3.6428,4.1714,3.5428,4.6,4.0428,19.999
Panathinaikos,Gre,7.52,3.02,4.88,1.22,3.24,19.88
En Avant Guingamp,Fra,2.15,2.1,2.35,1.7,11.1832,19.483
Estoril Praia,Por,3.76,2.3666,2.35,4.9832,5.8166,19.276
Maritimo Funchal,Por,5.26,2.3666,7.35,1.9832,1.8166,18.776
Maccabi Tel-Aviv,Isr,2.425,3.2,0.65,10.15,1.775,18.2
Sampdoria,Ita,6.3142,2.2714,2.8832,2.8332,3.8,18.102
Chernomorets Odesa,Ukr,2.0166,1.55,1.9,9.5666,3,18.033
FSV Mainz 05,Ger,3.1332,4.05,3.5856,2.9428,4.1714,17.883
Vitória Guimarães,Por,3.76,3.8666,2.35,5.9832,1.8166,17.776
Hull City,Eng,3.6714,3.05,3.2856,3.357,4.2142,17.578
Aston Villa,Eng,5.1714,3.05,3.2856,3.357,2.7142,17.578
Montpellier,Fra,3.15,2.1,8.35,1.7,2.1832,17.483
Lech Poznan,Pol,10.9,1.325,1.5,1.625,1.95,17.3
Glasgow Rangers,Sco,12.72,2.05,0.86,0.65,0.8,17.08
AS Saint-Étienne,Fra,2.15,2.1,2.35,3.2,7.1832,16.983
FC Zürich,Sui,1.18,5.2,1.675,2.44,6.38,16.875
AJ Auxerre,Fra,8.15,2.1,2.35,1.7,2.1832,16.483
Slovan Liberec,Cze,0.7,1.05,3.2,9.6,1.775,16.325
Académica Coimbra,Por,3.76,2.3666,6.35,1.9832,1.8166,16.276
England,,3.6714,3.05,3.2856,3.357,2.7142,16.078
Bursaspor,Tur,5.92,2.52,3.54,2.34,1.7,16.02
KSC Lokeren,Bel,0.92,2.02,2.8,1.28,8.92,15.94
Germany,,3.1332,3.05,3.5856,2.9428,3.1714,15.883
Rapid Wien,Aut,2.875,1.425,2.45,6.56,2.325,15.635
Rio Ave,Por,3.76,2.3666,2.35,1.9832,4.8166,15.276
Nacional Funchal,Por,3.76,3.8666,2.35,1.9832,3.3166,15.276
Paços de Ferreira,Por,3.76,2.3666,2.35,4.9832,1.8166,15.276
FK Krasnodar,Rus,2.1832,1.95,1.95,2.0832,6.9332,15.099
Kuban Krasnodar,Rus,2.1832,1.95,1.95,7.0832,1.9332,15.099
Partizan Belgrade,Srb,4.7,1.925,3.6,2,2.55,14.775
Sheriff Tiraspol,Mol,4.425,0.6,1.95,5.675,1.85,14.5
Aris Thessaloniki,Gre,9.52,1.52,0.88,1.22,1.24,14.38
Italy,,2.3142,2.2714,2.8832,2.8332,3.8,14.102
Esbjerg fB,Den,1.34,0.62,0.66,9.76,1.58,13.96
NK Rijeka,Cro,0.825,0.75,0.875,4.875,6.375,13.7
FC Utrecht,Ned,7.2332,2.72,0.8428,1.6832,1.2166,13.695
Stade Rennais,Fra,2.15,5.1,2.35,1.7,2.1832,13.483
Zulte Waregem,Bel,0.92,2.02,1.3,6.28,2.92,13.44
AA Gent,Bel,5.92,2.02,2.3,1.28,1.92,13.44
Asteras Tripolis,Gre,1.52,1.52,1.88,2.22,6.24,13.38
AEK Athens,Gre,6.52,3.52,0.88,1.22,1.24,13.38
Wisla Kraków,Pol,1.9,9.325,0.5,0.625,0.95,13.3
FC Vaslui,Rom,2.1332,5.8666,2.86,1.375,1.025,13.259
Maccabi Haifa,Isr,1.925,5.2,0.65,5.15,0.275,13.2
FC Nordsjælland,Den,2.34,2.12,5.66,2.26,0.58,12.96
Malmö FF,Swe,0.52,2.58,1.025,1.64,6.78,12.545
Karpaty Lviv,Ukr,4.0166,3.05,1.9,1.5666,2,12.533
Portugal,,3.76,2.3666,2.35,1.9832,1.8166,12.276
OGC Nice,Fra,2.15,2.1,2.35,3.2,2.1832,11.983
FC Sochaux-Montbéliard,Fra,2.15,3.6,2.35,1.7,2.1832,11.983
Rosenborg BK,Nor,2.475,1.96,4.98,1.02,1.44,11.875
FK Rostov,Rus,2.1832,1.95,1.95,2.0832,3.4332,11.599
Alania Vladikavkaz,Rus,2.1832,3.45,1.95,2.0832,1.9332,11.599
Sibir Novosibirsk,Rus,3.6832,1.95,1.95,2.0832,1.9332,11.599
IF Elfsborg,Swe,2.02,1.58,2.025,3.64,2.28,11.545
Garabag Agdam,Azb,1.9,1.275,0.6,2,5.725,11.5
Grasshoppers Zürich,Sui,2.68,1.2,1.675,2.94,2.88,11.375
Hajduk Split,Cro,2.825,1.75,1.875,1.875,2.875,11.2
HJK Helsinki,Fin,1.86,1.8,1.9,1.1,4.48,11.14
Metalurg Donetsk,Ukr,2.0166,1.55,2.9,2.5666,2,11.033
Vorskla Poltava,Ukr,2.0166,3.55,1.9,1.5666,2,11.033
FC Sankt Gallen,Sui,1.18,1.2,1.675,5.44,1.38,10.875
Zorya Luhansk,Ukr,2.0166,1.55,1.9,1.5666,3.5,10.533
Tavria Simferopol,Ukr,3.5166,1.55,1.9,1.5666,2,10.533
France,,2.15,2.1,2.35,1.7,2.1832,10.483
AaB Aalborg,Den,1.34,0.62,0.66,1.26,6.58,10.46
Apollon Limassol,Cyp,1.625,1.825,0.8,3.55,2.66,10.46
Omonia Nicosia,Cyp,2.125,3.325,1.8,1.05,2.16,10.46
Atromitos FC,Gre,1.52,1.52,2.38,2.72,2.24,10.38
Molde FK,Nor,1.475,0.46,4.98,2.02,1.44,10.375
FC Thun,Sui,1.18,2.7,1.675,3.44,1.38,10.375
Vitesse Arnhem,Ned,2.2332,2.72,1.8428,2.1832,1.2166,10.195
Levski Sofia,Bul,5.925,1.3,0.65,1.375,0.85,10.1
Russia,,2.1832,1.95,1.95,2.0832,1.9332,10.099
Arsenal Kiev,Ukr,2.0166,1.55,2.9,1.5666,2,10.033
OB Odense,Den,4.34,3.62,0.66,0.76,0.58,9.96
FC Luzern,Sui,2.18,1.2,3.175,1.44,1.88,9.875
Astra Giurgiu,Rom,0.6332,0.8666,1.36,2.875,4.025,9.759
PEC Zwolle,Ned,2.2332,2.72,0.8428,1.1832,2.7166,9.695
Heerenveen,Ned,2.2332,2.72,2.3428,1.1832,1.2166,9.695
Dinamo Minsk,Bls,2.675,0.625,0.9,1.35,4.1,9.65
FK Jablonec,Cze,1.7,2.05,1.7,3.1,0.775,9.325
Dinamo Bucuresti,Rom,1.6332,2.3666,2.86,1.375,1.025,9.259
Otelul Galati,Rom,0.6332,4.8666,1.36,1.375,1.025,9.259
Slovan Bratislava,Svk,2.1,2.475,0.8,1.325,2.55,9.25
ADO Den Haag,Ned,2.2332,3.72,0.8428,1.1832,1.2166,9.195
Sturm Graz,Aut,2.375,3.425,0.45,2.06,0.825,9.135
AIK Stockholm,Swe,2.02,0.58,4.025,0.64,1.78,9.045
Ukraine,,2.0166,1.55,1.9,1.5666,2,9.033
Neftchi Baku,Azb,0.4,1.275,3.6,1.5,2.225,9
AEL Limassol,Cyp,0.625,1.825,3.8,0.55,2.16,8.96
Lausanne Sports,Sui,3.18,1.2,1.675,1.44,1.38,8.875
Mladá Boleslav,Cze,0.7,2.05,2.7,1.6,1.775,8.825
Slask Wroclaw,Pol,0.9,2.825,2,2.125,0.95,8.8
MSK Zilina,Svk,4.6,0.975,1.3,1.325,0.55,8.75
FC Groningen,Ned,2.2332,2.72,0.8428,1.1832,1.7166,8.695
FK Aktobe,Kaz,1.675,1.325,1.275,2.125,2.175,8.575
Anorthosis Famagusta,Cyp,2.125,2.825,1.8,1.05,0.66,8.46
AEK Larnaca,Cyp,0.625,5.825,0.8,0.55,0.66,8.46
KVC Westerlo,Bel,0.92,3.02,1.3,1.28,1.92,8.44
Cercle Brugge,Bel,1.92,2.02,1.3,1.28,1.92,8.44
FC Sion,Sui,1.18,2.7,1.675,1.44,1.38,8.375
Petrolul Ploiesti,Rom,0.6332,0.8666,1.36,2.875,2.525,8.259
Rapid Bucuresti,Rom,0.6332,2.8666,2.36,1.375,1.025,8.259
Netherlands,,2.2332,2.72,0.8428,1.1832,1.2166,8.195
Motherwell,Sco,2.22,0.55,2.36,1.65,1.3,8.08
Helsingborg IF,Swe,0.52,2.08,4.025,0.64,0.78,8.045
Karabükspor,Tur,0.92,1.02,2.04,1.34,2.7,8.02
FC Midtjylland,Den,1.34,1.62,2.16,0.76,2.08,7.96
Videoton Fehérvár,Hun,1.05,1.45,4.6,0.425,0.425,7.95
Servette FC Genève,Sui,1.18,1.2,2.675,1.44,1.38,7.875
CSKA Sofia,Bul,2.925,1.8,0.65,1.125,1.35,7.85
Ruch Chorzow,Pol,1.9,1.325,1.5,0.625,2.45,7.8
Red Star Belgrade,Srb,1.7,1.925,2.1,1.5,0.55,7.775
DVSC Debrecen,Hun,2.55,0.45,2.1,0.675,1.925,7.7
SV Ried,Aut,0.875,2.925,1.45,1.56,0.825,7.635
Eskisehirspor,Tur,0.92,1.02,3.04,1.34,1.2,7.52
Gaziantepspor,Tur,0.92,2.02,2.04,1.34,1.2,7.52
Brøndby IF,Den,2.84,1.62,0.66,0.76,1.58,7.46
Belgium,,0.92,2.02,1.3,1.28,1.92,7.44
Xanthi FC,Gre,1.52,1.52,0.88,2.22,1.24,7.38
Olympiakos Volou,Gre,1.52,2.52,0.88,1.22,1.24,7.38
Tromsø IL,Nor,0.475,0.96,2.48,2.52,0.94,7.375
Pandurii Târgu Jiu,Rom,0.6332,0.8666,1.36,3.375,1.025,7.259
RNK Split,Cro,0.825,1.75,0.875,0.875,2.875,7.2
Hapoel Kiryat Shmona,Isr,0.925,1.2,2.65,1.15,1.275,7.2
Shakhtior Saligorsk,Bls,1.175,1.125,1.4,0.85,2.6,7.15
Dinamo Tbilisi,Geo,1.375,2.075,0.3,1.875,1.25,6.875
Switzerland,,1.18,1.2,1.675,1.44,1.38,6.875
Litex Lovech,Bul,2.425,1.8,0.15,1.125,1.35,6.85
Shakhtyor Karaganda,Kaz,0.425,0.825,1.275,2.625,1.675,6.825
Baník Ostrava,Cze,1.7,1.05,1.7,1.6,0.775,6.825
Gaz Metan Medias,Rom,0.6332,2.3666,1.36,1.375,1.025,6.759
FC Timisoara,Rom,2.1332,0.8666,1.36,1.375,1.025,6.759
Unirea Urziceni,Rom,2.1332,0.8666,1.36,1.375,1.025,6.759
Bnei Yehuda,Isr,1.425,2.2,1.65,1.15,0.275,6.7
FC Pasching,Aut,0.875,1.425,0.45,3.06,0.825,6.635
Hearts FC,Sco,0.72,2.05,2.36,0.65,0.8,6.58
Dundee United,Sco,2.22,1.05,1.86,0.65,0.8,6.58
Turkey,,0.92,1.02,2.04,1.34,1.2,6.52
Greece,,1.52,1.52,0.88,1.22,1.24,6.38
Aalesunds FK,Nor,1.475,1.96,1.98,0.52,0.44,6.375
Vojvodina Novi Sad,Srb,0.7,0.925,1.6,2,1.05,6.275
Spartak Trnava,Svk,0.6,1.975,1.3,0.325,2.05,6.25
FK Minsk,Bls,1.175,1.125,0.9,1.85,1.1,6.15
FC Gomel,Bls,1.175,1.625,1.9,0.35,1.1,6.15
