,,12월 13일,13/14,14/15,15/16,16/17,ranking
Pandurii Târgu Jiu,Rom,1.36,3.375,1.025,0.45,1.66,7.87
Petrolul Ploiesti,Rom,1.36,2.875,2.525,0.45,0.66,7.87
Turkey,,2.04,1.34,1.2,1.32,1.94,7.84
Gabala FK,Azb,0.6,0.5,0.975,2.875,2.85,7.8
PEC Zwolle,Ned,0.8428,1.1832,2.7166,1.15,1.82,7.712
Heerenveen,Ned,2.3428,1.1832,1.2166,1.15,1.82,7.712
Tromsø IL,Nor,2.48,2.52,0.94,1.45,0.275,7.665
Lokomotiva Zagreb,Cro,0.875,1.375,1.375,1.4,2.525,7.55
FK Aktobe,Kaz,1.275,2.125,2.175,1.175,0.8,7.55
Shakhtior Saligorsk,Bls,1.4,0.85,2.6,1.525,1.1,7.475
Slask Wroclaw,Pol,2,2.125,0.95,1.6,0.775,7.45
Servette FC Genève,Sui,2.675,1.44,1.38,1.06,0.86,7.415
Slovan Bratislava,Svk,0.8,1.325,2.55,1.75,0.925,7.35
Red Star Belgrade,Srb,2.1,1.5,0.55,1.1,2.075,7.325
Heracles Almelo,Ned,0.8428,1.1832,1.2166,1.15,2.82,7.212
Strømsgodset IF,Nor,0.98,1.52,1.44,2.45,0.775,7.165
Admira Wacker,Aut,1.45,1.56,0.825,0.76,2.475,7.07
Shakhtyor Karaganda,Kaz,1.275,2.625,1.675,0.925,0.55,7.05
Helsingborg IF,Swe,4.025,0.64,0.78,0.95,0.55,6.945
DVSC Debrecen,Hun,2.1,0.675,1.925,1.325,0.875,6.9
AS Trencín,Svk,0.3,1.325,1.55,1.75,1.925,6.85
Spartak Trnava,Svk,1.3,0.325,2.05,1.75,1.425,6.85
Skënderbeu Korçë,Alb,1.15,1.9,1.175,2.425,0.175,6.825
Aberdeen,Sco,0.86,0.65,1.8,1.6,1.875,6.785
Motherwell,Sco,2.36,1.65,1.3,0.6,0.875,6.785
FC Utrecht,Ned,0.8428,1.6832,1.2166,1.15,1.82,6.712
Czech Republic,,1.7,1.6,0.775,1.46,1.1,6.635
AEK Athens,Gre,0.88,1.22,1.24,1.08,2.16,6.58
PAS Giannina,Gre,0.88,1.22,1.24,1.08,2.16,6.58
Xanthi FC,Gre,0.88,2.22,1.24,1.08,1.16,6.58
SCR Altach,Aut,0.45,1.56,0.825,2.26,1.475,6.57
Sturm Graz,Aut,0.45,2.06,0.825,1.76,1.475,6.57
FC Pasching,Aut,0.45,3.06,0.825,0.76,1.475,6.57
RNK Split,Cro,0.875,0.875,2.875,0.9,1.025,6.55
St. Johnstone,Sco,1.36,1.65,1.8,0.85,0.875,6.535
Go Ahead Eagles,Ned,0.8428,1.1832,1.2166,1.4,1.82,6.462
Ruch Chorzow,Pol,1.5,0.625,2.45,1.1,0.775,6.45
Switzerland,,1.675,1.44,1.38,1.06,0.86,6.415
FC Vaslui,Rom,2.86,1.375,1.025,0.45,0.66,6.37
Dinamo Bucuresti,Rom,2.86,1.375,1.025,0.45,0.66,6.37
SønderjyskE,Den,0.66,0.76,0.58,1.1,3.2,6.3
Randers FC,Den,0.66,1.76,0.58,1.6,1.7,6.3
AC Horsens,Den,2.16,0.76,0.58,1.1,1.7,6.3
Netherlands,,0.8428,1.1832,1.2166,1.15,1.82,6.212
AEK Larnaca,Cyp,0.8,0.55,0.66,1.6,2.6,6.21
FH Hafnarfjardar,Isl,0.75,2,1.5,0.725,1.2,6.175
Wolfsberger AC,Aut,0.45,1.56,0.825,1.76,1.475,6.07
SV Grödig,Aut,0.45,1.56,1.825,0.76,1.475,6.07
St. Pölten,Aut,0.45,1.56,1.825,0.76,1.475,6.07
SV Ried,Aut,1.45,1.56,0.825,0.76,1.475,6.07
Slaven Koprivnica,Cro,1.875,0.875,1.375,0.9,1.025,6.05
Inter Baku,Azb,1.1,1,1.225,1.875,0.85,6.05
Beitar Jerusalem,Isr,0.65,1.15,0.275,0.95,2.85,5.875
Viitorul Constanta,Rom,1.36,1.375,1.025,0.45,1.66,5.87
ASA Tirgu Mures,Rom,1.36,1.375,1.025,1.45,0.66,5.87
Rapid Bucuresti,Rom,2.36,1.375,1.025,0.45,0.66,5.87
MSK Zilina,Svk,1.3,1.325,0.55,2.25,0.425,5.85
Zalgiris Vilnius,Lit,0.725,1.75,1.1,1.15,1.1,5.825
Dundalk,Irl,0.2,0.05,0.9,1.14,3.525,5.815
Hearts FC,Sco,2.36,0.65,0.8,0.6,1.375,5.785
The New Saints,Wal,1.1,1.15,1.025,1.3,1.2,5.775
FK Ventspils,Lat,1.25,1.325,1.05,1.325,0.775,5.725
Odd Grenland,Nor,0.98,0.52,0.44,2.95,0.775,5.665
Greece,,0.88,1.22,1.24,1.08,1.16,5.58
Kairat Almaty,Kaz,0.275,0.625,1.175,2.425,1.05,5.55
NK Osijek,Cro,1.375,0.875,1.375,0.9,1.025,5.55
Dinamo Tbilisi,Geo,0.3,1.875,1.25,0.375,1.725,5.525
Dila Gori,Geo,1.8,1.875,0.25,1.125,0.475,5.525
FK Minsk,Bls,0.9,1.85,1.1,1.025,0.6,5.475
BK Häcken,Swe,1.025,1.64,0.78,0.95,1.05,5.445
CSMS Iasi,Rom,1.36,1.375,1.025,0.45,1.16,5.37
FC Botosani,Rom,1.36,1.375,1.025,0.95,0.66,5.37
AGF Aarhus,Den,1.16,0.76,0.58,1.1,1.7,5.3
FK Sarajevo,Bos,1.25,0.8,1.85,1.3,0.1,5.3
Torpedo Zhodino,Bls,0.9,0.35,1.1,1.275,1.6,5.225
Anorthosis Famagusta,Cyp,1.8,1.05,0.66,0.6,1.1,5.21
KR Reykjavik,Isl,1.25,1,1.5,0.725,0.7,5.175
Vardar Skopje,Mac,1.25,1.1,0.225,1.3,1.25,5.125
Austria,,0.45,1.56,0.825,0.76,1.475,5.07
Croatia,,0.875,0.875,1.375,0.9,1.025,5.05
F91 Dudelange,Lux,1.775,0.55,1.1,0.4,1.15,4.975
FC Gomel,Bls,1.9,0.35,1.1,1.025,0.6,4.975
Zaglebie Lubin,Pol,0.5,0.625,0.95,1.1,1.775,4.95
Piast Gliwice,Pol,0.5,1.125,0.95,1.1,1.275,4.95
IFK Norrköping,Swe,1.025,0.64,0.78,0.95,1.55,4.945
IF Brommapojkarna,Swe,1.025,0.64,1.78,0.95,0.55,4.945
Gefle IF,Swe,1.025,1.64,0.78,0.95,0.55,4.945
Kalmar FF,Swe,2.025,0.64,0.78,0.95,0.55,4.945
Milsami Orhei,Mol,0.95,1.675,0.35,1.75,0.175,4.9
Hapoel Ramat-Gan,Isr,0.65,2.15,0.275,0.45,1.35,4.875
Bnei Yehuda,Isr,1.65,1.15,0.275,0.45,1.35,4.875
Romania,,1.36,1.375,1.025,0.45,0.66,4.87
Kalju Nomme,Est,0.325,1.7,0.8,0.7,1.275,4.8
Zeljeznicar Sarajevo,Bos,1.25,1.3,0.85,1.3,0.1,4.8
Denmark,,0.66,0.76,0.58,1.1,1.7,4.8
Hibernian,Sco,0.86,1.15,0.8,0.6,1.375,4.785
Dundee United,Sco,1.86,0.65,0.8,0.6,0.875,4.785
Ermis Aradippou,Cyp,0.8,0.55,1.66,0.6,1.1,4.71
FC Beroe Stara Zagora,Bul,0.15,1.625,0.85,0.7,1.35,4.675
