"","X","home_shot","away_shot","home_possession","away_possession","home_pass_success","away_pass_success","home_dribbles","away_dribbles","home_aerials_won","away_aerials_won","home_tackles","away_tackles","home_corners","away_corners","home_dispossessed","away_dispossessed","home_missing_player","away_missing_player","home","away","half_home_score","half_away_score","full_home_score","full_away_score","kick_off","day","date","matchup_home_goals","matchup_away_goals","matchup_home_wins","matchup_draw","matchup_away_wins","home_total_att","away_total_att","home_open_att","away_open_att","home_set_att","away_set_att","home_counter_att","away_counter_att","home_pk_att","away_pk_att","home_own_att","away_own_att","home_total_passes","away_total_passes","home_crosses_passes","away_crosses_passes","home_long_balls","away_long_balls","home_short_passes","away_short_passes","date_no","home_last_5_points","away_last_5_points","home_last_5_goals","away_last_5_goals","home_last_5_possession","away_last_5_possession","home_last_5_conceded","away_last_5_conceded","home_last_5_passes","away_last_5_passes","home_last_5_shot","away_last_5_shot","season","home_uefa","away_uefa"
"20",355,19,4,63.5,36.5,91,82,16,7,8,6,12,15,8,2,7,4,6,4,"Real Madrid","Valencia",0,0,3,0,"21:00","Thu","18-06-20",13,7,50,33,17,19,4,14,2,4,1,1,1,0,0,0,0,737,426,26,11,75,59,636,356,18431,7,6,8,6,57.12,51.78,6,8,3030,2510,67,43,"LIGA1920",166.713,57.713
"21",55,8,10,36,64,79,88,4,10,11,16,8,11,2,9,5,3,0,4,"Sevilla","Barcelona",0,0,0,0,"21:00","Fri","19-06-20",8,20,17,0,83,8,10,6,5,2,5,0,0,0,0,0,0,421,747,20,23,54,47,345,675,18432,11,12,11,12,54.72,63.86,5,2,2349,3553,55,57,"LIGA1920",124.713,158.713
"22",195,14,5,50.7,49.3,76,79,12,8,19,23,12,11,5,0,6,7,7,3,"Granada","Villarreal",0,1,0,1,"18:30","Fri","19-06-20",6,13,0,33,67,14,5,10,3,4,2,0,0,0,0,0,0,474,462,30,4,68,83,376,373,18432,9,6,8,4,39.52,58.12,4,6,1491,2848,52,61,"LIGA1920",20.713,88.713
"23",315,7,16,38.4,61.6,65,79,8,9,27,27,21,14,3,7,8,9,4,1,"Mallorca","Leganes",1,0,1,1,"18:30","Fri","19-06-20",4,6,20,20,60,7,16,4,10,3,6,0,0,0,0,0,0,302,484,10,39,63,61,229,382,18432,4,4,5,4,40.5,48.24,10,7,1882,2022,53,59,"LIGA1920",20.713,20.713
"24",168,15,6,61.4,38.6,85,76,8,9,25,13,16,24,10,1,15,4,2,1,"Atletico Madrid","Real Valladolid",0,0,1,0,"21:00","Sat","20-06-20",12,2,83,17,0,15,6,12,4,3,1,0,1,0,0,0,0,566,353,21,15,42,86,502,251,18433,9,7,12,5,49.06,47.66,5,7,2251,1910,62,58,"LIGA1920",20.713,20.713
"25",224,9,8,54.4,45.6,53,48,2,3,39,44,9,10,2,1,7,6,1,1,"Getafe","Eibar",1,1,1,1,"18:30","Sat","20-06-20",7,3,50,50,0,9,8,5,2,4,6,0,0,0,0,0,0,345,293,20,13,94,86,231,194,18433,5,4,2,8,53.26,51.78,5,9,2005,2241,65,63,"LIGA1920",20.713,20.713
"26",348,12,9,43.4,56.6,76,82,10,9,17,16,14,10,11,5,5,5,0,3,"Athletic Bilbao","Real Betis",1,0,1,0,"16:00","Sat","20-06-20",11,6,67,17,17,12,9,5,6,7,2,0,0,0,1,0,0,370,484,16,21,61,63,290,400,18433,8,5,9,8,49.72,62.42,6,10,2037,2873,57,77,"LIGA1920",66.713,30.713
"27",354,10,14,46.2,53.8,76,80,2,12,21,20,22,9,8,5,6,12,3,2,"Espanyol","Levante",1,1,1,3,"13:00","Sat","20-06-20",8,5,50,33,17,10,15,5,10,4,3,1,1,0,0,0,1,379,440,30,13,58,72,291,354,18433,5,6,4,4,44.4,47.98,4,6,1725,2096,47,54,"LIGA1920",20.713,20.713
"28",34,7,13,55.2,44.8,84,80,10,5,14,21,12,15,1,7,12,7,7,5,"Valencia","Osasuna",2,0,2,0,"18:30","Sun","21-06-20",16,8,50,33,17,7,13,6,13,0,0,1,0,0,0,0,0,523,422,4,32,83,53,433,337,18434,5,4,4,4,46.4,46.28,9,12,2339,1888,38,65,"LIGA1920",57.713,20.713
"29",85,15,4,72.9,27.1,90,75,12,7,15,11,13,22,7,4,11,6,3,4,"Celta Vigo","Deportivo Alaves",4,0,6,0,"13:00","Sun","21-06-20",3,8,17,17,67,15,4,7,4,6,0,0,0,2,0,0,0,609,227,17,17,39,44,552,166,18434,6,8,1,6,49.28,39.68,1,5,2122,1589,27,41,"LIGA1920",39.713,20.713
"30",96,10,10,51.3,48.7,85,84,7,9,10,8,13,19,4,1,11,7,5,5,"Real Sociedad","Real Madrid",0,0,1,2,"21:00","Sun","21-06-20",13,15,50,0,50,10,10,9,6,1,1,0,2,0,1,0,0,577,548,10,10,32,62,534,476,18434,7,9,4,9,55.04,56.68,5,4,2461,3075,46,71,"LIGA1920",31.213,166.713
"31",11,7,14,41.4,58.6,79,83,13,9,14,18,10,17,3,8,8,7,2,0,"Villarreal","Sevilla",2,1,2,2,"18:30","Mon","22-06-20",9,6,33,50,17,7,14,4,9,2,5,1,0,0,0,0,0,424,600,12,27,65,60,347,513,18435,9,9,4,8,56.12,51.8,3,5,2641,2407,56,55,"LIGA1920",88.713,124.713
"32",324,10,4,59.1,40.9,77,67,5,10,21,26,12,9,4,2,6,8,2,7,"Leganes","Granada",0,0,0,0,"21:00","Mon","22-06-20",4,3,60,0,40,10,4,7,4,1,0,1,0,1,0,0,0,466,323,28,15,68,80,370,228,18435,5,6,5,5,49.06,42.04,7,5,2045,1665,64,56,"LIGA1920",20.713,20.713
