,home_shot,away_shot,home_possession,away_possession,home_pass_success,away_pass_success,home_dribbles,away_dribbles,home_aerials_won,away_aerials_won,home_tackles,away_tackles,home_corners,away_corners,home_dispossessed,away_dispossessed,home_missing_player,away_missing_player,home_missing_player_rating,away_missing_player_rating,home,away,half_home_score,half_away_score,full_home_score,full_away_score,kick_off,date,matchup_home_goals,matchup_away_goals,matchup_home_wins,matchup_draw,matchup_away_wins,home_total_att,away_total_att,home_open_att,away_open_att,home_set_att,away_set_att,home_counter_att,away_counter_att,home_pk_att,away_pk_att,home_own_att,away_own_att,home_total_passes,away_total_passes,home_crosses_passes,away_crosses_passes,home_long_balls,away_long_balls,home_short_passes,away_short_passes
0,9,14,32.0,68.0,81,90,1,12,7,12,10,8,2,1,6,5,1,3,6.7,6.83,Valencia,Barcelona,0,0,2,3,20:00,"Jpl, 02-Mei-21",11,11,Won (33%),Drew (50%),Won (17%),9.0,14.0,4.0,8.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,376.0,793.0,9.0,8.0,51.0,49.0,314.0,733.0
1,22,2,73.0,27.0,86,66,6,5,26,13,11,6,15,0,3,7,4,7,6.65,6.32,Real Sociedad,Granada,2,0,2,0,15:15,"Jpl, 08-Nov-20",14,5,Won (83%),Drew (0%),Won (17%),22.0,2.0,15.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,646.0,239.0,31.0,6.0,59.0,61.0,555.0,172.0
2,15,11,45.7,54.3,82,86,6,11,12,12,16,14,8,3,9,10,4,3,6.46,6.6,Real Betis,Real Madrid,2,1,2,3,20:00,"Jmos, 26-Sep-20",9,8,Won (50%),Drew (17%),Won (33%),15.0,12.0,9.0,8.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,472.0,567.0,13.0,18.0,52.0,60.0,407.0,489.0
3,23,9,51.0,49.0,82,81,11,7,9,17,10,15,6,6,11,3,2,4,6.13,6.62,Celta Vigo,Valencia,1,0,2,1,20:00,"Jmos, 19-Sep-20",5,7,Won (17%),Drew (33%),Won (50%),23.0,9.0,15.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,453.0,433.0,17.0,27.0,51.0,71.0,383.0,335.0
4,8,6,50.3,49.7,55,57,5,10,43,26,15,15,3,3,9,10,2,2,6.53,6.13,Eibar,Celta Vigo,0,0,0,0,15:00,"Jmos, 12-Sep-20",3,7,Won (33%),Drew (17%),Won (50%),8.0,6.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,356.0,19.0,10.0,90.0,90.0,246.0,254.0
5,6,11,50.6,49.4,83,82,2,12,8,12,21,21,3,2,10,10,2,0,6.53,,Elche,Atletico Madrid,0,1,0,1,15:15,"Jmos, 01-Mei-21",2,14,Won (0%),Drew (17%),Won (83%),6.0,11.0,3.0,9.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,434.0,427.0,16.0,6.0,62.0,51.0,356.0,369.0
6,9,20,42.6,57.4,81,89,12,8,18,12,15,14,2,10,7,8,0,2,,6.44,Valencia,Eibar,3,1,4,1,17:30,"Jpl, 16-Mei-21",2,3,Won (17%),Drew (50%),Won (33%),9.0,20.0,7.0,13.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,570.0,12.0,49.0,74.0,45.0,337.0,476.0
7,18,4,50.9,49.1,81,75,13,4,9,21,10,17,5,0,4,8,2,6,6.36,6.61,SD Huesca,Athletic Bilbao,0,0,1,0,19:00,"Jtan, 12-Mei-21",3,14,Won (0%),Drew (33%),Won (67%),18.0,4.0,16.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,452.0,31.0,19.0,76.0,78.0,362.0,355.0
8,14,9,64.4,35.6,80,60,11,13,35,22,12,14,5,4,10,7,1,3,6.31,6.38,Eibar,Real Betis,0,1,1,1,19:00,"Alh, 13-Mei-21",6,5,Won (33%),Drew (50%),Won (17%),14.0,9.0,10.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,338.0,37.0,6.0,80.0,82.0,495.0,250.0
9,13,12,43.2,56.8,66,70,12,2,25,26,15,22,5,5,15,6,9,4,6.52,6.34,Granada,Elche,1,1,2,1,17:30,"Jpl, 28-Feb-21",6,4,Won (50%),Drew (33%),Won (17%),13.0,12.0,10.0,5.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,309.0,406.0,18.0,22.0,61.0,98.0,230.0,286.0
